fy,tier,appropriation,book_id,status,http,bytes,pages,sha256_16,rel_path,source_url,note,txt_path,txt_bytes,txt_pages
2027,1,OPA,OPA_BA1_Tactical_Support_Vehicles,HAVE,,5237730,261,15e2981eca9c647e,pdf_originals/FY2027/procurement/OPA_BA1_Tactical_Support_Vehicles.pdf,,already on disk,txt_versions/FY2027/procurement/OPA_BA1_Tactical_Support_Vehicles.txt,1198589,261
2027,1,OPA,OPA_BA34_Other_Support_Equipment,OK,200,7780610,593,4e2c12bd6c5ed701,pdf_originals/FY2027/procurement/OPA_BA34_Other_Support_Equipment.pdf,https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2027/Discretionary%20Budget/Procurement/Other%20Procurement%20-%20BA3%20&%204%20-%20Other%20Support%20Equipment%20&%20Initial%20Spares.pdf,,txt_versions/FY2027/procurement/OPA_BA34_Other_Support_Equipment.txt,3121413,593
2027,2,RDTE,RDTE_BA3,HAVE,,5923523,412,3723f1a0cb59cbdf,pdf_originals/FY2027/rdte/RDTE_BA3.pdf,,already on disk,txt_versions/FY2027/rdte/RDTE_BA3.txt,1359803,412
2027,2,RDTE,RDTE_BA4A,HAVE,,6775850,343,30c2c44077b9daca,pdf_originals/FY2027/rdte/RDTE_BA4A.pdf,,already on disk,txt_versions/FY2027/rdte/RDTE_BA4A.txt,1121784,343
2027,2,RDTE,RDTE_BA4B,HAVE,,6789177,329,0ea6b14d62ccf377,pdf_originals/FY2027/rdte/RDTE_BA4B.pdf,,already on disk,txt_versions/FY2027/rdte/RDTE_BA4B.txt,1067367,329
2027,2,RDTE,RDTE_BA5A,HAVE,,8688094,397,eb652dc77cb54b92,pdf_originals/FY2027/rdte/RDTE_BA5A.pdf,,already on disk,txt_versions/FY2027/rdte/RDTE_BA5A.txt,1346856,397
2027,2,RDTE,RDTE_BA5D,HAVE,,8697963,405,065a8382d6e7dc5f,pdf_originals/FY2027/rdte/RDTE_BA5D.pdf,,already on disk,txt_versions/FY2027/rdte/RDTE_BA5D.txt,1327689,405
2027,2,RDTE,RDTE_BA7,HAVE,,6602387,368,69fdb2321848dea3,pdf_originals/FY2027/rdte/RDTE_BA7.pdf,,already on disk,txt_versions/FY2027/rdte/RDTE_BA7.txt,1190601,368
2027,3,OMA,OMA_Vol1_Operating_Forces,HAVE,,8859273,732,958e9d8b8ecf7830,pdf_originals/FY2027/om/OMA_Vol1_Operating_Forces.pdf,,already on disk,txt_versions/FY2027/om/OMA_Vol1_Operating_Forces.txt,2970729,732
2027,I,OSD,O1_OM_Programs,HAVE,,2809540,71,8c209bc2af590e46,pdf_originals/FY2027/summary/O1_OM_Programs.pdf,,already on disk,txt_versions/FY2027/summary/O1_OM_Programs.txt,199920,71
2027,I,OSD,P1_Procurement_Programs,HAVE,,2796050,335,b8d5248257590856,pdf_originals/FY2027/summary/P1_Procurement_Programs.pdf,,already on disk,txt_versions/FY2027/summary/P1_Procurement_Programs.txt,854462,335
