generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,"EASTERN SHIPBUILDING GROUP, INC.",258506273.63,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1955', 'description': 'DREDGES'}",2023-07-24,2027-11-17,yes,naics:336611,naics:336611,3010 MEDIUM CLASS HOPPER DREDGE
CONT_AWD_W56HZV14C0015_9700_-NONE-_-NONE-,W56HZV14C0015,BIRDON AMERICA INC,140797043.55,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2013-11-18,2020-09-30,yes,naics:336612; psc:1940,naics:336612; psc:1940,PRODUCTION OF BRIDGE ERECTION BOATS (BEB)
CONT_AWD_0001_9700_W56HZV17D0086_9700,0001,VIGOR WORKS LLC,97165770.6,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1990', 'description': 'MISCELLANEOUS VESSELS'}",2017-09-28,2025-09-30,yes,naics:336611; psc:1990,naics:336611; psc:1990,"DELIVERY ORDER 0001 FOR MSV(L) EMD PHASE, CLIN 0002"
CONT_AWD_W911S014C0004_9700_-NONE-_-NONE-,W911S014C0004,HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.,68646575.7,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2014-09-08,2021-11-28,yes,naics:336611; psc:1905,naics:336611; psc:1905,COSIS
CONT_AWD_W56HZV22F0057_9700_W56HZV19D0093_9700,W56HZV22F0057,BIRDON AMERICA INC,66003730.33,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2021-12-09,2025-09-30,yes,naics:336612; psc:1940,naics:336612; psc:1940,THIS CONTRACT IS FOR THE PURCHASE OF THE BRIDGE ERECTION BOAT (BEB) TO INCLUDE BOTH HARDWARE AND SERVICES. THIS DELIVERY ORDER IS IN THE THIRD ORDERING YEAR TO PROCURE BEBS AND CREW PROTECTION KITS (CPKS)
CONT_AWD_W56HZV21F0381_9700_W56HZV17D0086_9700,W56HZV21F0381,VIGOR WORKS LLC,63673420.76,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1990', 'description': 'MISCELLANEOUS VESSELS'}",2021-09-16,2026-09-30,yes,naics:336611; psc:1990,naics:336611; psc:1990,LOW RATE INITIAL PRODUCTION - 1 VESSEL
CONT_AWD_W56HZV21F0040_9700_W56HZV19D0093_9700,W56HZV21F0040,BIRDON AMERICA INC,61739429.69,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336612', 'description': 'BOAT BUILDING'}","{'code': '1940', 'description': 'SMALL CRAFT'}",2020-11-17,2022-06-30,yes,naics:336612; psc:1940,naics:336612; psc:1940,"THIS CONTRACT IS FOR THE PURCHASE OF THE BRIDGE ERECTION BOAT(BEB) TO INCLUDE BOTH HARDWARE AND SERVICES. THIS DELIVERY ORDER IS IN THE SECOND YEAR TO PROCURE BEBS, CREW PROTECTION KITS, AUTHORIZED STOCK LIST AND SPECIAL TOOLING TEST EQUIPMENT."
CONT_AWD_W56HZV23F0479_9700_W56HZV17D0086_9700,W56HZV23F0479,VIGOR WORKS LLC,61451667.0,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1990', 'description': 'MISCELLANEOUS VESSELS'}",2023-09-29,2027-10-01,yes,naics:336611; psc:1990,naics:336611; psc:1990,LOW-RATE INITIAL PRODUCTION (LRIP) - 2 VESSEL
CONT_AWD_W912CH24F0171_9700_W56HZV17D0086_9700,W912CH24F0171,VIGOR WORKS LLC,60745751.0,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1990', 'description': 'MISCELLANEOUS VESSELS'}",2024-07-25,2028-04-28,yes,naics:336611; psc:1990,naics:336611; psc:1990,LRIP 3
CONT_AWD_W912CH24F0172_9700_W56HZV17D0086_9700,W912CH24F0172,VIGOR WORKS LLC,59861557.0,DELIVERY ORDER,contract,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1990', 'description': 'MISCELLANEOUS VESSELS'}",2024-07-25,2028-10-08,yes,naics:336611; psc:1990,naics:336611; psc:1990,LRIP 4
