=== SAM Contract Awards (Stage 7: parent-IDV hydration) 2026-06-21 18:45:27
families selected=446 (floor=$0.250M), dropped below floor=1242
REVEALED data only (non-federal key): DoD awards signed < 90 days ago are excluded.
quota=1000/day; biggest-family-first; resumable (existing per-PIID files skipped).
  [2/446] W912BU23C0020      AWARD sam=$   259.1M  ours=$   258.5M  ord_end=-
  [3/446] W56HZV19D0093      IDV   sam=$    70.4M  ours=$   242.3M  ord_end=2025-08-12
  [4/446] W56HZV21DL002      IDV   sam=$    13.6M  ours=$   145.4M  ord_end=2026-01-25
  [5/446] W56HZV14C0015      AWARD sam=$   140.8M  ours=$   140.8M  ord_end=-
  [6/446] W56HZV21DL024      IDV   sam=$     0.0M  ours=$   114.5M  ord_end=2026-01-25
  [7/446] W911S016D0001      IDV   sam=$     6.6M  ours=$    85.0M  ord_end=2020-12-20
  [8/446] W911S014C0004      AWARD sam=$    68.6M  ours=$    68.6M  ord_end=-
  [9/446] W56HZV16D0061      IDV   sam=$     0.7M  ours=$    63.6M  ord_end=2018-09-30
  [10/446] W56HZV21DL010      IDV   sam=$     7.8M  ours=$    58.9M  ord_end=2026-01-25
  [11/446] W56HZV21DL003      IDV   sam=$     0.9M  ours=$    52.9M  ord_end=2026-01-25
  [12/446] W912BU24C0046      AWARD sam=$    54.0M  ours=$    49.8M  ord_end=-
  [13/446] W58RGZ18D0001      IDV   sam=$     3.8M  ours=$    49.1M  ord_end=2027-11-30
  [14/446] W52P1J09C0049      AWARD sam=$    47.8M  ours=$    47.8M  ord_end=-
  [15/446] W912BU25CA018      AWARD sam=$    47.4M  ours=$    45.8M  ord_end=-
  [16/446] W912P824C0031      AWARD sam=$    52.2M  ours=$    39.2M  ord_end=-
  [17/446] W911S015D0038      IDV   sam=$     2.8M  ours=$    38.3M  ord_end=2020-08-16
  [18/446] W912BU19C0042      AWARD sam=$    39.5M  ours=$    38.1M  ord_end=-
  [19/446] W911S016D0013      IDV   sam=$     3.1M  ours=$    37.0M  ord_end=2021-02-25
