line_item_id,source_book_fy,exhibit,section,is_subtotal,cost_element,observed_fy,column_role,amount_type,unit_cost_k,qty_each,total_cost_m,dollars_basis,page,source_id,extract_run_id,raw_context,row_hash
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (LCU-2000),,prior_years,prior_year,22265.667,3.0,66.797,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (LCU-2000),cad4d4fbd6d4a022
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (LCU-2000),2020,actual,actual,12042.5,2.0,24.085,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (LCU-2000),3cea73bd563248fe
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (LCU-2000),2021,enacted,enacted,12449.0,2.0,24.898,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (LCU-2000),503fef3cc640fe4d
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (LCU-2000),2022,request_base,request,14481.0,1.0,14.481,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (LCU-2000),27b26931bdd7c387
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (LCU-2000),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (LCU-2000),c3e9da70459d006a
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (LCU-2000),2022,request_total,request,14481.0,1.0,14.481,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (LCU-2000),35a7b692681d0d28
3569M11101,2022,P-5,Recurring Cost,,LCU Technical Manuals and Spares,,prior_years,prior_year,,,8.375,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU Technical |  | Manuals and Spares,d86e211b98395fb5
3569M11101,2022,P-5,Recurring Cost,,LCU Technical Manuals and Spares,2020,actual,actual,,,1.131,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU Technical |  | Manuals and Spares,282921f08c04a9fc
3569M11101,2022,P-5,Recurring Cost,,LCU Technical Manuals and Spares,2021,enacted,enacted,,,1.638,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU Technical |  | Manuals and Spares,1eb5d8e6df717f44
3569M11101,2022,P-5,Recurring Cost,,LCU Technical Manuals and Spares,2022,request_base,request,,,1.106,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU Technical |  | Manuals and Spares,577627e92c43815d
3569M11101,2022,P-5,Recurring Cost,,LCU Technical Manuals and Spares,2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU Technical |  | Manuals and Spares,8c5b7326d6deaad8
3569M11101,2022,P-5,Recurring Cost,,LCU Technical Manuals and Spares,2022,request_total,request,,,1.106,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU Technical |  | Manuals and Spares,256139992a69047b
3569M11101,2022,P-5,Recurring Cost,,LCU SLEP Contractor Logistics Support (CLS),,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU SLEP Contractor | Logistics Support | (CLS),12f20c055e60c135
3569M11101,2022,P-5,Recurring Cost,,LCU SLEP Contractor Logistics Support (CLS),2020,actual,actual,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU SLEP Contractor | Logistics Support | (CLS),97735e970dacb20a
3569M11101,2022,P-5,Recurring Cost,,LCU SLEP Contractor Logistics Support (CLS),2021,enacted,enacted,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU SLEP Contractor | Logistics Support | (CLS),d73d2a272ce224e5
3569M11101,2022,P-5,Recurring Cost,,LCU SLEP Contractor Logistics Support (CLS),2022,request_base,request,,,6.157,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU SLEP Contractor | Logistics Support | (CLS),891e4dc5510c7ee5
3569M11101,2022,P-5,Recurring Cost,,LCU SLEP Contractor Logistics Support (CLS),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU SLEP Contractor | Logistics Support | (CLS),158113e911bf95a7
3569M11101,2022,P-5,Recurring Cost,,LCU SLEP Contractor Logistics Support (CLS),2022,request_total,request,,,6.157,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,LCU SLEP Contractor | Logistics Support | (CLS),2f2834bd1802173b
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),,prior_years,prior_year,,,2.154,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),e9a90a7d452f6f1a
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2020,actual,actual,,,0.761,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),1cc0397a03eab3ed
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2021,enacted,enacted,,,0.821,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),6a4c881c21613cb0
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2022,request_base,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),3e6b48579d834b82
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),575573bf33b1b722
3569M11101,2022,P-5,Recurring Cost,,New Equipment Training (NET),2022,request_total,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,New Equipment |  | Training (NET),efedf6a2edb2db4d
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),f269564ca880bd27
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2020,actual,actual,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),5301b9e2b48a6924
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2021,enacted,enacted,1480.5,2.0,2.961,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),50409b6cf32fff98
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2022,request_base,request,1539.75,4.0,6.159,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),0cc01b0f65c7da0e
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),f68e0a530fddc583
3569M11101,2022,P-5,Recurring Cost,,SLEP Vessels (MCS),2022,request_total,request,1539.75,4.0,6.159,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,SLEP Vessels | (†) | (MCS),081a838ebdb5c008
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,,prior_years,prior_year,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,c38a32f70fa2211d
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2020,actual,actual,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,f1fb54f19e733c01
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2021,enacted,enacted,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,fdf23d38e08107b8
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2022,request_base,request,,,0.331,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,354a7fd59f18674b
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2022,request_oco,request,,,0.0,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,6d93a333a52fe9fd
3569M11101,2022,P-5,Recurring Cost,,MCS SLEP Fielding & Transportation,2022,request_total,request,,,0.331,then_year,379,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,MCS SLEP Fielding & |  | Transportation,76693f20822e6b48
