award_id,piid,parent_idv_piid,mod_number,recipient_name,recipient_uei,action_date,fiscal_year,amount_type,amount,dollars_basis,action_type,pricing_type,extent_competed,contracting_office,funding_office,psc_code,naics_code,description,source_system,source_id,extract_run_id,row_hash
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00004,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2024-08-02 00:00:00,2024,obligation,39391.95,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,"3010 MEDIUM CLASS HOPPER DREDGE, CHANGES R29-R30",fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,4edecf68b5c7b7e8
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00010,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2025-10-14 00:00:00,2026,obligation,61864.49,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,"3010 MEDIUM CLASS HOPPER DREDGE, CHANGES R61 - R68",fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,9e128a68938aa3cc
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00003,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2024-07-17 00:00:00,2024,obligation,197192.84,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,"3010 MEDIUM CLASS HOPPER DREDGE, CHANGES R25-R28",fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,31eb82ab06b67e27
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00009,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2025-08-14 00:00:00,2025,obligation,119320.94,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,"3010 MEDIUM CLASS HOPPER DREDGE, YEAR 1 ECONOMIC PRICE ADJUSTMENT",fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,26ee16e3a5d65e9b
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,0,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2023-07-25 00:00:00,2023,obligation,256955264.46,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,3010 MEDIUM CLASS HOPPER DREDGE,fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,a027a75ca3333855
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00001,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2023-09-19 00:00:00,2023,obligation,0.0,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,3010 MEDIUM CLASS HOPPER DREDGE - CHANGE IN PCO,fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,8d1a9ab6b0cfb5bf
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00008,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2025-07-08 00:00:00,2025,obligation,0.0,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,3010 MEDIUM CLASS HOPPER DREDGE - MODIFICATION TO IMPLEMENT CLASS DEVIATION 2025-O0003 AND CLASS DEVIATION 2025-O0004,fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,1f26158ea15c72c4
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00006,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2025-04-01 00:00:00,2025,obligation,292104.91,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,"3010 MEDIUM CLASS HOPPER DREDGE, CHANGES R33 - R39",fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,d7eb5247232f029e
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00007,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2025-06-25 00:00:00,2025,obligation,792395.28,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,"3010 MEDIUM CLASS HOPPER DREDGE, CHANGES R40 - R60",fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,11a4103c1f094696
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,P00002,EASTERN SHIPBUILDING GROUP INC,XJTAAHL58NB6,2023-12-15 00:00:00,2024,obligation,0.0,then_year,DEFINITIVE CONTRACT,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,W2SD ENDIST PHILADELPHIA,W2SD ENDIST PHILADELPHIA,1955,336611,3010 MEDIUM CLASS HOPPER DREDGE - PHASE 1 COMPLETION MODIFICATION,fpds,FPDS-ATOM,army-contracts-aggregate-2026-06-20,65bba8ae09146f36
