award_id,piid,parent_idv_piid,idv_type,single_or_multiple_award,award_type,award_type_description,category,recipient_name,recipient_uei,parent_recipient_name,obligation_amount,current_value,ceiling_value,total_outlay,subaward_count,total_subaward_amount,date_signed,pop_start_date,pop_current_end_date,pop_potential_end_date,first_action_date,last_action_date,extent_competed,extent_competed_description,solicitation_procedures,fair_opportunity_limited,number_of_offers,naics_code,naics_description,psc_code,psc_description,funding_tas,funding_account_titles,has_tas,matched_axes,actions_source,program,capability_node,dollars_basis,source_system,source_id,extract_run_id,row_hash
CONT_AWD_W912BU23C0020_9700_-NONE-_-NONE-,W912BU23C0020,,,,D,DEFINITIVE CONTRACT,contract,"EASTERN SHIPBUILDING GROUP, INC.",XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",258506273.63,258506273.63,258506273.63,,0,,2023-07-25,2023-07-24,2027-11-17,2027-11-17 00:00:00,2023-07-25,2025-10-14,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,3,336611,Ship Building and Repairing,1955,DREDGES,,,False,naics:336611,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,1685ea91fa2ee970
CONT_AWD_W56HZV14C0015_9700_-NONE-_-NONE-,W56HZV14C0015,,,,D,DEFINITIVE CONTRACT,contract,BIRDON AMERICA INC,X59QGBTBZK65,BIRDON AMERICA INC,140797043.55,140797043.55,141525354.42,,0,,2013-11-18,2013-11-18,2020-09-30,2024-11-19 12:11:00,2013-11-18,2023-03-09,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,5,336612,Boat Building,1940,SMALL CRAFT,021-2035,"Other Procurement, Army",True,naics:336612; psc:1940,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,e586b69efe1586d4
CONT_AWD_0001_9700_W56HZV17D0086_9700,0001,W56HZV17D0086,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,VIGOR WORKS LLC,NJ2RRT5BMCX1,VIGOR INDUSTRIAL LLC,97165770.6,97165770.6,97165770.6,,32,3889745.2,2017-09-28,2017-09-28,2025-09-30,2025-09-30 12:09:00,2017-09-28,2025-07-28,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,336611,Ship Building and Repairing,1990,MISCELLANEOUS VESSELS,,,False,naics:336611; psc:1990,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,665bf8e137251b34
CONT_AWD_W911S014C0004_9700_-NONE-_-NONE-,W911S014C0004,,,,D,DEFINITIVE CONTRACT,contract,HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.,H84KLLUBJKL6,HEAVY ENGINEERING INDUSTRIES AND SHIPBUILDING COMPANY K.S.C.,68646575.7,71359516.53,80899759.53,705253.31,0,,2014-09-08,2014-09-08,2021-11-28,2021-11-28 00:00:00,2014-09-08,2022-08-17,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,2,336611,Ship Building and Repairing,1905,COMBAT SHIPS AND LANDING VESSELS,021-2020; 021-2035,"Operation and Maintenance, Army; Other Procurement, Army",True,naics:336611; psc:1905,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,cacc170bcf7906cb
CONT_AWD_W56HZV22F0057_9700_W56HZV19D0093_9700,W56HZV22F0057,W56HZV19D0093,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,BIRDON AMERICA INC,X59QGBTBZK65,BIRDON AMERICA INC,66003730.33,66003730.33,66003730.33,,0,,2021-12-09,2021-12-09,2025-09-30,2025-09-30 12:09:00,2021-12-09,2025-09-09,C,NOT COMPETED,ONLY ONE SOURCE,,,336612,Boat Building,1940,SMALL CRAFT,021-2035,"Other Procurement, Army",True,naics:336612; psc:1940,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,c604c540b13c9fe2
CONT_AWD_W56HZV21F0381_9700_W56HZV17D0086_9700,W56HZV21F0381,W56HZV17D0086,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,VIGOR WORKS LLC,NJ2RRT5BMCX1,VIGOR INDUSTRIAL LLC,63673420.76,63673420.76,63673420.76,,74,20632686.9,2021-09-16,2021-09-16,2026-09-30,2026-09-30 12:09:00,2021-09-16,2025-06-11,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,336611,Ship Building and Repairing,1990,MISCELLANEOUS VESSELS,,,False,naics:336611; psc:1990,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,5aade9ae73d097d3
CONT_AWD_W56HZV21F0040_9700_W56HZV19D0093_9700,W56HZV21F0040,W56HZV19D0093,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,BIRDON AMERICA INC,X59QGBTBZK65,BIRDON AMERICA INC,61739429.69,61739429.69,61739429.69,,0,,2020-11-17,2020-11-17,2022-06-30,2022-06-30 12:06:00,2020-11-17,2022-04-05,C,NOT COMPETED,ONLY ONE SOURCE,,,336612,Boat Building,1940,SMALL CRAFT,021-2035,"Other Procurement, Army",True,naics:336612; psc:1940,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,7432b5a028e27d10
CONT_AWD_W56HZV23F0479_9700_W56HZV17D0086_9700,W56HZV23F0479,W56HZV17D0086,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,VIGOR WORKS LLC,NJ2RRT5BMCX1,VIGOR INDUSTRIAL LLC,61451667.0,61451667.0,61451667.0,,46,21259640.61,2023-09-29,2023-09-29,2027-10-01,2027-10-01 12:10:00,2023-09-29,2025-08-08,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,336611,Ship Building and Repairing,1990,MISCELLANEOUS VESSELS,,,False,naics:336611; psc:1990,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,0558725af70381ff
CONT_AWD_W912CH24F0171_9700_W56HZV17D0086_9700,W912CH24F0171,W56HZV17D0086,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,VIGOR WORKS LLC,NJ2RRT5BMCX1,VIGOR INDUSTRIAL LLC,60745751.0,60745751.0,60745751.0,,26,14956751.07,2024-07-25,2024-07-25,2028-04-28,2028-04-28 00:00:00,2024-07-25,2024-07-25,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,336611,Ship Building and Repairing,1990,MISCELLANEOUS VESSELS,021-2035,"Other Procurement, Army",True,naics:336611; psc:1990,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,6dada9864821bfcc
CONT_AWD_W912CH24F0172_9700_W56HZV17D0086_9700,W912CH24F0172,W56HZV17D0086,IDC,SINGLE AWARD,C,DELIVERY ORDER,contract,VIGOR WORKS LLC,NJ2RRT5BMCX1,VIGOR INDUSTRIAL LLC,59861557.0,59861557.0,59861557.0,,22,13331733.85,2024-07-25,2024-07-25,2028-10-08,2028-10-08 00:00:00,2024-07-25,2024-07-25,A,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,336611,Ship Building and Repairing,1990,MISCELLANEOUS VESSELS,021-2035,"Other Procurement, Army",True,naics:336611; psc:1990,fpds,,,then_year,usaspending+fpds,USASP-AWARD-DETAIL,army-contracts-aggregate-2026-06-20,392a3cf7dc84ab02
