prime_piid,prime_agency_id,prime_referenced_idv_piid,prime_recipient,sub_award_report_id,sub_award_number,amount_type,amount,dollars_basis,sub_action_date,fiscal_year,submitted_date,sub_entity_name,sub_entity_uei,sub_parent_uei,sub_parent_name,sub_description,prime_naics,capability_node,source_system,source_id,extract_run_id,row_hash
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,30084601,M19756,subaward,38951.5,then_year,2026-03-26,2026,2026-04-07,ILS CONSULTANTS LLC,F54EQD5J38C5,,,"Integrated Logistics Support Consultant - Misty Currier travel and labor to and from Hawaii for TM Verification.

",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,350fb298d3cbdb01
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,30084598,M19698,subaward,100747.0,then_year,2026-03-18,2026,2026-04-07,"TELEDYNE FLIR DEFENSE, INC.",G7WGK6L5ES76,,,"""Teledyne - EMD FLIR repair
RMA Number: 30764719
Service  Number: 40583721""
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,480a145b819afce7
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29994550,M19491,subaward,703477.42,then_year,2026-02-11,2026,2026-03-02,"CHAND, L.L.C.",J8ATNVMEGLK1,J8ATNVMEGLK1,"CHAND, L.L.C.","MSVL01 CDRL A090 BASE CONTRACT W56HZV17D0086/A025 STS CONTRACT W912CH25D0063 PAGE BASED ELECTRONIC TECHNICAL MANUAL 55-1910-100-10 OPERATOR LEVEL MANUAL
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,3fdbebe1fe1a22de
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29918644,M19400,subaward,11400.0,then_year,2026-01-19,2026,2026-02-03,"SOLVERE TECHNICAL GROUP, LLC",Y6K1PWLEWFR3,CXKTCUW3DLD7,"SOLVERE TECHNICAL GROUP, LLC","Solvere Proposal #025-098, MSVL RFQ Brian Meachum to assist TM Validation Jan 12-30
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,a147789a21e1df0d
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29918623,M18503,subaward,52564.6,then_year,2026-01-14,2026,2026-02-03,"MARISCO, LTD.",PM2FDF7CCNC2,,,"Pump, Store, and Replenish approximately 3000 gallons of fuel, clean tanks for Marine chemist certification
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,c130bccb3dfe5c35
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742604,M18483,subaward,312930.0,then_year,2025-06-13,2025,2025-11-26,VERSABAR INC,Z7P7LRNVLJF2,PQTNV43DG9A9,"VERSABAR, INC","Custom Lift System
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,23bf7e369d6db40e
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742601,M18534,subaward,46676.92,then_year,2025-06-17,2025,2025-11-26,"Trident Maritime Systems, Inc.",MP5UJHMEHFV1,MP5UJHMEHFV1,"Trident Maritime Systems, Inc.","Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,1eea110825675aa9
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742540,M18010,subaward,53820.0,then_year,2024-11-20,2025,2025-11-26,TRIDENT AEROSPACE AND ELECTRONICS INC.,PBLLA2ZJC2N7,,,"Steel Locker
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,a41cc4c4316ade73
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742515,M18319,subaward,87000.0,then_year,2025-04-03,2025,2025-11-26,"SUPREME INTEGRATED TECHNOLOGY, INC.",M8LCUMSL3TQ7,,,"Simultaneous Bow Ramp and Kedge Winch Operation
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,7a06a823712cfdb2
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742513,M17861,subaward,66733.2,then_year,2024-10-10,2025,2025-11-26,"SUPREME INTEGRATED TECHNOLOGY, INC.",M8LCUMSL3TQ7,,,"Pump, Filter, Motor, and other accessories
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,38cab33689d5e929
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742512,M18510,subaward,53550.85,then_year,2025-06-11,2025,2025-11-26,"SUPREME INTEGRATED TECHNOLOGY, INC.",M8LCUMSL3TQ7,,,"Technical Inspection
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,2c473c5af3122c30
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742511,M18289,subaward,47740.0,then_year,2025-03-20,2025,2025-11-26,"SUPREME INTEGRATED TECHNOLOGY, INC.",M8LCUMSL3TQ7,,,"Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,3e8d2c04f6d38059
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742510,M18560,subaward,37098.43,then_year,2025-06-25,2025,2025-11-26,"SUPREME INTEGRATED TECHNOLOGY, INC.",M8LCUMSL3TQ7,,,"Ramp Repair
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,9ad2a1018f712a15
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742507,M18725,subaward,35010.0,then_year,2025-08-22,2025,2025-11-26,"SUPREME INTEGRATED TECHNOLOGY, INC.",M8LCUMSL3TQ7,,,"Ramp Service
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,0b658892aa5210df
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742505,M18320,subaward,227972.77,then_year,2025-04-03,2025,2025-11-26,"SOLVERE TECHNICAL GROUP, LLC",Y6K1PWLEWFR3,CXKTCUW3DLD7,"SOLVERE TECHNICAL GROUP, LLC","Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,176e09445cc1d510
