source_id,title,book_id,fy,appropriation,exhibits,url,sha256_16,pdf_pages,pdf_path,txt_path,access_date
BUD-OMA1-FY2025,"Operation and Maintenance, Army - Volume 1 (Operating Forces), PB 2025",OMA_Vol1_Operating_Forces,2025,"2020 O&M, Army",OP-5,,395adfffd81ee986,781,pdf_originals/FY2025/om/OMA_Vol1_Operating_Forces.pdf,txt_versions/FY2025/om/OMA_Vol1_Operating_Forces.txt,2026-06-20
BUD-OMA1-FY2026,"Operation and Maintenance, Army - Volume 1 (Operating Forces), PB 2026",OMA_Vol1_Operating_Forces,2026,"2020 O&M, Army",OP-5,,91b513dd3d0c77f0,818,pdf_originals/FY2026/om/OMA_Vol1_Operating_Forces.pdf,txt_versions/FY2026/om/OMA_Vol1_Operating_Forces.txt,2026-06-20
BUD-OMA1-FY2027,"Operation and Maintenance, Army - Volume 1 (Operating Forces), PB 2027",OMA_Vol1_Operating_Forces,2027,"2020 O&M, Army",OP-5,,958e9d8b8ecf7830,732,pdf_originals/FY2027/om/OMA_Vol1_Operating_Forces.pdf,txt_versions/FY2027/om/OMA_Vol1_Operating_Forces.txt,2026-06-20
BUD-OPA34-FY2022,"Other Procurement, Army - BA 3&4 (Other Support Equipment & Spares), PB 2022",OPA_BA34_Other_Support_Equipment,2022,"2035A Other Procurement, Army (OPA)","P-40 / P-5 (incl. P-1 index, P-21)",https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2022/Base%20Budget/Procurement/OPA_BA_34_FY_2022_PB_Other_Procurement_BA3&4_Other_Support_Equipment.pdf,e09e5c72871e1f27,638,pdf_originals/FY2022/procurement/OPA_BA34_Other_Support_Equipment.pdf,txt_versions/FY2022/procurement/OPA_BA34_Other_Support_Equipment.txt,2026-06-20
BUD-OPA34-FY2023,"Other Procurement, Army - BA 3&4 (Other Support Equipment & Spares), PB 2023",OPA_BA34_Other_Support_Equipment,2023,"2035A Other Procurement, Army (OPA)","P-40 / P-5 (incl. P-1 index, P-21)",https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2023/Base%20Budget/Procurement/OPA_BA3_4_Other_Support_Equipment.pdf,2bcada540bd87eca,525,pdf_originals/FY2023/procurement/OPA_BA34_Other_Support_Equipment.pdf,txt_versions/FY2023/procurement/OPA_BA34_Other_Support_Equipment.txt,2026-06-20
BUD-OPA34-FY2024,"Other Procurement, Army - BA 3&4 (Other Support Equipment & Spares), PB 2024",OPA_BA34_Other_Support_Equipment,2024,"2035A Other Procurement, Army (OPA)","P-40 / P-5 (incl. P-1 index, P-21)",https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2024/Base%20Budget/Procurement/Other%20Procurement%20-%20BA%203%20&%204%20-%20Other%20Support%20Equipment.pdf,b1b42de09c95b256,606,pdf_originals/FY2024/procurement/OPA_BA34_Other_Support_Equipment.pdf,txt_versions/FY2024/procurement/OPA_BA34_Other_Support_Equipment.txt,2026-06-20
BUD-OPA34-FY2025,"Other Procurement, Army - BA 3&4 (Other Support Equipment & Spares), PB 2025",OPA_BA34_Other_Support_Equipment,2025,"2035A Other Procurement, Army (OPA)","P-40 / P-5 (incl. P-1 index, P-21)",https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2025/Base%20Budget/Procurement/Other%20Procurement%20-%20BA%203%20&%204%20-%20Other%20Support%20Vehicles.pdf,8e06548843647ae3,599,pdf_originals/FY2025/procurement/OPA_BA34_Other_Support_Equipment.pdf,txt_versions/FY2025/procurement/OPA_BA34_Other_Support_Equipment.txt,2026-06-20
BUD-OPA34-FY2026,"Other Procurement, Army - BA 3&4 (Other Support Equipment & Spares), PB 2026",OPA_BA34_Other_Support_Equipment,2026,"2035A Other Procurement, Army (OPA)","P-40 / P-5 (incl. P-1 index, P-21)","https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2026/Discretionary%20Budget/Procurement/Other%20Procurement%20-%20BA%203,%204%20&%206%20-%20Other%20Support%20Equipment,%20Initial%20Spares%20and%20Agile%20Portfolio%20Management.pdf",a0b31f94ab70ce33,602,pdf_originals/FY2026/procurement/OPA_BA34_Other_Support_Equipment.pdf,txt_versions/FY2026/procurement/OPA_BA34_Other_Support_Equipment.txt,2026-06-20
BUD-OPA34-FY2027,"Other Procurement, Army - BA 3&4 (Other Support Equipment & Spares), PB 2027",OPA_BA34_Other_Support_Equipment,2027,"2035A Other Procurement, Army (OPA)","P-40 / P-5 (incl. P-1 index, P-21)",https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2027/Discretionary%20Budget/Procurement/Other%20Procurement%20-%20BA3%20&%204%20-%20Other%20Support%20Equipment%20&%20Initial%20Spares.pdf,4e2c12bd6c5ed701,593,pdf_originals/FY2027/procurement/OPA_BA34_Other_Support_Equipment.pdf,txt_versions/FY2027/procurement/OPA_BA34_Other_Support_Equipment.txt,2026-06-20
BUD-RDTE_BA4-FY2022,"RDT&E, Army - Budget Activity 4 (ACD&P), PB 2022",RDTE_BA4,2022,"2040 RDT&E, Army",R-2 / R-2A,,b3a71b47c3195804,805,pdf_originals/FY2022/rdte/RDTE_BA4.pdf,txt_versions/FY2022/rdte/RDTE_BA4.txt,2026-06-20
