piid,yard,block,fiscal_year,obligated_$m
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2011,687.63
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2012,0.0
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2013,0.18
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2014,-0.02
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2015,2.36
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2016,5.81
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2017,24.31
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2018,2.88
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2019,-14.89
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2020,-6.22
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2022,-0.36
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2023,0.0
N0002411C2307,Huntington Ingalls,FY11 single-ship,FY2024,-0.17
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2011,771.55
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2012,8.5
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2013,3.92
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2014,5.09
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2015,5.57
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2016,4.45
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2017,9.32
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2018,-13.45
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2019,-0.05
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2020,-0.64
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2023,0.0
N0002411C2309,Huntington Ingalls,FY11 single-ship,FY2024,0.0
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2013,723.27
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2014,744.23
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2015,620.6
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2016,672.65
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2017,1629.83
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2018,39.96
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2019,2.2
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2020,48.89
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2021,37.13
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2022,17.7
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2023,61.73
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2024,191.02
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2025,115.11
N0002413C2305,Bath Iron Works,FY13-17 MYP,FY2026,28.14
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2013,771.91
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2014,671.62
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2015,608.63
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2016,623.85
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2017,202.19
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2018,43.74
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2019,37.52
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2020,69.01
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2021,80.11
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2022,112.08
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2023,123.62
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2024,1.77
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2025,-0.23
N0002413C2307,Huntington Ingalls,FY13-17 MYP,FY2026,0.0
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2018,25.02
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2019,2005.0
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2020,1338.27
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2021,765.98
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2022,973.46
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2023,30.59
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2024,17.12
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2025,146.93
N0002418C2305,Bath Iron Works,FY18-22 MYP,FY2026,36.6
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2018,1712.64
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2019,950.52
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2020,2078.19
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2021,618.43
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2022,822.84
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2023,70.14
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2024,147.77
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2025,301.99
N0002418C2307,Huntington Ingalls,FY18-22 MYP,FY2026,124.16
N0002423C2307,Huntington Ingalls,FY23-27 MYP,FY2023,3127.83
N0002423C2307,Huntington Ingalls,FY23-27 MYP,FY2024,1351.77
N0002423C2307,Huntington Ingalls,FY23-27 MYP,FY2025,2479.71
N0002423C2307,Huntington Ingalls,FY23-27 MYP,FY2026,-11.12
N0002423C2305,Bath Iron Works,FY23-27 MYP,FY2023,1762.52
N0002423C2305,Bath Iron Works,FY23-27 MYP,FY2024,1519.66
N0002423C2305,Bath Iron Works,FY23-27 MYP,FY2025,1741.73
N0002423C2305,Bath Iron Works,FY23-27 MYP,FY2026,3.67
