supplier,n_blocks_served,blocks_served,reported_$m,n_subawards,top_swbs_system
ROLLS-ROYCE MARINE NORTH AMERICA INC.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,384.7,115,(unmapped)
GENERAL ELECTRIC COMPANY,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,333.1,28,(unmapped)
"JOHNSON CONTROLS NAVY SYSTEMS, LLC",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,178.0,45,(unmapped)
TIMKEN GEARS & SERVICES INC.,3,FY11 single-ship; FY13-17 MYP; FY23-27 MYP,169.2,8,(unmapped)
"SOCAIL, LDA",2,FY11 single-ship; FY13-17 MYP,151.4,10,(unmapped)
NORTHROP GRUMMAN SYSTEMS CORPORATION,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,123.1,69,(unmapped)
York International Corporation,2,FY13-17 MYP; FY18-22 MYP,115.4,29,(unmapped)
ELLWOOD NATIONAL FORGE COMPANY,2,FY18-22 MYP; FY23-27 MYP,87.9,16,(unmapped)
YORK INTERNATIONAL CORPORATION,2,FY11 single-ship; FY13-17 MYP,76.5,27,(unmapped)
ENGINEERED COIL COMPANY,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,70.4,116,(unmapped)
DRS NAVAL POWER SYSTEMS INC,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,68.6,64,(unmapped)
L-3 COMMUNICATIONS WESTWOOD CORPORATION,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,54.5,65,(unmapped)
Rolls-Royce Marine North America Inc.,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,53.6,9,(unmapped)
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",2,FY18-22 MYP; FY23-27 MYP,40.8,20,(unmapped)
"LAKE SHORE SYSTEMS, INC.",4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,39.1,119,(unmapped)
"SPD ELECTRICAL SYSTEMS, INC",2,FY13-17 MYP; FY18-22 MYP,38.0,17,(unmapped)
POWER PARAGON INC,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,33.1,47,(unmapped)
US JOINER LLC,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,30.8,90,(unmapped)
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,30.1,26,(unmapped)
"MAXIM EVAPORATORS OF AMERICA, LLC",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,29.9,22,(unmapped)
ESPEY MFG. & ELECTRONICS CORP.,2,FY13-17 MYP; FY18-22 MYP,28.6,40,(unmapped)
ESPEY MFG AND ELECTRONICS CORP,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,25.0,35,(unmapped)
AMERICAN METAL BEARING COMPANY,2,FY13-17 MYP; FY18-22 MYP,24.6,32,(unmapped)
RIX INDUSTRIES,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,22.5,30,(unmapped)
"ADI TECHNOLOGIES, INC.",2,FY13-17 MYP; FY18-22 MYP,20.8,19,(unmapped)
HOWDEN NORTH AMERICA INC,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,19.4,27,(unmapped)
"ENTWISTLE COMPANY, THE",2,FY13-17 MYP; FY18-22 MYP,18.8,56,(unmapped)
JO-KELL INC.,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,18.7,113,(unmapped)
"HILLER COMPANIES, INC., THE",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,18.5,36,(unmapped)
EMS DEVELOPMENT CORPORATION,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,18.2,23,(unmapped)
"THE HILLER COMPANIES, LLC",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,18.1,23,(unmapped)
AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,17.9,82,(unmapped)
JERED LLC,2,FY11 single-ship; FY13-17 MYP,17.8,35,(unmapped)
DYNALEC CORPORATION,4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,17.7,218,(unmapped)
"MILWAUKEE VALVE COMPANY, INC.",2,FY13-17 MYP; FY18-22 MYP,17.7,118,(unmapped)
"BUFFALO PUMPS, INC.",2,FY13-17 MYP; FY18-22 MYP,17.7,30,(unmapped)
"DRS POWER & CONTROL TECHNOLOGIES, INC",2,FY13-17 MYP; FY18-22 MYP,17.1,17,(unmapped)
PARKER HANNIFIN CORPORATION,2,FY18-22 MYP; FY23-27 MYP,17.1,9,(unmapped)
"LESLIE CONTROLS, INC.",3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,16.6,74,(unmapped)
PORTLAND VALVE LLC,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,16.4,39,(unmapped)
WARD LEONARD CT LLC,2,FY18-22 MYP; FY23-27 MYP,16.1,13,(unmapped)
DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,15.5,29,(unmapped)
"MORPAC INDUSTRIES, INC.",2,FY13-17 MYP; FY18-22 MYP,15.1,21,(unmapped)
ALFA LAVAL INC.,2,FY13-17 MYP; FY18-22 MYP,14.7,17,(unmapped)
THE ENTWISTLE COMPANY LLC,2,FY18-22 MYP; FY23-27 MYP,13.5,26,(unmapped)
AIR & LIQUID SYSTEMS CORPORATION,2,FY18-22 MYP; FY23-27 MYP,13.4,9,(unmapped)
PARKER-HANNIFIN CORPORATION,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,13.1,20,(unmapped)
"JAMESTOWN METAL MARINE SALES, INC.",4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,13.0,36,(unmapped)
"HOWELL LABORATORIES, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,12.9,37,(unmapped)
ALFA LAVAL INC,2,FY18-22 MYP; FY23-27 MYP,12.7,8,(unmapped)
ESI ACQUISITION CORP.,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,12.5,51,(unmapped)
MARTIN ENERGY SERVICES LLC,2,FY11 single-ship; FY13-17 MYP,12.2,22,(unmapped)
"W. & O. SUPPLY, INC.",4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,11.9,62,(unmapped)
"SOUTHCOAST WELDING & MANUFACTURING, LLC.",2,FY13-17 MYP; FY18-22 MYP,11.8,37,(unmapped)
"GRISWOLD INDUSTRIES, CO.",4,FY11 single-ship; FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,11.6,77,(unmapped)
INDEECO LLC,3,FY13-17 MYP; FY18-22 MYP; FY23-27 MYP,10.8,52,(unmapped)
ADI TECHNOLOGIES INC.,2,FY18-22 MYP; FY23-27 MYP,10.8,9,(unmapped)
"MAROTTA CONTROLS, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,10.3,92,(unmapped)
"DRS POWER & CONTROL TECHNOLOGIES, INC.",2,FY11 single-ship; FY13-17 MYP,10.2,12,(unmapped)
PEERLESS MFG CO,2,FY18-22 MYP; FY23-27 MYP,10.2,12,(unmapped)
SURFACE TECHNOLOGIES CORPORATION,3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,9.9,39,(unmapped)
"PACIFIC SHIP REPAIR & FABRICATION, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,9.9,56,(unmapped)
"KINGSBURY, INC.",3,FY11 single-ship; FY13-17 MYP; FY18-22 MYP,9.6,17,(unmapped)
