supplier,mock_pop_n_report_ids,date_span_months,first_subaward,last_subaward,reported_$m,n_blocks
ROLLS-ROYCE MARINE NORTH AMERICA INC.,115,139,2013-06-05,2025-01-29,384.74,3
GENERAL ELECTRIC COMPANY,28,45,2022-04-29,2026-01-09,333.09,3
"JOHNSON CONTROLS NAVY SYSTEMS, LLC",45,45,2022-03-11,2025-12-03,178.01,3
TIMKEN GEARS & SERVICES INC.,8,125,2015-01-26,2025-06-18,169.17,3
"SOCAIL, LDA",10,49,2013-07-01,2017-08-28,151.35,2
NORTHROP GRUMMAN SYSTEMS CORPORATION,69,138,2013-06-17,2024-12-19,123.05,4
York International Corporation,29,51,2017-10-03,2022-01-13,115.38,2
ELLWOOD NATIONAL FORGE COMPANY,16,81,2018-11-16,2025-08-11,87.92,2
YORK INTERNATIONAL CORPORATION,27,50,2013-06-03,2017-08-29,76.52,2
ENGINEERED COIL COMPANY,116,147,2013-07-24,2025-10-22,70.38,4
DRS NAVAL POWER SYSTEMS INC,64,39,2022-12-02,2026-03-06,68.61,3
L-3 COMMUNICATIONS WESTWOOD CORPORATION,65,123,2013-07-02,2023-10-24,54.51,3
Rolls-Royce Marine North America Inc.,9,8,2025-03-04,2025-11-26,53.64,3
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",20,36,2022-02-07,2025-02-11,40.75,2
"LAKE SHORE SYSTEMS, INC.",119,87,2018-01-30,2025-04-30,39.14,4
"SPD ELECTRICAL SYSTEMS, INC",17,63,2015-12-18,2021-03-30,37.98,2
"ERIE FORGE AND STEEL, INC.",9,77,2013-07-11,2019-12-17,35.6,1
POWER PARAGON INC,47,96,2013-06-27,2021-06-04,33.08,3
GULF COPPER & MANUFACTURING CORPORATION,17,13,2024-11-05,2025-12-18,31.59,1
US JOINER LLC,90,123,2013-06-05,2023-09-13,30.82,3
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",26,21,2024-03-07,2025-12-18,30.14,3
"MAXIM EVAPORATORS OF AMERICA, LLC",22,101,2016-11-30,2025-04-30,29.91,3
ESPEY MFG. & ELECTRONICS CORP.,40,69,2016-11-30,2022-08-16,28.59,2
ESPEY MFG AND ELECTRONICS CORP,35,36,2023-02-10,2026-02-27,25.01,3
AMERICAN METAL BEARING COMPANY,32,112,2013-07-05,2022-11-23,24.63,2
RIX INDUSTRIES,30,153,2013-06-28,2026-03-03,22.54,4
"ADI TECHNOLOGIES, INC.",19,97,2014-08-19,2022-09-23,20.8,2
HOWDEN NORTH AMERICA INC,27,19,2023-08-07,2025-03-19,19.36,3
"ENTWISTLE COMPANY, THE",56,98,2013-07-19,2021-09-01,18.77,2
JO-KELL INC.,113,145,2013-12-02,2026-01-05,18.65,4
"HILLER COMPANIES, INC., THE",36,109,2013-05-13,2022-06-29,18.54,3
EMS DEVELOPMENT CORPORATION,23,135,2013-07-31,2024-10-29,18.22,3
"THE HILLER COMPANIES, LLC",23,36,2022-06-29,2025-06-25,18.13,3
AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,82,121,2013-06-28,2023-07-13,17.95,3
JERED LLC,35,133,2013-07-23,2024-08-26,17.78,2
DYNALEC CORPORATION,218,153,2013-04-12,2026-01-14,17.75,4
BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,2,9,2025-03-25,2025-12-17,17.72,1
"MILWAUKEE VALVE COMPANY, INC.",118,119,2013-06-28,2023-05-02,17.69,2
"BUFFALO PUMPS, INC.",30,117,2013-06-27,2023-03-28,17.68,2
"DRS POWER & CONTROL TECHNOLOGIES, INC",17,12,2018-10-31,2019-10-02,17.1,2
PARKER HANNIFIN CORPORATION,9,17,2024-06-19,2025-11-24,17.08,2
"LESLIE CONTROLS, INC.",74,138,2014-07-16,2026-01-28,16.61,3
PORTLAND VALVE LLC,39,122,2013-07-26,2023-09-21,16.43,3
WARD LEONARD CT LLC,13,39,2022-05-16,2025-08-27,16.13,2
DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,29,27,2023-11-29,2026-02-25,15.46,3
"MORPAC INDUSTRIES, INC.",21,91,2013-06-28,2021-01-07,15.14,2
ALFA LAVAL INC.,17,110,2013-06-21,2022-08-29,14.69,2
THE ENTWISTLE COMPANY LLC,26,40,2022-07-20,2025-11-25,13.53,2
AIR & LIQUID SYSTEMS CORPORATION,9,7,2024-03-27,2024-10-15,13.36,2
PARKER-HANNIFIN CORPORATION,20,119,2013-06-27,2023-05-26,13.05,3
"JAMESTOWN METAL MARINE SALES, INC.",36,128,2015-02-03,2025-10-15,13.04,4
"HOWELL LABORATORIES, INC.",37,92,2013-06-27,2021-02-08,12.95,3
ALFA LAVAL INC,8,17,2023-09-01,2025-02-27,12.71,2
ESI ACQUISITION CORP.,51,111,2013-04-08,2022-07-14,12.46,3
MARTIN ENERGY SERVICES LLC,22,95,2015-08-18,2023-07-03,12.16,2
"W. & O. SUPPLY, INC.",62,143,2013-10-22,2025-09-26,11.89,4
"SOUTHCOAST WELDING & MANUFACTURING, LLC.",37,17,2023-09-05,2025-02-17,11.76,2
"GRISWOLD INDUSTRIES, CO.",77,128,2013-04-05,2023-12-21,11.64,4
MARMON AEROSPACE & DEFENSE LLC,1,0,2021-11-24,2021-11-24,11.5,1
INDEECO LLC,52,146,2013-07-15,2025-09-22,10.8,3
ADI TECHNOLOGIES INC.,9,23,2023-12-07,2025-11-25,10.76,2
"MAROTTA CONTROLS, INC.",92,115,2013-04-11,2022-11-01,10.28,3
"DRS POWER & CONTROL TECHNOLOGIES, INC.",12,40,2013-07-11,2016-11-23,10.22,2
PEERLESS MFG CO,12,26,2023-05-02,2025-07-31,10.22,2
SURFACE TECHNOLOGIES CORPORATION,39,102,2015-06-18,2023-12-21,9.94,3
"PACIFIC SHIP REPAIR & FABRICATION, INC.",56,123,2013-08-26,2023-11-27,9.92,3
"KINGSBURY, INC.",17,115,2013-06-28,2023-01-26,9.64,3
FACET (OKLAHOMA) LLC,27,82,2018-10-29,2025-08-14,9.28,4
"L3Harris Maritime Power & Energy Solutions, Inc.",6,2,2025-08-29,2025-10-31,9.25,1
JUNIPER ELBOW CO. INC.,58,143,2013-07-23,2025-06-26,9.21,4
BOGUE SYSTEMS INC.,28,99,2013-07-08,2021-10-15,9.18,3
"DRS NAVAL POWER SYSTEMS, INC",34,28,2020-01-13,2022-05-17,8.83,2
"STEELFAB, INC.",1,0,2022-05-16,2022-05-16,8.7,1
CIRCOR NAVAL SOLUTIONS LLC,8,17,2024-03-04,2025-08-15,8.64,2
APPLETON MARINE INC,13,17,2024-05-30,2025-10-03,8.62,2
EVAC NORTH AMERICA INC.,26,115,2013-06-06,2023-01-31,8.6,2
"MEGGITT SAFETY SYSTEMS, INC.",12,61,2017-06-21,2022-07-14,8.42,3
"MONROE CABLE COMPANY, INC., THE",2,12,2021-06-03,2022-06-02,8.13,1
MAROTTA CONTROLS INC,51,32,2023-01-18,2025-09-24,7.9,3
"MORPAC INDUSTRIES, INC",8,27,2023-04-06,2025-07-16,7.68,2
TYCO FIRE PRODUCTS LP,24,102,2013-07-25,2022-01-17,7.59,3
THE HELLAN STRAINER CO,37,150,2013-04-23,2025-10-30,7.49,4
"ASCO POWER TECHNOLOGIES, L.P.",14,122,2013-07-30,2023-09-27,6.83,2
"IMECO, INC.",13,89,2013-07-31,2020-12-01,6.77,2
BOGUE SYSTEMS INC,25,41,2022-08-11,2026-01-30,6.62,2
EMS Development Corporation,4,0,2025-05-30,2025-05-30,6.41,1
"IMIA, LLC",25,20,2024-05-27,2026-01-23,6.33,1
HOWDEN NORTH AMERICA INC.,18,108,2014-05-28,2023-05-03,6.07,3
"SOUTHCOAST WELDING & MANUFACTURING, LLC",34,96,2015-08-12,2023-08-15,6.04,3
"LISTER CHAIN AND FORGE, INC.",13,123,2013-07-31,2023-10-24,5.89,2
"WARTSILA DEFENSE, INC.",38,110,2013-07-23,2022-09-15,5.89,3
ARTCRAFT FABRICATORS INC,1,0,2023-01-13,2023-01-13,5.79,1
ART CRAFT FABRICATORS INC,1,0,2023-01-13,2023-01-13,5.79,1
AMERICAN METAL BEARING CO,8,14,2024-07-02,2025-09-11,5.69,2
"EASTERN SHIPBUILDING GROUP, INC.",3,6,2025-03-07,2025-09-08,5.65,1
INDUSTRIAL CORROSION CONTROL INC,18,37,2022-11-18,2025-12-08,5.61,2
HUNTINGTON INGALLS INCORPORATED,9,50,2013-06-21,2017-08-08,5.58,1
"AQUA-CHEM, INC.",13,129,2013-07-15,2024-04-30,5.51,3
"DOVER PUMPS & PROCESS SOLUTIONS SEGMENT, INC.",16,26,2021-07-20,2023-09-06,5.48,2
"MARK C. POPE ASSOCIATES, INC.",12,71,2020-01-10,2025-12-19,5.35,2
"DOVER ENERGY, INC.",26,81,2013-07-24,2020-04-14,5.34,3
"B.N.L. INDUSTRIES, INC.",46,107,2014-01-22,2022-12-12,5.34,2
"CORNELL-CARR CO., INC.",32,151,2013-04-18,2025-11-26,5.33,3
GEMS SENSORS INC.,26,126,2014-01-08,2024-07-09,5.28,3
South Florida Van Lines Inc,9,12,2013-06-26,2014-06-05,5.23,1
W.R. DAVIS ENGINEERING LIMITED,12,89,2013-07-24,2020-12-14,5.21,2
"INDUSTRIAL CORROSION CONTROL, INC.",23,83,2015-08-24,2022-07-22,5.19,3
GOODWIN STEEL CASTINGS LIMITED,2,1,2024-12-20,2025-01-30,5.07,1
"METALS USA PLATES AND SHAPES, INC.",1,0,2021-11-01,2021-11-01,4.92,1
WHITING DOOR MANUFACTURING CORP.,26,114,2016-06-13,2025-12-11,4.85,4
OLDENBURG GROUP INCORPORATED,23,47,2013-07-08,2017-06-09,4.76,1
CURTISS-WRIGHT FLOW CONTROL SERVICE CORPORATION,5,33,2013-07-31,2016-04-08,4.59,1
CURTISS-WRIGHT FLOW CONTROL CORPORATION,9,48,2021-05-27,2025-05-28,4.54,2
DANTE VALVE COMPANY,34,37,2022-08-03,2025-09-24,4.46,3
JA MOODY LLC,19,12,2024-11-05,2025-11-21,4.06,2
"WILLIAM E WILLIAMS, VALVE CORP",28,110,2014-05-16,2023-07-03,3.9,2
"NAG, LLC",13,106,2014-10-17,2023-08-08,3.85,2
LEXAIR INC,2,20,2023-09-15,2025-05-15,3.84,2
"BIRD-JOHNSON PROPELLER COMPANY, LLC",1,0,2001-10-22,2001-10-22,3.7,1
ESI ACQUISITION CORP,21,26,2022-08-16,2024-10-18,3.66,1
JUNIPER ELBOW CO INC,12,8,2023-03-29,2023-11-27,3.61,1
"MEGGITT DEFENSE SYSTEMS, INC.",14,74,2018-12-21,2025-02-19,3.53,2
"MARTIN ENERGY SERVICES, LLC",5,17,2024-08-01,2026-01-15,3.43,1
PIVOTAL POWER INC,57,147,2013-07-23,2025-10-28,3.42,3
"ELLWOOD GROUP, INC.",10,65,2013-07-29,2018-12-19,3.37,2
PRECISION PRODUCTS INC,26,40,2022-05-25,2025-09-30,3.3,1
MIDE TECHNOLOGY CORPORATION,27,116,2013-07-23,2023-03-16,3.29,3
"PRECISION PRODUCTS, INC.",26,52,2013-06-26,2017-10-24,3.28,2
PEERLESS MFG. CO.,5,40,2013-07-03,2016-11-30,3.28,1
"ACCU-FAB AND CONSTRUCTION, INC.",8,38,2021-01-08,2024-03-25,3.27,1
VELAN VALVE CORP.,23,44,2022-07-14,2026-03-02,3.23,2
"WESTLAND TECHNOLOGIES, INC.",26,148,2013-05-09,2025-09-30,3.11,3
Portland Valve LLC,5,5,2025-05-30,2025-10-16,3.09,2
