block,year,reported_subaward_$m
FY11 single-ship,2013,14.49
FY11 single-ship,2014,8.25
FY11 single-ship,2015,5.98
FY11 single-ship,2016,9.62
FY11 single-ship,2017,7.54
FY11 single-ship,2018,4.61
FY11 single-ship,2019,1.2
FY13-17 MYP,2013,228.48
FY13-17 MYP,2014,217.02
FY13-17 MYP,2015,174.64
FY13-17 MYP,2016,119.51
FY13-17 MYP,2017,97.06
FY13-17 MYP,2018,20.38
FY13-17 MYP,2019,14.21
FY13-17 MYP,2020,12.34
FY13-17 MYP,2021,16.82
FY13-17 MYP,2022,13.36
FY13-17 MYP,2023,14.08
FY13-17 MYP,2024,10.06
FY13-17 MYP,2025,3.12
FY13-17 MYP,2026,1.21
FY18-22 MYP,2001,3.7
FY18-22 MYP,2018,364.2
FY18-22 MYP,2019,148.82
FY18-22 MYP,2020,175.11
FY18-22 MYP,2021,139.18
FY18-22 MYP,2022,139.06
FY18-22 MYP,2023,120.97
FY18-22 MYP,2024,103.85
FY18-22 MYP,2025,126.51
FY18-22 MYP,2026,5.78
FY23-27 MYP,2023,256.17
FY23-27 MYP,2024,468.92
FY23-27 MYP,2025,416.86
FY23-27 MYP,2026,2.64
