piid,holder,fiscal_year,obligated_$m
W56HZV21DL002,BAY SHIP & YACHT CO,FY2021,41.52
W56HZV21DL002,BAY SHIP & YACHT CO,FY2022,66.71
W56HZV21DL002,BAY SHIP & YACHT CO,FY2025,37.2
W56HZV21DL003,"COLONNA'S SHIP YARD, INCORPORATED",FY2022,9.97
W56HZV21DL003,"COLONNA'S SHIP YARD, INCORPORATED",FY2023,13.96
W56HZV21DL003,"COLONNA'S SHIP YARD, INCORPORATED",FY2024,0.16
W56HZV21DL003,"COLONNA'S SHIP YARD, INCORPORATED",FY2025,28.8
W56HZV21DL008,LYON SHIPYARD INC,FY2023,8.89
W56HZV21DL008,LYON SHIPYARD INC,FY2025,3.04
W56HZV21DL010,"METAL TRADES, LLC",FY2021,5.9
W56HZV21DL010,"METAL TRADES, LLC",FY2022,12.96
W56HZV21DL010,"METAL TRADES, LLC",FY2023,10.12
W56HZV21DL010,"METAL TRADES, LLC",FY2024,7.95
W56HZV21DL010,"METAL TRADES, LLC",FY2025,21.94
W56HZV21DL011,"MURTECH, INC.",FY2021,1.49
W56HZV21DL011,"MURTECH, INC.",FY2022,1.73
W56HZV21DL011,"MURTECH, INC.",FY2023,1.21
W56HZV21DL011,"MURTECH, INC.",FY2025,6.04
W56HZV21DL015,YANK MARINE SERVICES LLC,FY2021,0.82
W56HZV21DL015,YANK MARINE SERVICES LLC,FY2025,1.23
W56HZV21DL022,"SUMITOMO HEAVY INDUSTRIES, LTD",FY2023,1.74
W56HZV21DL023,"SUNJIN ENTECH CO.,LTD.",FY2024,7.04
W56HZV21DL024,"YOKOHAMA ENGINEERING WORKS, LTD.",FY2022,6.28
W56HZV21DL024,"YOKOHAMA ENGINEERING WORKS, LTD.",FY2023,41.78
W56HZV21DL024,"YOKOHAMA ENGINEERING WORKS, LTD.",FY2024,34.06
W56HZV21DL024,"YOKOHAMA ENGINEERING WORKS, LTD.",FY2025,32.41
W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,FY2021,0.03
W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,FY2022,0.46
W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,FY2024,2.21
W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,FY2025,0.03
W56HZV21DL033,LYON SHIPYARD INC,FY2023,0.25
W56HZV21DL034,"METAL TRADES, LLC",FY2022,0.22
W56HZV21DL034,"METAL TRADES, LLC",FY2023,0.06
W56HZV21DL034,"METAL TRADES, LLC",FY2024,0.8
W56HZV21DL034,"METAL TRADES, LLC",FY2025,1.51
W56HZV21DL036,"SUMITOMO HEAVY INDUSTRIES, LTD",FY2022,0.35
W56HZV21DL038,"YOKOHAMA ENGINEERING WORKS, LTD.",FY2026,5.97
