piid,holder,holder_uei,single_or_multiple_award,award_type,type_of_idc,solicitation_id,extent_competed,set_aside,fair_opportunity_at_order,number_of_offers_at_order,ordering_pop_start,last_date_to_order,pool_ceiling_$m,n_orders,realized_obligation_$m,first_order_date,last_order_date,contracting_office,psc,psc_desc,naics,tas_federal_accounts,tas_account_titles,sam_orders_count,sam_orders_$m,usasp_idv_obligated_$m
W56HZV21DL002,BAY SHIP & YACHT CO,NQELRXR7L3J6,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL807,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,1; 2,2021-01-27,2026-01-25,529.0,5,145.4,2021-05-13,2025-09-08,W56HZV W4GG HQ US ARMY TACOM,J999,NON-NUCLEAR SHIP REPAIR (WEST),336611,021-2020; 021-2035,"Operation and Maintenance, Army; Other Procurement, Army",99,13.6,0.0
W56HZV21DL003,"COLONNA'S SHIP YARD, INCORPORATED",JSAXGRLNEJ63,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL807,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,1; 2; 3,2021-01-27,2026-01-25,529.0,6,52.9,2022-07-15,2025-08-27,W56HZV W4GG HQ US ARMY TACOM,J998,NON-NUCLEAR SHIP REPAIR (EAST),336611,021-2020; 021-2020; 021-2035,"Operation and Maintenance, Army; Operation and Maintenance, Army; Other Procurement, Army",75,0.9,0.0
W56HZV21DL008,LYON SHIPYARD INC,C1F2V6232KT5,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL807,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,2; 5,2021-01-27,2026-01-25,529.0,3,11.9,2023-07-07,2025-06-09,W56HZV W4GG HQ US ARMY TACOM,J998,NON-NUCLEAR SHIP REPAIR (EAST),336611,021-2020,"Operation and Maintenance, Army",38,11.2,0.0
W56HZV21DL010,"METAL TRADES, LLC",F8CDPL2GPP32,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL807,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,2; 3; 4; 5; 6,2021-01-27,2026-01-25,529.0,18,58.9,2021-08-23,2025-09-30,W56HZV W4GG HQ US ARMY TACOM,J998,NON-NUCLEAR SHIP REPAIR (EAST),336611,021-2020; 021-2020; 021-2035,"Operation and Maintenance, Army; Operation and Maintenance, Army; Other Procurement, Army",160,7.8,0.0
W56HZV21DL011,"MURTECH, INC.",DC9PZU5TNFJ6,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL807,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,3; 4; 5,2021-01-27,2026-01-25,529.0,6,10.5,2021-09-13,2025-06-02,W56HZV W4GG HQ US ARMY TACOM,J998,NON-NUCLEAR SHIP REPAIR (EAST),336611,021-2020,"Operation and Maintenance, Army",64,0.0,0.0
W56HZV21DL015,YANK MARINE SERVICES LLC,EN6EA4NCM9D3,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL807,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,4; 6,2021-01-27,2026-01-25,529.0,2,2.1,2021-09-09,2025-09-17,W56HZV W4GG HQ US ARMY TACOM,J019,"MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",336611,021-2020,"Operation and Maintenance, Army",22,2.1,0.0
W56HZV21DL022,"SUMITOMO HEAVY INDUSTRIES, LTD",JZUMWWR4MAF7,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL806,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,2,2021-01-27,2026-01-25,216.0,2,1.7,2023-09-06,2023-09-08,W56HZV W4GG HQ US ARMY TACOM,J019,"MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",336611,,,9,1.7,0.0
W56HZV21DL023,"SUNJIN ENTECH CO.,LTD.",VPNPDF9ALS28,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL806,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,2,2021-01-27,2026-01-25,216.0,1,7.0,2024-05-24,2024-05-24,W56HZV W4GG HQ US ARMY TACOM,J998,NON-NUCLEAR SHIP REPAIR (EAST),336611,021-2020,"Operation and Maintenance, Army",8,7.0,0.0
W56HZV21DL024,"YOKOHAMA ENGINEERING WORKS, LTD.",LYCFB7X6PJJ6,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL806,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,1; 2; 3,2021-01-27,2026-01-25,216.0,15,114.5,2022-09-06,2025-09-24,W56HZV W4GG HQ US ARMY TACOM,J999,NON-NUCLEAR SHIP REPAIR (WEST),336611,021-2020; 021-2020; 021-2035,"Operation and Maintenance, Army; Operation and Maintenance, Army; Other Procurement, Army",137,0.0,0.0
W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,VGCPT3NSM831,MULTIPLE AWARD,IDC,INDEFINITE DELIVERY / INDEFINITE QUANTITY,W56HZV20RL805,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,FAIR,1; 2; 4,2021-01-27,2026-01-25,186.0,6,2.7,2021-09-24,2025-07-22,W56HZV W4GG HQ US ARMY TACOM,J999,NON-NUCLEAR SHIP REPAIR (WEST),488390,021-2020; 021-2035,"Operation and Maintenance, Army; Other Procurement, Army",87,0.0,0.0
