vehicle_piid,role,clock_set,mod,last_date_to_order,event
GS07F0123H,predecessor,1998-09-15,0,2009-03-14,base clock
GS07F0123H,predecessor,2009-03-02,2,2013-09-14,EXTENDED / changed
GS07F0123H,predecessor,2013-07-16,42,2018-09-14,EXTENDED / changed
GS07F5488P,successor,2003-12-09,0,2008-12-08,base clock
GS07F5488P,successor,2008-11-06,2,2013-12-08,EXTENDED / changed
GS07F5488P,successor,2013-10-04,PO0031EXERCISEOPTION,2018-12-08,EXTENDED / changed
GS07F5488P,successor,2018-08-06,PGA617,2023-12-08,EXTENDED / changed
GS07F5488P,successor,2018-08-06,PMA617,2018-12-08,EXTENDED / changed
GS07F5488P,successor,2018-12-20,PMA707,2023-12-08,EXTENDED / changed
N0002413D2202,predecessor,2013-02-21,0,2018-02-22,base clock
N0002413D2253,predecessor,2013-06-13,0,2018-06-12,base clock
N0002414D2203,predecessor,2014-08-06,0,2019-08-07,base clock
N0002414D2205,predecessor,2013-11-21,0,2018-11-21,base clock
N0002414D2207,successor,2013-11-21,0,2018-11-21,base clock
N0002415D2214,predecessor,2015-09-29,0,2019-09-30,base clock
N0002415D2214,predecessor,2020-12-18,P00010,2022-09-30,EXTENDED / changed
N0002416D2211,predecessor,2016-08-31,0,2021-08-30,base clock
N0002416D2215,predecessor,2016-09-29,0,2021-09-30,base clock
N0002416D2215,predecessor,2022-04-28,P00010,2023-09-30,EXTENDED / changed
N0002417D2200,successor,2017-03-29,0,2021-09-30,base clock
N0002417D2209,predecessor,2017-09-29,0,2023-09-30,base clock
N0002417D2217,predecessor,2017-09-28,0,2023-09-29,base clock
N0002420D2210,predecessor,2020-08-13,0,2025-08-11,base clock
N0002421D2205,successor,2021-09-30,0,2026-10-01,base clock
N0002421D2220,successor,2021-09-28,0,2025-09-29,base clock
N0002421D2255,successor,2021-09-30,0,2028-10-01,base clock
N0002422D2270,successor,2022-03-09,0,2027-03-09,base clock
N0002423D2224,successor,2023-02-09,0,2028-02-09,base clock
N0002424D2275,successor,2024-05-16,0,2031-05-16,base clock
