builder,predecessor,successor,succ_award,pred_final_close,pred_close_vs_succ_mo,event_class,anticipable_t6,anticipable_t12,anticipable_t18,ldo_known_at_t12,lead_months,clock_extended_after_t12
METALCRAFT,N0002413D2202,N0002415D2214,2015-09-30,2018-02-22,28.8,parallel,Y,N,N,2018-02-22,7.2,N
GRAVOISALU,N0002413D2253,N0002414D2207,2016-06-01,2018-06-12,24.4,parallel,Y,N,N,2018-06-12,11.7,N
UNITEDSTAT,N0002414D2203,N0002416D2215,2016-09-29,2019-08-07,34.3,parallel,N,N,N,2019-08-07,1.7,N
WILLARDMAR,GS07F0123H,N0002417D2200,2017-04-03,2018-09-14,17.4,parallel,Y,Y,Y,2018-09-14,18.7,N
MODUTECHMA,N0002416D2211,GS07F5488P,2019-08-16,2021-08-30,24.5,parallel,Y,N,N,2021-08-30,11.6,N
UNITEDSTAT,N0002416D2215,N0002421D2220,2021-09-29,2023-09-30,24.0,parallel,Y,Y,Y,2021-09-30,12.0,Y
SILVERSHIP,N0002414D2205,N0002421D2205,2021-09-30,2018-11-21,-34.3,lapsed-rebuy,Y,Y,Y,2018-11-21,70.4,N
SNOWCOMPAN,N0002417D2217,N0002421D2255,2021-09-30,2023-09-29,24.0,parallel,Y,N,N,2023-09-29,12.1,N
METALCRAFT,N0002415D2214,N0002422D2270,2022-03-09,2022-09-30,6.7,recompete,Y,Y,Y,2022-09-30,29.4,N
RIBCRAFTUS,N0002420D2210,N0002423D2224,2023-02-09,2025-08-11,30.1,parallel,N,N,N,2025-08-11,6.0,N
GRAVOISALU,N0002417D2209,N0002424D2275,2024-05-16,2023-09-30,-7.5,recompete,Y,Y,Y,2023-09-30,43.6,N
