generated_internal_id,award_id,recipient_name,award_amount,contract_award_type,award_type_group,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics,psc,start_date,end_date,in_scope,matched_axes,matched_queries,description
CONT_AWD_N0002417C2100_9700_-NONE-_-NONE-,N0002417C2100,ELECTRIC BOAT CORPORATION,34664220619.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2017-02-14,2036-06-02,yes,naics:336611; psc:1905,naics:336611; psc:1905,SSN 802 AND 803 LONG LEAD TIME MATERIAL
CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,N0002417C2117,ELECTRIC BOAT CORPORATION,30825591803.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '541330', 'description': 'ENGINEERING SERVICES'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2017-09-21,2031-12-31,yes,psc:1905,psc:1905,COLUMBIA CLASS DESIGN COMPLETION
CONT_AWD_N0002412C2115_9700_-NONE-_-NONE-,N0002412C2115,ELECTRIC BOAT CORPORATION,20180072575.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2012-04-13,2026-03-23,yes,naics:336611; psc:1905,naics:336611; psc:1905,SSN 792 LONG LEAD TIME MATERIAL
CONT_AWD_N0002409C2104_9700_-NONE-_-NONE-,N0002409C2104,ELECTRIC BOAT CORPORATION,16238775949.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1904', 'description': 'SUBMARINES'}",2008-12-22,2023-08-31,yes,naics:336611,naics:336611,CONSTRUCTION OF VIRGINIA CLASS BLOCK III SUBMARINES.
CONT_AWD_N0002416C2116_9700_-NONE-_-NONE-,N0002416C2116,HUNTINGTON INGALLS INC,11895158670.85,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2016-05-23,2036-06-02,yes,naics:336611; psc:1905,naics:336611; psc:1905,CVN 80 ENGINEERING EFFORTS AND STEEL
CONT_AWD_N0002406C2222_9700_-NONE-_-NONE-,N0002406C2222,HUNTINGTON INGALLS INCORPORATED,10029620274.96,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1911', 'description': 'AMPHIBIOUS ASSAULT SHIPS'}",2006-06-01,2022-09-30,yes,naics:336611,naics:336611,DETAIL DESIGN AND CONSTRUCTION OF LPD 17 CLASS SHIP (LPD 22)
CONT_AWD_N0002403C2101_9700_-NONE-_-NONE-,N0002403C2101,ELECTRIC BOAT CORPORATION,9397332305.22,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1904', 'description': 'SUBMARINES'}",2003-08-14,2025-05-06,yes,naics:336611,naics:336611,
CONT_AWD_N0002423C2307_9700_-NONE-_-NONE-,N0002423C2307,HUNTINGTON INGALLS INCORPORATED,6948190150.83,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2023-08-01,2034-02-28,yes,naics:336611; psc:1905,naics:336611; psc:1905,CONSTRUCTION OF DDG 51 SHIPS FY23-27
CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,N0002418C2307,HUNTINGTON INGALLS INCORPORATED,6826680195.74,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2018-09-27,2032-07-09,yes,naics:336611; psc:1905,naics:336611; psc:1905,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION
CONT_AWD_N0002408C2110_9700_-NONE-_-NONE-,N0002408C2110,HUNTINGTON INGALLS INC,6645710960.11,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1901', 'description': 'AIRCRAFT CARRIERS'}",2008-08-01,2022-09-30,yes,naics:336611,naics:336611,TAS::17 1611::TAS CVN 78 SHIP CONSTRUCTION
CONT_AWD_N0002402C2300_9700_-NONE-_-NONE-,N0002402C2300,NATIONAL STEEL AND SHIPBUILDING COMPANY,5922645371.88,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1915', 'description': 'CARGO AND TANKER VESSELS'}",2001-10-18,2017-03-31,yes,naics:336611,naics:336611,
CONT_AWD_N0002416C2229_9700_-NONE-_-NONE-,N0002416C2229,NATIONAL STEEL AND SHIPBUILDING COMPANY,5875634500.23,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1915', 'description': 'CARGO AND TANKER VESSELS'}",2016-06-30,2028-03-22,yes,naics:336611,naics:336611,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205
CONT_AWD_N0002418C2305_9700_-NONE-_-NONE-,N0002418C2305,BATH IRON WORKS CORPORATION,5338956970.86,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2018-09-27,2030-12-20,yes,naics:336611; psc:1905,naics:336611; psc:1905,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION
CONT_AWD_N0002423C2305_9700_-NONE-_-NONE-,N0002423C2305,BATH IRON WORKS CORPORATION,5027580800.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2023-08-01,2034-02-28,yes,naics:336611; psc:1905,naics:336611; psc:1905,CONSTRUCTION OF DDG 51 SHIPS FY23-27
CONT_AWD_N0002411C2300_9700_-NONE-_-NONE-,N0002411C2300,LOCKHEED MARTIN CORPORATION,4980508595.15,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2010-12-29,2026-12-31,yes,naics:336611; psc:1905,naics:336611; psc:1905,BASIC AWARD
CONT_AWD_N0002424C2110_9700_-NONE-_-NONE-,N0002424C2110,ELECTRIC BOAT CORPORATION,4960017500.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2023-10-13,2035-09-30,yes,naics:336611; psc:1905,naics:336611; psc:1905,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL
CONT_AWD_N0002413C2305_9700_-NONE-_-NONE-,N0002413C2305,BATH IRON WORKS CORPORATION,4932453522.56,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2013-06-03,2027-01-31,yes,naics:336611; psc:1905,naics:336611; psc:1905,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.
CONT_AWD_N0002418C2406_9700_-NONE-_-NONE-,N0002418C2406,HUNTINGTON INGALLS INCORPORATED,4643553757.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",2018-08-02,2031-03-01,yes,naics:336611; psc:1905,naics:336611; psc:1905,LPD 30 LLTM
CONT_AWD_N0002498C2104_9700_-NONE-_-NONE-,N0002498C2104,HUNTINGTON INGALLS INC,4563665299.0,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1901', 'description': 'AIRCRAFT CARRIERS'}",1999-11-03,2023-05-17,yes,naics:336611,naics:336611,
CONT_AWD_N0002409C2116_9700_-NONE-_-NONE-,N0002409C2116,HUNTINGTON INGALLS INC,4515735503.83,DEFINITIVE CONTRACT,contract,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1901', 'description': 'AIRCRAFT CARRIERS'}",2009-01-15,2025-07-31,yes,naics:336611,naics:336611,TAS::17 1611::TAS CVN79 CONSTRUCTION PREPARATION EFFORTS FY09
