gid,piid,parent_idv,tier,struct_class,recipient,naics,psc,award_type,obligation,date_signed,in_opps_window,solicitation_identifier,match_level,matched_notice_type,matched_notice_id
CONT_AWD_N0002419C2210_9700_-NONE-_-NONE-,N0002419C2210,,other_small,definitive_synopsizable,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",336611,1925,D,2019738356.06,2019-04-23,no,N0002418R2210,NONE,,
CONT_AWD_N0002409C2229_9700_-NONE-_-NONE-,N0002409C2229,,other_small,definitive_synopsizable,NATIONAL STEEL AND SHIPBUILDING COMPANY,336611,1990,D,1965375702.1,2009-02-13,no,N0002408R2270,NONE,,
CONT_AWD_N0002404C2204_9700_-NONE-_-NONE-,N0002404C2204,,small_craft,definitive_synopsizable,HUNTINGTON INGALLS INCORPORATED,336612,1911,D,1304530568.3,2003-11-25,no,,NONE,,
CONT_AWD_N0002423C2203_9700_-NONE-_-NONE-,N0002423C2203,,other_small,definitive_synopsizable,"AUSTAL USA, LLC",336611,1925,D,631815731.0,2023-05-18,no,N0002422R2203,NONE,,
CONT_AWD_N0002418C2207_9700_-NONE-_-NONE-,N0002418C2207,,other_small,definitive_synopsizable,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",336611,1925,D,423966036.65,2018-03-16,no,N0002417R2207,NONE,,
CONT_AWD_N0002421C2209_9700_-NONE-_-NONE-,N0002421C2209,,other_small,definitive_synopsizable,"AUSTAL USA, LLC",336611,1925,D,383613133.75,2021-06-03,no,N0002421R2209,NONE,,
CONT_AWD_N0002419C6402_9700_-NONE-_-NONE-,N0002419C6402,,other_small,definitive_synopsizable,"TELEDYNE BROWN ENGINEERING, INC.",336611,1990,D,242754694.06,2019-09-27,no,N0002419R6402,NONE,,
CONT_AWD_N0002409C2256_9700_-NONE-_-NONE-,N0002409C2256,,small_craft,definitive_synopsizable,"SWIFTSHIPS SHIPBUILDERS, L.L.C.",336612,1940,D,240117440.61,2009-09-25,no,N0002409R2256,NONE,,
CONT_AWD_N0002421C2201_9700_-NONE-_-NONE-,N0002421C2201,,small_craft,definitive_synopsizable,SAFE BOATS INTERNATIONAL LLC,336612,1940,D,173877214.66,2020-12-31,no,N0002421R2200,NONE,,
CONT_AWD_N0002419C2208_9700_-NONE-_-NONE-,N0002419C2208,,other_small,definitive_synopsizable,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",336611,1990,D,166503477.25,2018-11-16,no,N0002418R2208,NONE,,
CONT_AWD_N0002410C2201_9700_-NONE-_-NONE-,N0002410C2201,,other_small,definitive_synopsizable,DAKOTA CREEK INDUSTRIES INC,336611,1925,D,153640506.72,2010-01-27,no,N0002409R2212,NONE,,
CONT_AWD_N6238715C2502_9700_-NONE-_-NONE-,N6238715C2502,,small_craft,definitive_synopsizable,HORNBECK OFFSHORE SERVICES LLC,336611,1940,D,152000000.0,2015-02-25,no,,NONE,,
CONT_AWD_N0002422C6305_9700_-NONE-_-NONE-,N0002422C6305,,small_craft,definitive_synopsizable,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",336611,1940,D,116471180.83,2022-04-08,no,N0002421R6300,NONE,,
CONT_AWD_N0002423C6308_9700_-NONE-_-NONE-,N0002423C6308,,small_craft,definitive_synopsizable,"HII UNMANNED SYSTEMS, INC",334511,1940,D,113258553.29,2023-09-28,no,N0002423R6308,NONE,,
CONT_AWD_N0002422C2505_9700_-NONE-_-NONE-,N0002422C2505,,other_small,definitive_synopsizable,NATIONAL STEEL AND SHIPBUILDING COMPANY,336611,1925,D,98697871.86,2022-04-04,no,N0002421R2504,NONE,,
CONT_AWD_N0002410C2239_9700_-NONE-_-NONE-,N0002410C2239,,other_small,definitive_synopsizable,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",336611,1990,D,97587904.73,2009-12-22,no,N0002409R2239,NONE,,
CONT_AWD_N0002418C2205_9700_-NONE-_-NONE-,N0002418C2205,,other_small,definitive_synopsizable,DAKOTA CREEK INDUSTRIES INC,336611,1925,D,81848334.82,2018-07-13,no,N0002417R2205,NONE,,
