generated_internal_id,piid,tier,award_amount,recipient,matched_axes
CONT_AWD_N0002417C2100_9700_-NONE-_-NONE-,N0002417C2100,broad_maritime,34664220619.0,ELECTRIC BOAT CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,N0002417C2117,broad_maritime,30825591803.0,ELECTRIC BOAT CORPORATION,psc:1905
CONT_AWD_N0002412C2115_9700_-NONE-_-NONE-,N0002412C2115,broad_maritime,20180072575.0,ELECTRIC BOAT CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002409C2104_9700_-NONE-_-NONE-,N0002409C2104,broad_maritime,16238775949.0,ELECTRIC BOAT CORPORATION,naics:336611
CONT_AWD_N0002416C2116_9700_-NONE-_-NONE-,N0002416C2116,broad_maritime,11895158670.85,HUNTINGTON INGALLS INC,naics:336611; psc:1905
CONT_AWD_N0002406C2222_9700_-NONE-_-NONE-,N0002406C2222,broad_maritime,10029620274.96,HUNTINGTON INGALLS INCORPORATED,naics:336611
CONT_AWD_N0002403C2101_9700_-NONE-_-NONE-,N0002403C2101,broad_maritime,9397332305.22,ELECTRIC BOAT CORPORATION,naics:336611
CONT_AWD_N0002423C2307_9700_-NONE-_-NONE-,N0002423C2307,broad_maritime,6948190150.83,HUNTINGTON INGALLS INCORPORATED,naics:336611; psc:1905
CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,N0002418C2307,broad_maritime,6826680195.74,HUNTINGTON INGALLS INCORPORATED,naics:336611; psc:1905
CONT_AWD_N0002408C2110_9700_-NONE-_-NONE-,N0002408C2110,broad_maritime,6645710960.11,HUNTINGTON INGALLS INC,naics:336611
CONT_AWD_N0002402C2300_9700_-NONE-_-NONE-,N0002402C2300,broad_maritime,5922645371.88,NATIONAL STEEL AND SHIPBUILDING COMPANY,naics:336611
CONT_AWD_N0002416C2229_9700_-NONE-_-NONE-,N0002416C2229,broad_maritime,5875634500.23,NATIONAL STEEL AND SHIPBUILDING COMPANY,naics:336611
CONT_AWD_N0002418C2305_9700_-NONE-_-NONE-,N0002418C2305,broad_maritime,5338956970.86,BATH IRON WORKS CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002423C2305_9700_-NONE-_-NONE-,N0002423C2305,broad_maritime,5027580800.0,BATH IRON WORKS CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002411C2300_9700_-NONE-_-NONE-,N0002411C2300,broad_maritime,4980508595.15,LOCKHEED MARTIN CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002424C2110_9700_-NONE-_-NONE-,N0002424C2110,broad_maritime,4960017500.0,ELECTRIC BOAT CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002413C2305_9700_-NONE-_-NONE-,N0002413C2305,broad_maritime,4932453522.56,BATH IRON WORKS CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002418C2406_9700_-NONE-_-NONE-,N0002418C2406,broad_maritime,4643553757.0,HUNTINGTON INGALLS INCORPORATED,naics:336611; psc:1905
CONT_AWD_N0002498C2104_9700_-NONE-_-NONE-,N0002498C2104,broad_maritime,4563665299.0,HUNTINGTON INGALLS INC,naics:336611
CONT_AWD_N0002409C2116_9700_-NONE-_-NONE-,N0002409C2116,broad_maritime,4515735503.83,HUNTINGTON INGALLS INC,naics:336611
CONT_AWD_N0002415C2114_9700_-NONE-_-NONE-,N0002415C2114,broad_maritime,4500863792.12,HUNTINGTON INGALLS INC,naics:336611; psc:1905
CONT_AWD_N0002411C2301_9700_-NONE-_-NONE-,N0002411C2301,broad_maritime,4462893976.64,"AUSTAL USA, LLC",naics:336611; psc:1905
CONT_AWD_N0002420C2120_9700_-NONE-_-NONE-,N0002420C2120,broad_maritime,4315002657.5,ELECTRIC BOAT CORPORATION,naics:336611; psc:1905
CONT_AWD_N0002421C2106_9700_-NONE-_-NONE-,N0002421C2106,broad_maritime,3718736971.67,HUNTINGTON INGALLS INC,naics:336611; psc:1905
