parent,psc,desc,net,breadth,n_years,span,idv,governing,mo_to_gov,status,extent,fair_opp,parent_idv,idv_type,rep_piid
RTX,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",6936060116.299998,15,10,13,0,2030-01-30,43.2,MONITOR,FULL AND OPEN COMPETIT,,,,N0002422C5500
Lockheed Martin,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",5419638740.94,10,8,8,0,2029-12-31,42.2,MONITOR,NOT AVAILABLE FOR COMP,,,,N0002420C5105
Lockheed Martin,5865,"ELECTRONIC COUNTERMEASURES, CO",2837913528.61,55,14,15,0,2031-07-30,61.1,MONITOR,NOT COMPETED,,,,N0002425C6202
RTX,5841,"RADAR EQUIPMENT, AIRBORNE",3178206147.4500003,12,9,16,0,2029-01-31,31.2,FORMING (shape now),NOT COMPETED,,,,N0001925C0104
Erapsco,5845,UNDERWATER SOUND EQUIPMENT,2470671539.310001,30,11,12,0,2026-03-31,-2.9,OPEN NOW,NOT COMPETED,,N0001919D0032,IDC,N0001923F0321
Lockheed Martin,1287,FIRE CONTROL SONAR EQUIPMENT,3208146090.11,9,8,23,0,2032-01-28,67.1,MONITOR,NOT COMPETED,,,,N0002420C6117
BAE Systems,5865,"ELECTRONIC COUNTERMEASURES, CO",1295339811.0400002,45,17,19,0,2029-02-28,32.1,FORMING (shape now),NOT COMPETED,,,,N0001924C0003
RTX,1260,FIRE CONTROL DESIGNATING AND I,1638547102.5500002,16,13,13,0,2030-10-01,51.2,MONITOR,NOT COMPETED,,,,N0002419C5112
Northrop Grumman,5865,"ELECTRONIC COUNTERMEASURES, CO",1086087664.06,68,16,19,0,2029-12-19,41.8,FORMING (shape now),NOT COMPETED,,,,N0002422C5520
Lockheed Martin,1285,"FIRE CONTROL RADAR EQUIPMENT, ",2574260899.12,8,6,10,0,2031-09-30,63.1,MONITOR,NOT COMPETED,,,,N0002421C5127
RTX,1095,MISCELLANEOUS WEAPONS,2342113047.31,6,6,20,0,2029-01-04,30.3,FORMING (shape now),NOT COMPETED,,,,N0002424C5406
RTX,5865,"ELECTRONIC COUNTERMEASURES, CO",815940286.1300001,43,16,22,1,2029-02-21,31.9,FORMING (shape now),NOT COMPETED,,N0038319GUX01,BOA,N0038324FUX0D
L3Harris,5865,"ELECTRONIC COUNTERMEASURES, CO",645677990.8699996,92,17,17,1,2027-12-31,18.2,FORMING (shape now),NOT COMPETED,,,,N0002421C5525
Lockheed Martin,5845,UNDERWATER SOUND EQUIPMENT,1139874326.77,13,9,16,0,2028-03-29,21.1,FORMING (shape now),NOT COMPETED,,,,N0003923C9000
Lockheed Martin,1230,"FIRE CONTROL SYSTEMS, COMPLETE",1979632975.29,7,4,10,0,2032-01-31,67.2,MONITOR,NOT AVAILABLE FOR COMP,,,,N0002423C5101
RTX,1230,"FIRE CONTROL SYSTEMS, COMPLETE",1912896525.61,2,2,12,0,2027-04-23,9.9,OPEN NOW,NOT COMPETED,,,,N0002422C5522
RTX,1680,MISCELLANEOUS AIRCRAFT ACCESSO,701702584.53,11,7,13,0,2028-11-13,28.6,FORMING (shape now),NOT COMPETED,,N0038323GSV01,BOA,N0038326FSV00
Sierra Nevada,5865,"ELECTRONIC COUNTERMEASURES, CO",381458182.22999996,23,10,17,0,2028-08-31,26.2,FORMING (shape now),NOT COMPETED,,N0001923D0012,IDC,N0001926F0161
RTX,1265,FIRE CONTROL TRANSMITTING AND ,631860452.58,5,5,17,1,2029-11-26,41.0,FORMING (shape now),NOT COMPETED,,,,N0002425C5239
Lockheed Martin,5999,MISCELLANEOUS ELECTRICAL AND E,391646154.08,11,8,7,0,2025-05-28,-12.9,PAST (recompeted/bridged?),FULL AND OPEN COMPETIT,,,,N0002417C5353
Lockheed Martin,AC15,NATIONAL DEFENSE R&D SVCS; DEP,871950625.72,4,3,6,0,2029-07-31,37.2,FORMING (shape now),NOT COMPETED,,,,N0001922C0062
Saab,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",468069504.9,7,6,8,0,2027-09-30,15.1,OPEN NOW,NOT COMPETED,,,,N0002422C5530
BAE Systems,5841,"RADAR EQUIPMENT, AIRBORNE",358094562.11,16,8,10,0,2027-11-30,17.1,OPEN NOW,NOT COMPETED,,N0001922G0009,BOA,N0001923F0023
Canadian Commercial,5855,"NIGHT VISION EQUIPMENT, EMITTE",284086907.0,15,10,11,0,2026-10-31,4.2,OPEN NOW,NOT AVAILABLE FOR COMP,,N0016424DJQ87,IDC,N0016426FL025
Northrop Grumman,5841,"RADAR EQUIPMENT, AIRBORNE",502412428.13,5,4,8,0,2030-04-29,46.1,MONITOR,NOT COMPETED,,N0016425GJW77,BOA,N0016425FJ637
Leidos,5865,"ELECTRONIC COUNTERMEASURES, CO",265087142.74000004,20,8,10,0,2026-09-04,2.3,OPEN NOW,NOT COMPETED,,,,N0001919C0051
Northrop Grumman,6605,NAVIGATIONAL INSTRUMENTS,238200340.44,12,9,9,0,2031-04-17,57.7,MONITOR,NOT COMPETED,,,,N0010424CUA09
RTX,5826,"RADIO NAVIGATION EQUIPMENT, AI",713868915.45,2,2,8,0,2024-10-31,-19.8,PAST (recompeted/bridged?),NOT COMPETED,,,,N0001916C0052
Lockheed Martin,K019,MODIFICATION OF EQUIPMENT- SHI,1055127941.5,1,1,0,0,2028-10-11,27.5,FORMING (shape now),FULL AND OPEN COMPETIT,,,,N0002417C6259
Lockheed Martin,1427,GUIDED MISSILE SUBSYSTEMS,693229414.71,2,2,2,0,2028-02-28,20.1,FORMING (shape now),NOT COMPETED,,,,N0003021C0015
The Charles Stark Draper Laboratory,1427,GUIDED MISSILE SUBSYSTEMS,691899302.0,2,2,2,0,2029-02-28,32.1,FORMING (shape now),NOT COMPETED,,,,N0003023C6008
Lockheed Martin,1095,MISCELLANEOUS WEAPONS,667321278.98,2,2,5,0,2026-09-30,3.2,OPEN NOW,FULL AND OPEN COMPETIT,,,,N0002416C6412
Northrop Grumman,AC15,NATIONAL DEFENSE R&D SVCS; DEP,216221344.19,9,8,9,0,2026-09-30,3.2,OPEN NOW,NOT COMPETED,,N6893622D0028,IDC,N6893625F0172
Lockheed Martin,3590,MISCELLANEOUS SERVICE AND TRAD,966400960.03,1,1,0,0,2029-08-01,37.2,FORMING (shape now),FULL AND OPEN COMPETIT,,,,N0002418C5218
Lockheed Martin,K012,MODIFICATION OF EQUIPMENT- FIR,453670204.32000005,3,3,7,0,2030-02-13,43.6,MONITOR,FULL AND OPEN COMPETIT,,,,N0002418C6258
Ultra Electronics Ocean,5865,"ELECTRONIC COUNTERMEASURES, CO",196795605.96999997,35,8,8,0,2027-08-29,14.1,OPEN NOW,FULL AND OPEN COMPETIT,,N0002426D6214,IDC,N0002426F6229
General Dynamics,1260,FIRE CONTROL DESIGNATING AND I,442617487.0,5,3,6,0,2030-08-27,50.0,MONITOR,NOT AVAILABLE FOR COMP,,,,N0002425C6208
Science Applications International,1355,"TORPEDOS AND COMPONENTS, INERT",562563005.47,2,2,1,0,2032-12-31,78.2,MONITOR,FULL AND OPEN COMPETIT,,,,N0002422C6419
Lockheed Martin,AC67,R&D- DEFENSE SYSTEM: ELECTRONI,547475993.68,3,2,2,0,2016-12-31,-113.8,PAST (recompeted/bridged?),NOT COMPETED,,,,N0002412C5102
RTX,H212,EQUIPMENT AND MATERIALS TESTIN,774039836.53,1,1,0,0,2024-08-02,-22.8,PAST (recompeted/bridged?),NOT COMPETED,,,,N0002417C5145
