cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
1905,COMBAT SHIPS AND LANDING VESSELS,235936059261.07034,657,80,0.5460176547074187,0.394294794302779,2.536173478445926,Moderate,21,19
1904,SUBMARINES,28770266056.05,11,2,0.9992263783471228,0.9984539536751691,1.001548440285243,High,8,8
1410,GUIDED MISSILES,25573131856.369934,487,22,0.5721815217140398,0.3933934728785117,2.541984219216625,Moderate,29,21
1901,AIRCRAFT CARRIERS,23923086394.340004,8,1,1.0,1.0,1.0,High,11,7
R425,SUPPORT- PROFESSIONAL: ENGINEERING,23295061124.759975,517,150,0.08518546572693068,0.0287795558805293,34.74688783076552,Lower,25,25
1911,AMPHIBIOUS ASSAULT SHIPS,19269967480.44,6,2,0.9971838489060719,0.9943835592261114,1.0056481633488183,High,10,5
J998,NON-NUCLEAR SHIP REPAIR (EAST),19195335471.89999,236,30,0.4638432153250978,0.2741588694298607,3.647520148006135,Lower,22,21
4470,NUCLEAR REACTORS,19028248847.57,10,4,0.7581407474294347,0.627713481286872,1.5930835163041352,High,18,8
J999,NON-NUCLEAR SHIP REPAIR (WEST),18713246087.05002,223,29,0.3589418173695849,0.22418987126599774,4.460504813857161,Lower,26,25
1420,GUIDED MISSILE COMPONENTS,16363524340.85,79,11,0.8695326081942868,0.7677223649395463,1.302554211871559,High,23,20
1915,CARGO AND TANKER VESSELS,16170246199.67,11,5,0.9205974024324872,0.8534356627316892,1.1717344888063215,High,23,6
1903,DESTROYERS,15994555482.37,12,3,0.6671431525803724,0.5483415810187365,1.8236807760267784,High,11,6
5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE",14570153996.760002,59,16,0.47604576573743745,0.3684107144515017,2.7143618813823664,Moderate,16,14
5865,"ELECTRONIC COUNTERMEASURES, COUNTE",9754012638.459991,799,80,0.2909483136632535,0.13212525975496156,7.56857547038766,Lower,23,22
J019,MAINT/REPAIR/REBUILD OF EQUIPMENT-,8196144445.629998,58,18,0.7542792418789301,0.5769098528687694,1.733373065180552,High,27,19
5845,UNDERWATER SOUND EQUIPMENT,7420776797.749999,800,75,0.3357839458216172,0.16232628998227255,6.160431561081133,Lower,19,20
5821,RADIO AND TELEVISION COMMUNICATION,5823897978.190001,507,7,0.3177240074172934,0.24737214483163983,4.042492337528927,Lower,21,18
1550,UNMANNED AIRCRAFT,5795362852.809999,347,35,0.6694553295638477,0.4917059691289118,2.0337357339215614,High,15,16
AJ43,R&D- GENERAL SCIENCE/TECHNOLOGY: E,5763325356.389999,4,4,0.9835542050103225,0.9675079385350427,1.033583250504544,High,14,4
5841,"RADAR EQUIPMENT, AIRBORNE",5678831101.179998,509,41,0.6755851282111222,0.4758323717186337,2.1015804292342555,High,27,22
1230,"FIRE CONTROL SYSTEMS, COMPLETE",5309088366.860002,26,7,0.3728762526627206,0.3315259465673365,3.0163551611996953,Lower,16,13
5895,MISCELLANEOUS COMMUNICATION EQUIPM,4843273056.58001,802,154,0.2235181761679219,0.09835368979847976,10.167386724879709,Lower,24,19
R408,SUPPORT- PROFESSIONAL: PROGRAM MAN,4756981307.700001,64,38,0.19772530801782107,0.08239332097063325,12.13690610136253,Lower,22,19
DA01,IT AND TELECOM - BUSINESS APPLICAT,4291807008.520001,189,59,0.2840149523755829,0.1388099750878067,7.204093217129621,Lower,7,8
1925,SPECIAL SERVICE VESSELS,4202880385.06,37,24,0.5826408334162101,0.4181508202359129,2.3914816176513027,High,21,14
AC22,NATIONAL DEFENSE R&D SERVICES; ATO,4082466714.99,3,3,0.981939996448892,0.9644408235726293,1.0368702522313884,High,8,3
1140,NUCLEAR COMPONENTS,3730297507.0,6,2,0.5888543993818239,0.5157902085790094,1.9387727478483507,High,14,4
1095,MISCELLANEOUS WEAPONS,3636835404.55,11,3,0.7432065904545501,0.5913979061014206,1.6909089289682182,High,20,8
K019,"MODIFICATION OF EQUIPMENT- SHIPS, ",3412883937.859999,10,5,0.4011658663577335,0.3158871508915859,3.1656874842092106,Lower,20,7
1287,FIRE CONTROL SONAR EQUIPMENT,3280839556.11,10,2,0.9778430292744366,0.9566679212523401,1.045294796433579,High,23,9
AC15,NATIONAL DEFENSE R&D SVCS; DEPARTM,3235962110.5300007,30,9,0.827430102919673,0.6968846195645445,1.4349577705199754,High,9,10
J069,MAINT/REPAIR/REBUILD OF EQUIPMENT-,3193778173.17,28,9,0.37288968939816497,0.20423888466557513,4.896227286187056,Lower,24,18
D399,IT AND TELECOM- OTHER IT AND TELEC,3087164218.810007,637,192,0.08272273804677605,0.038125665592503695,26.22905028565904,Lower,16,17
AC13,NATIONAL DEFENSE R&D SERVICES; DEP,3070083383.7999997,201,99,0.10007508987906208,0.030255314122929262,33.05204487175167,Lower,9,7
D318,IT AND TELECOM- INTEGRATED HARDWAR,2889108516.12,120,33,0.673049465947867,0.46051479173269216,2.171482909891968,High,8,9
R499,SUPPORT- PROFESSIONAL: OTHER,2776377070.9100003,50,39,0.13375416428154108,0.0692673593204086,14.436814248603307,Lower,18,18
1990,MISCELLANEOUS VESSELS,2683469146.5099998,174,23,0.7352654704363106,0.5595140461786806,1.787265229228312,High,14,9
J014,MAINT/REPAIR/REBUILD OF EQUIPMENT-,2671437990.209999,281,4,0.818395467479347,0.6997837849481369,1.4290128201157348,High,27,19
5826,"RADIO NAVIGATION EQUIPMENT, AIRBOR",2660141793.4299994,342,34,0.32432725032583976,0.24935611663977855,4.010328735767915,Lower,18,16
1285,"FIRE CONTROL RADAR EQUIPMENT, EXCE",2631108847.5699997,10,3,0.9783939199237224,0.9576958538891513,1.044172840405494,High,11,7
1940,SMALL CRAFT,2568087455.389998,387,71,0.12173359095067261,0.070353665158836,14.213900551482583,Lower,21,18
1260,FIRE CONTROL DESIGNATING AND INDIC,2307552421.2200003,32,7,0.7100801210330479,0.5468855807254508,1.828536050764928,High,13,14
1427,GUIDED MISSILE SUBSYSTEMS,2254436767.91,9,4,0.6830579687260828,0.5608190342189648,1.7831063836709264,High,12,8
AC32,NATIONAL DEFENSE R&D SERVICES; DEF,2242474143.28,185,17,0.5692368387815179,0.3965424734705926,2.5217979583570624,Moderate,9,9
1910,"TRANSPORT VESSELS, PASSENGER AND T",2195536832.74,3,2,0.909888548959985,0.8360172451370442,1.196147574487025,High,11,3
D310,IT AND TELECOM- CYBER SECURITY AND,2193479411.8900003,67,12,0.7246286193360949,0.5363763622232314,1.8643625454617179,High,7,8
1355,"TORPEDOS AND COMPONENTS, INERT",2028451616.9300005,20,14,0.3591634600694257,0.24982146241077652,4.002858642928444,Lower,15,11
AC33,NATIONAL DEFENSE R&D SERVICES; DEF,2003287865.4499998,37,22,0.5042332689281753,0.3165904214120816,3.1586552604457236,Lower,20,8
AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/C,1933511665.2400005,32,17,0.33207537482857735,0.15530886491731646,6.438782490184197,Lower,17,15
L010,TECHNICAL REPRESENTATIVE- WEAPONS,1869373852.9499998,10,4,0.8802219558989473,0.7808602207220533,1.2806389331438992,High,10,6
AC14,NATIONAL DEFENSE R&D SERVICES; DEP,1824781140.0400002,25,12,0.29197731082332484,0.1859365226276176,5.37817953067101,Lower,12,9
DJ01,IT AND TELECOM - SECURITY AND COMP,1767804936.1999993,111,6,0.7915596067730902,0.6409572701891036,1.5601664050163075,High,5,6
5810,COMMUNICATIONS SECURITY EQUIPMENT ,1735965269.3000014,753,213,0.2785531551705448,0.1419867057685923,7.042912888124782,Lower,20,20
7030,INFORMATION TECHNOLOGY SOFTWARE,1734388691.5200005,847,217,0.1991780401757863,0.05891489533699033,16.97363619641601,Lower,18,15
5820,RADIO AND TELEVISION COMMUNICATION,1661302177.6599991,765,95,0.5634168481187423,0.3271527081611476,3.0566765154437414,Lower,17,17
1265,FIRE CONTROL TRANSMITTING AND RECE,1523785133.9500003,14,5,0.41466505907041695,0.31786398979589237,3.145999647969317,Lower,17,11
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES,1522927207.47,81,18,0.6005054423574708,0.38263270332179156,2.613472375253316,High,16,16
5825,"RADIO NAVIGATION EQUIPMENT, EXCEPT",1522725173.6499999,115,14,0.6067136707837404,0.4126489969101814,2.4233670928265054,High,13,11
AC35,NATIONAL DEFENSE R&D SVCS; DEFENSE,1500644902.98,3,2,0.9867605624751422,0.9738716903622338,1.0268293142683382,High,7,3
1425,"GUIDED MISSILE SYSTEMS, COMPLETE",1429585810.29,6,4,0.4593640586477173,0.39389887424180026,2.5387226656203548,Moderate,18,6
AC12,NATIONAL DEFENSE R&D SERVICES; DEP,1396174176.8299997,104,70,0.12804382931354524,0.04196227975607579,23.830926389436893,Lower,12,8
J058,MAINT/REPAIR/REBUILD OF EQUIPMENT-,1360123947.92,28,17,0.32594729079505613,0.16744120907917168,5.972245455580575,Lower,14,11
3590,MISCELLANEOUS SERVICE AND TRADE EQ,1265597542.59,7,7,0.7635926331306674,0.6076565467682968,1.6456664629358566,High,9,6
