parent,psc,desc,net,breadth,n_years,span,latest_end,idv
General Dynamics,1905,COMBAT SHIPS AND LANDING VESSE,128825253738.64,172,17,16,2036,0
Huntington Ingalls,1905,COMBAT SHIPS AND LANDING VESSE,71585736998.72998,108,18,17,2036,0
General Dynamics,1904,SUBMARINES,28748008755.27,10,7,7,2026,1
Huntington Ingalls,1901,AIRCRAFT CARRIERS,23923086394.340004,8,7,11,2025,0
Huntington Ingalls,1911,AMPHIBIOUS ASSAULT SHIPS,19215700340.44,5,5,10,2022,0
General Dynamics,1915,CARGO AND TANKER VESSELS,14886286648.11,4,3,23,2036,0
RTX,1410,GUIDED MISSILES,14632812703.510006,155,19,18,2031,1
Fluor Marine Propulsion,4470,NUCLEAR REACTORS,14426090803.57,1,1,0,2028,0
Lockheed Martin,1420,GUIDED MISSILE COMPONENTS,14228617999.35,15,15,22,2030,0
General Dynamics,1903,DESTROYERS,10670658168.630001,4,3,9,2025,0
Lockheed Martin,1905,COMBAT SHIPS AND LANDING VESSE,10571341490.23,48,14,14,2029,0
BAE Systems,J998,NON-NUCLEAR SHIP REPAIR (EAST),8903626124.529999,58,16,22,2028,0
Austal,1905,COMBAT SHIPS AND LANDING VESSE,7670494206.690001,12,8,14,2030,0
RTX,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",6936060116.299998,15,10,13,2030,0
BAE Systems,J999,NON-NUCLEAR SHIP REPAIR (WEST),6716966559.37,49,18,20,2027,0
Huntington Ingalls,J019,MAINT/REPAIR/REBUILD OF EQUIPM,6182181618.78,19,12,27,2027,0
Boeing,1410,GUIDED MISSILES,6107935801.369998,203,16,15,2029,0
Bechtel Plant Machinery,1905,COMBAT SHIPS AND LANDING VESSE,6031266364.0,3,1,0,2035,0
RTX,AJ43,R&D- GENERAL SCIENCE/TECHNOLOG,5668542889.12,1,1,0,2019,0
Lockheed Martin,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",5419638740.94,10,8,8,2029,0
Huntington Ingalls,1903,DESTROYERS,5136321240.66,6,5,11,2024,0
General Dynamics,J999,NON-NUCLEAR SHIP REPAIR (WEST),4644568924.350001,30,14,21,2027,0
Bechtel Plant Machinery,4470,NUCLEAR REACTORS,4372838762.0,7,5,7,2028,0
Metro Machine,J998,NON-NUCLEAR SHIP REPAIR (EAST),4216913648.9199996,32,15,16,2027,0
Lockheed Martin,AC22,NATIONAL DEFENSE R&D SERVICES;,4008737351.62,1,1,0,2026,0
Northrop Grumman,1550,UNMANNED AIRCRAFT,3879736548.569999,32,12,12,2029,0
RTX,5841,"RADAR EQUIPMENT, AIRBORNE",3836533837.58,139,18,19,2029,0
Lockheed Martin,1287,FIRE CONTROL SONAR EQUIPMENT,3208146090.11,9,8,23,2032,0
Vigor Marine,J999,NON-NUCLEAR SHIP REPAIR (WEST),3132963029.45,49,13,13,2027,0
Textron,1905,COMBAT SHIPS AND LANDING VESSE,3077034332.78,5,5,14,2031,0
Fincantieri,1905,COMBAT SHIPS AND LANDING VESSE,2998799526.57,4,3,3,2034,0
Lockheed Martin,5865,"ELECTRONIC COUNTERMEASURES, CO",2837913528.61,55,14,15,2031,0
RTX,1095,MISCELLANEOUS WEAPONS,2702920041.06,8,8,20,2029,0
Lockheed Martin,AC15,NATIONAL DEFENSE R&D SVCS; DEP,2677532462.16,5,3,6,2029,0
Lockheed Martin,1285,"FIRE CONTROL RADAR EQUIPMENT, ",2574260899.12,8,6,10,2031,0
Erapsco,5845,UNDERWATER SOUND EQUIPMENT,2491777714.2100005,40,11,12,2026,0
Bollinger,1925,SPECIAL SERVICE VESSELS,2448769730.3,5,4,3,2030,0
