usv_prime,awards_in_standard_universe,dollars,verdict
SARONIC,0,0,ABSENT (order book is OTA/consortia)
METAL SHARK,0,0,ABSENT (order book is OTA/consortia)
SEA MACHINES,0,0,ABSENT (order book is OTA/consortia)
BLUE WATER AUTONOM,0,0,ABSENT (order book is OTA/consortia)
OCEAN AERO,2,871150.99,present (conventional contracts)
SPATIAL INTEGRATED,1,3469451.0,present (conventional contracts)
MARITIME APPLIED,1,220537828.88,present (conventional contracts)
HII UNMANNED,40,146870995.14,present (conventional contracts)
L3HARRIS,32,241942297.55,present (conventional contracts)
L3 TECHNOLOGIES,56,125620729.36,present (conventional contracts)
TEXTRON SYSTEMS,7,3347898841.78,present (conventional contracts)
LEIDOS,42,216143652.42,present (conventional contracts)
SWIFTSHIPS,9,590679073.04,present (conventional contracts)
BOLLINGER,18,4155164312.36,present (conventional contracts)
AUSTAL,73,12448702072.74,present (conventional contracts)
FLEET,168,995433274.65,present (conventional contracts)
