vendor,piid,is_ot,award_type,base_signed,last_signed,ceiling_$m,obligated_$m
AUSTAL USA,N0002411C2301,no,DEFINITIVE CONTRACT,2012-08-24,2025-08-12,5642.7,4464.7
AUSTAL USA,N0002417C2301,no,DEFINITIVE CONTRACT,2020-01-22,2025-12-18,3098.9,2809.9
AUSTAL USA,N0002408C2217,no,DEFINITIVE CONTRACT,2018-01-24,2023-06-07,1673.4,1651.8
AUSTAL USA,70Z02322C93220001,no,DEFINITIVE CONTRACT,2026-04-13,2026-04-13,3311.2,1401.2
AUSTAL USA,N0002419C2227,no,DEFINITIVE CONTRACT,2022-09-08,2026-03-26,1882.0,1245.6
TEXTRON SYSTEMS,N0002417C2480,no,DEFINITIVE CONTRACT,2017-09-01,2025-08-07,970.9,970.9
TEXTRON SYSTEMS,W911QY17C0013,no,DEFINITIVE CONTRACT,2017-01-04,2024-08-16,705.0,685.9
TEXTRON SYSTEMS,N0002412C2401,no,DEFINITIVE CONTRACT,2015-09-16,2022-04-08,663.2,661.6
AUSTAL USA,N0002423C2203,no,DEFINITIVE CONTRACT,2024-12-17,2025-11-06,3196.8,631.8
L3HARRIS TECHNOLOGIES,FA881919C0002,no,DEFINITIVE CONTRACT,2019-03-21,2026-02-24,488.0,468.9
AUSTAL USA,N0002421C2209,no,DEFINITIVE CONTRACT,2022-03-14,2025-07-02,520.4,416.0
AUSTAL USA,N0002416C2217,no,DEFINITIVE CONTRACT,2018-02-16,2019-07-25,350.4,347.4
TEXTRON SYSTEMS,FA868211C0044,no,DEFINITIVE CONTRACT,2012-04-10,2018-05-29,321.3,317.4
TEXTRON SYSTEMS,W58RGZ21C0013,no,DEFINITIVE CONTRACT,2023-07-26,2025-07-24,709.7,313.1
SARONIC TECHNOLOGIES,N000242596305,yes,OTHER TRANSACTION AGREEMENT,2025-05-16,2026-03-09,457.0,296.5
TEXTRON SYSTEMS,W58RGZ15C0047,no,DEFINITIVE CONTRACT,2024-05-15,2024-05-15,294.0,282.1
TEXTRON SYSTEMS,W15QKN06C0161,no,DEFINITIVE CONTRACT,2006-12-13,2010-07-02,372.5,245.7
L3HARRIS TECHNOLOGIES,W9126019C0001,no,DEFINITIVE CONTRACT,2019-05-29,2026-03-18,250.2,184.8
MARITIME APPLIED PHYSICS,N0002422C2228,no,DEFINITIVE CONTRACT,2023-12-28,2024-12-30,211.4,180.9
TEXTRON SYSTEMS,W58RGZ13C0108,no,DEFINITIVE CONTRACT,2014-06-16,2019-07-29,202.8,163.6
L3HARRIS TECHNOLOGIES,W9126012C0001,no,DEFINITIVE CONTRACT,2019-02-04,2019-03-19,156.0,134.3
L3HARRIS TECHNOLOGIES,NMA10097C5001,no,DEFINITIVE CONTRACT,1999-09-09,2005-03-21,0.0,116.8
TEXTRON SYSTEMS,FA867707C0001,no,DEFINITIVE CONTRACT,2008-10-30,2011-02-15,1711.0,115.7
TEXTRON SYSTEMS,W56HZV13C0170,no,DEFINITIVE CONTRACT,2015-06-25,2022-09-15,113.0,113.0
TEXTRON SYSTEMS,FA867706C0010,no,DEFINITIVE CONTRACT,2012-07-30,2012-07-30,0.0,108.0
AUSTAL USA,N0002422C2463,no,DEFINITIVE CONTRACT,2023-04-13,2023-09-06,346.1,100.8
L3HARRIS TECHNOLOGIES,N0003903C0084,no,DEFINITIVE CONTRACT,2017-03-30,2017-03-30,0.0,89.4
TEXTRON SYSTEMS,W15QKN239C001,yes,OTHER TRANSACTION IDV,2022-11-08,2025-09-26,82.7,82.7
