tier,prime,dollars,share_pct
usv_core,THE PENNSYLVANIA STATE UNIVERSITY,77406512.09,17.26
usv_core,"LEIDOS, INC.",71131892.81,15.86
usv_core,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,65088147.0,14.51
usv_core,"INNOVATIVE PROFESSIONAL SOLUTIONS, INC.",35013806.55,7.81
usv_core,RAYTHEON COMPANY,34078854.98,7.6
usv_core,"AVIAN, LLC",32370495.59,7.22
usv_core,SERCO-IPS CORPORATION,29704053.03,6.62
usv_core,PERATON INC.,27063455.7,6.03
usv_core,EDO PROFESSIONAL SERVICES INC.,16800000.0,3.75
usv_core,UNIVERSITY OF SOUTH CAROLINA,11890000.0,2.65
usv_core,UNIVERSITY OF MAINE SYSTEM,9000000.0,2.01
usv_core,COLSA CORP,4544799.68,1.01
usv_core,"OASIS SYSTEMS, LLC",4465781.14,1.0
usv_core,UNIVERSITY OF TEXAS AT AUSTIN,4044947.03,0.9
usv_core,GEORGIA TECH APPLIED RESEARCH CORP,3548517.31,0.79
small_craft,HUNTINGTON INGALLS INCORPORATED,1304530568.3,29.98
small_craft,GRAVOIS ALUMINUM BOATS LLC,326330289.52,7.5
small_craft,SAFE BOATS INTERNATIONAL LLC,315975986.28,7.26
small_craft,"SWIFTSHIPS SHIPBUILDERS, L.L.C.",275674656.1,6.34
small_craft,UNITED STATES MARINE INC,238563086.11,5.48
small_craft,"SILVER SHIPS, INC",183826583.9,4.23
small_craft,HORNBECK OFFSHORE SERVICES LLC,152000000.0,3.49
small_craft,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",119907914.83,2.76
small_craft,"HII UNMANNED SYSTEMS, INC",115336206.05,2.65
small_craft,"RIBCRAFT USA, LLC",111709869.6,2.57
small_craft,"RECONCRAFT, LLC",105606594.99,2.43
small_craft,"MARINE GROUP BOAT WORKS, LLC",93811550.45,2.16
small_craft,ERIE FORGE & STEEL INC,79120292.56,1.82
small_craft,"C & G BOAT WORKS, INC.",68288516.36,1.57
small_craft,VIGOR WORKS LLC,67204543.02,1.54
other_small,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",2284810738.04,34.1
other_small,NATIONAL STEEL AND SHIPBUILDING COMPANY,2075261060.27,30.98
other_small,"AUSTAL USA, LLC",1020104216.08,15.23
other_small,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",428050374.24,6.39
other_small,"TELEDYNE BROWN ENGINEERING, INC.",243375692.5,3.63
other_small,DAKOTA CREEK INDUSTRIES INC,235488841.54,3.51
other_small,DETYENS SHIPYARDS INC,70673945.42,1.05
other_small,VIGOR MARINE LLC,62100660.59,0.93
other_small,YULISTA SUPPORT SERVICES LLC,37951356.26,0.57
other_small,HUNTINGTON INGALLS INC,34318591.26,0.51
other_small,LOCKHEED MARTIN CORPORATION,31829794.0,0.48
other_small,"Y-TECH SERVICES, INC.",28289504.09,0.42
other_small,BOSTON SHIP REPAIR LLC,20660834.4,0.31
other_small,BAE SYSTEMS SAN FRANCISCO SHIP REPAIR INC.,15558595.2,0.23
other_small,THE BOEING COMPANY,15002563.0,0.22
broad_maritime,ELECTRIC BOAT CORPORATION,134523847827.58,33.71
broad_maritime,HUNTINGTON INGALLS INC,65702542941.13,16.46
broad_maritime,HUNTINGTON INGALLS INCORPORATED,57357089278.25,14.37
broad_maritime,BATH IRON WORKS CORPORATION,30236866719.68,7.58
broad_maritime,NATIONAL STEEL AND SHIPBUILDING COMPANY,22849867488.21,5.73
broad_maritime,"AUSTAL USA, LLC",11424929045.66,2.86
broad_maritime,LOCKHEED MARTIN CORPORATION,10627541674.4,2.66
broad_maritime,"BECHTEL PLANT MACHINERY, INC.",10404105126.0,2.61
broad_maritime,BAE SYSTEMS MARITIME SOLUTIONS NORFOLK INC.,7627441395.74,1.91
broad_maritime,BAE SYSTEMS MARITIME SOLUTIONS SAN DIEGO INC.,5874933814.94,1.47
broad_maritime,METRO MACHINE CORP.,4714690664.75,1.18
broad_maritime,VIGOR MARINE LLC,3605706438.53,0.9
broad_maritime,TEXTRON SYSTEMS CORP,3347898841.78,0.84
broad_maritime,MARINETTE MARINE CORPORATION,2995292325.57,0.75
broad_maritime,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,1792061032.76,0.45
