vehicle_piid,tier,vehicle_type,incumbent,naics,psc,obligated_$m,n_orders,recompete_clock,months_to_clock,state,access_gate,portal_notice,last_activity
N0002417D2209,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336612,1940,117.8,8,2025-12-30,-5.8,"OVERDUE (clock passed, no successor seen)",holders-only (FAR 16.5),NONE,2025-06-17
N0002417D2217,small_craft,IDV,"SNOW & COMPANY, INC.",336612,1940,35.3,9,2026-02-27,-3.8,"OVERDUE (clock passed, no successor seen)",holders-only (FAR 16.5),NONE,2025-02-24
N0002415D2214,small_craft,IDV,"METALCRAFT MARINE US, INC.",336612,1940,12.6,12,2026-03-02,-3.7,"OVERDUE (clock passed, no successor seen)",holders-only (FAR 16.5),NONE,2025-01-28
N0010421CFA50,small_craft,standalone,ERIE FORGE & STEEL INC,336612,2010,8.0,1,2026-03-11,-3.4,"OVERDUE (clock passed, no successor seen)",open / standalone,NONE,2025-12-15
N0002422C2223,small_craft,standalone,"SILVER SHIPS, INC",336612,1940,16.2,1,2026-03-15,-3.3,"OVERDUE (clock passed, no successor seen)",open / standalone,NONE,2025-07-07
N0002409G2300,other_small,IDV,LOCKHEED MARTIN CORPORATION,336611,1990,31.8,8,2026-04-30,-1.8,"OVERDUE (clock passed, no successor seen)",holders-only (FAR 16.5),NONE,2026-03-05
N0002424D2276,small_craft,IDV,"RECONCRAFT, LLC",336612,1940,14.6,2,2026-05-01,-1.7,"OVERDUE (clock passed, no successor seen)",multiple-award vehicle,NONE,2024-12-12
N0010423CZA25,small_craft,standalone,ERIE FORGE & STEEL INC,336612,2010,14.7,1,2026-06-08,-0.5,"OVERDUE (clock passed, no successor seen)",open / standalone,NONE,2026-01-05
47QSWA18D009G,small_craft,IDV,"SILVER SHIPS, INC",336611,1940,67.4,3,2026-06-18,-0.2,"OVERDUE (clock passed, no successor seen)",multiple-award vehicle,NONE,2026-02-13
GS07F0362T,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336611,1940,19.2,5,2026-06-30,0.2,imminent (<12mo),multiple-award vehicle,NONE,2026-03-03
N0002423C2205,small_craft,standalone,"RECONCRAFT, LLC",336612,1940,33.5,1,2026-07-30,1.2,imminent (<12mo),open / standalone,NONE,2025-06-23
N0003921D6001,small_craft,IDV,"TELEDYNE BROWN ENGINEERING, INC.",334511,1940,26.3,25,2026-07-30,1.2,imminent (<12mo),holders-only (FAR 16.5),NONE,2026-01-21
N0010422CZA28,small_craft,standalone,ERIE FORGE & STEEL INC,336612,2010,8.7,1,2026-08-01,1.3,imminent (<12mo),open / standalone,NONE,2025-12-15
N0001423C1052,usv_core,standalone,UNIVERSITY OF SOUTH CAROLINA,541715,AC12,7.1,1,2026-08-10,1.6,imminent (<12mo),open / standalone,NONE,2023-08-09
N0017819D7206,usv_core,IDV,"AVIAN, LLC",541330,R425,32.4,1,2026-08-19,1.9,imminent (<12mo),multiple-award vehicle,NONE,2026-03-20
N0002422C2210,small_craft,standalone,"WILLARD MARINE, INC.",336612,1940,8.2,1,2026-09-21,3.0,imminent (<12mo),open / standalone,NONE,2025-09-26
N0002418D6401,usv_core,IDV,THE PENNSYLVANIA STATE UNIVERSITY,541715,AD24,77.1,2,2026-09-30,3.3,imminent (<12mo),holders-only (FAR 16.5),NONE,2025-05-22
N0002419D2220,small_craft,IDV,"RIBCRAFT USA, LLC",336612,1940,27.5,7,2026-09-30,3.3,imminent (<12mo),holders-only (FAR 16.5),NONE,2025-12-02
