prime_piid,prime,prime_uei,sub_key,sub_name,sub_uei,sub_amount,sub_date,capability,report_lag_mo,description
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,PAH8M4BJACA5,TELEDYNE INSTRUMENTS INC,PAH8M4BJACA5,8259346.0,2025-10-28,propulsion_power,1.0,Engineering materials
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,MFCTLU3MRXC8,"EMPIRICAL SYSTEMS AEROSPACE, INC.",MFCTLU3MRXC8,5507238.0,2022-06-17,other_unclassified,0.8,NRE - Other.
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,U1ASEJJJKDP5,EMPIRICAL SYSTEMS AEROSPACE INC,MFCTLU3MRXC8,5507238.0,2022-06-17,other_unclassified,9.8,NRE - Other.
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,U1ASEJJJKDP5,EMPIRICAL SYSTEMS AEROSPACE INC,MFCTLU3MRXC8,5401075.0,2022-06-17,other_unclassified,22.2,NRE - All.
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,MFCTLU3MRXC8,"EMPIRICAL SYSTEMS AEROSPACE, INC.",MFCTLU3MRXC8,5362873.0,2021-03-24,other_unclassified,17.3,"Electromech-Mj Assys, NRE - Other."
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,U1ASEJJJKDP5,EMPIRICAL SYSTEMS AEROSPACE INC,MFCTLU3MRXC8,4394075.0,2021-03-24,integration_eng_svcs,37.0,"Electromech-Mj Assys, NRE - All, Test Fixtures."
N0001421C1009,RAYTHEON COMPANY,VTEWM5QSE598,U1ASEJJJKDP5,EMPIRICAL SYSTEMS AEROSPACE INC,MFCTLU3MRXC8,4394075.0,2021-03-24,integration_eng_svcs,24.6,"Electromech-Mj Assys, NRE - Other, Test Fixtures."
N0003925F1019,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,FNA3YNLZNM43,3189833.0,2025-06-04,propulsion_power,1.8,Engineering services
N0001418C2006,"LEIDOS, INC.",KTMAJCY6JXM3,JXUMFLGNSMP8,"UNITED STATES MARINE, INC.",JXUMFLGNSMP8,3114496.0,2018-01-17,other_unclassified,24.9,PROCURED SERVICES BETWEEN 1/1/2020-1/31/2020 IN SUPPORT OF CONTRACT SOW.
N0002424C2204,"SAAB, INC",H5FMLSGM29L1,NQEMKX3MRBV6,SAAB DYNAMICS AKTIEBOLAG,NQEMKX3MRBV6,2655461.82,2025-03-27,other_unclassified,0.7,"Multiple Parts for Double Eagle program
"
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,JNJDBJZLL2R7,EDGEONE LLC,JNJDBJZLL2R7,1772890.0,2025-10-27,propulsion_power,1.0,Engineering materials
N0002419C6402,"TELEDYNE BROWN ENGINEERING, INC.",FBRSJB6V4LW8,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,PAH8M4BJACA5,1435128.11,2021-08-11,propulsion_power,0.7,Engineering services/materials
N0016419F0049,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,TCYEPH3BN7L6,POSEIDON BARGE LTD.,TCYEPH3BN7L6,1388200.0,2019-03-20,other_unclassified,0.8,"POSEIDON BARGE, LTD"
