supplier,sub_key,total_sub_dollars,n_distinct_primes,primary_capability,primes
EMPIRICAL SYSTEMS AEROSPACE INC,U1ASEJJJKDP5,21028425.0,1,other_unclassified,RAYTHEON COMPANY
"EMPIRICAL SYSTEMS AEROSPACE, INC.",MFCTLU3MRXC8,11876698.0,1,other_unclassified,RAYTHEON COMPANY
TELEDYNE TECHNOLOGIES INCORPORATED,SQ2DSCE69F15,10648960.87,3,propulsion_power,"HII UNMANNED SYSTEMS, INC; SERCO-IPS CORPORATION; TELEDYNE BROWN ENGINEERING, INC."
TELEDYNE INSTRUMENTS INC,PAH8M4BJACA5,8877394.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"BEAUFORT COMPOSITE TECHNOLOGIES, INC.",XNHRXR2HTXA8,6929010.0,1,platform_hull,"TELEDYNE BROWN ENGINEERING, INC."
"SYSTIMA TECHNOLOGIES, INC.",ME2BVJ4KGAM1,6464124.0,1,other_unclassified,RAYTHEON COMPANY
SAAB DYNAMICS AKTIEBOLAG,NQEMKX3MRBV6,4385986.33,1,other_unclassified,"SAAB, INC"
"UNITED STATES MARINE, INC.",JXUMFLGNSMP8,4195496.0,1,other_unclassified,"LEIDOS, INC."
"MOBILEASE MODULAR SPACE, INC.",RLDUT4AS31N5,3213514.03,1,other_unclassified,HUNTINGTON INGALLS INC
"Exail Defense Systems, Inc.",Q1B3NG6LP9B5,3064447.21,2,autonomy_software,"HII UNMANNED SYSTEMS, INC; TELEDYNE BROWN ENGINEERING, INC."
EDGEONE LLC,JNJDBJZLL2R7,2289319.0,2,propulsion_power,"SAAB, INC; TELEDYNE BROWN ENGINEERING, INC."
"MOTION CONTROL SYSTEMS, INC.",G68SW8U2WVM4,1755290.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"APEX SPECIALTY METALS, INC.",CJGFRMQ3CDM4,1618078.6,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
WHITESBURG ELECTRONICS INC,RKXHNMJD8639,1503074.04,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"EPSILON SYSTEMS SOLUTIONS, INC.",MYJHF1S2HGV5,1432362.6,1,other_unclassified,HUNTINGTON INGALLS INC
POSEIDON BARGE LTD.,TCYEPH3BN7L6,1388200.0,1,other_unclassified,"ATLANTIC DIVING SUPPLY, INC."
"DBV TECHNOLOGY, LLC",M3WTFLL92KZ3,1349024.69,1,other_unclassified,SERCO-IPS CORPORATION
IXCORE,MHZPPJVGRNN6,1195895.25,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
EDGEONE LLC,YRD5CM5FTNU9,1138558.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"AUXILIARY SYSTEMS, INC.",YQ9EQZJ8PKM6,1088785.0,1,other_unclassified,HUNTINGTON INGALLS INC
SCORPION TECHNOLOGIES LLC,HXDVZG1NZU21,1086849.0,1,integration_eng_svcs,RAYTHEON COMPANY
"CKS TECHNOLOGIES, LLC",GNF1HLLEJDK3,1027510.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
SCOT FORGE COMPANY,N1PJDANWUJ61,868940.0,1,other_unclassified,HUNTINGTON INGALLS INC
GENERAL DYNAMICS CORP,FAZSFFE6CST9,839723.88,1,other_unclassified,"AVIAN, LLC"
VICOR CORPORATION,PX7XVJDX7TZ7,824616.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
RTD EMBEDDED TECHNOLOGIES INC,U1PHZ8JUHL21,814104.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
EDGETECH INSTRUMENTS INC.,Z8A7XHU5PG92,800241.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
BATTELLE MEMORIAL INSTITUTE,F125YU6SWK59,795982.92,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
LEONARDO SPA,W8PTMRME1496,749590.68,1,other_unclassified,HUNTINGTON INGALLS INC
NORTHROP GRUMMAN CORPORATION,NKVZLJL93QT6,629821.0,1,other_unclassified,HUNTINGTON INGALLS INC
"SEAWARD SERVICES, INC.",VANJSRE1BJ77,575834.0,1,other_unclassified,"Y-TECH SERVICES, INC."
GENERAL DYNAMICS CORPORATION,VF58HFRNGEL8,573421.76,2,autonomy_software,"AVIAN, LLC; TELEDYNE BROWN ENGINEERING, INC."
"MJS DESIGNS, INC.",MNYZMMCK4NP5,553994.0,1,propulsion_power,RAYTHEON COMPANY
"COPE PLASTICS, INC.",KHMVPKYKSKY9,553419.1,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"J. H. NORTON COMPANY, INC.",KAYUMJMKWDF9,535602.52,1,other_unclassified,HUNTINGTON INGALLS INC
PRIMARY AIMLINE LLC,HGFLCANUEGZ2,520206.0,1,autonomy_software,RAYTHEON COMPANY
"SUPERIOR MOTION CONTROLS, INC.",E582KXT4RVH6,518700.96,1,other_unclassified,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC."
WOODS HOLE OCEANOGRAPHIC INSTITUTION,GFKFBWG2TV98,500100.08,2,other_unclassified,SERCO-IPS CORPORATION; THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC
CALIFORNIA INSTITUTE OF TECHNOLOGY,U2JMKHNS5TG4,500000.0,1,other_unclassified,"LEIDOS, INC."
FATHOM RESOURCES LLC,F8Z3EH848VJ1,488115.72,1,other_unclassified,SERCO-IPS CORPORATION
COMTECH TELECOMMUNICATIONS CORP.,U8LNE16562Z5,476038.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
FORCYS INC.,DC5VNMMT1FW6,442632.52,1,autonomy_software,"SAAB, INC"
"PIERCE ALUMINUM COMPANY, INC.",N5HGL94UC1D6,439636.45,1,platform_hull,"TELEDYNE BROWN ENGINEERING, INC."
CARLYLE HOLDING CORP,KZA5CX3J8KE8,439607.24,1,other_unclassified,HUNTINGTON INGALLS INC
"CARTER MACHINERY COMPANY, INCORPORATED",JZSHR7DX1MQ9,430320.04,1,other_unclassified,HUNTINGTON INGALLS INC
"ARTCRAFT FABRICATORS, INC.",H4ZMPGLLZ8D9,428526.0,1,platform_hull,HUNTINGTON INGALLS INC
PHAZAR CORP,UPV2EK5XFBJ6,425008.92,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"TECNOVA ADVANCED SYSTEMS, INC.",MYHSMYECPCR1,412486.48,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"ADL EMBEDDED SOLUTIONS, INC.",M34VC7UDBDE6,411264.0,1,propulsion_power,"TELEDYNE BROWN ENGINEERING, INC."
"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",EDNNTCM7SUS8,353085.6,1,autonomy_software,HUNTINGTON INGALLS INC
"Distribution International, Inc.",PJM1KBVHTYL6,352070.4,1,other_unclassified,HUNTINGTON INGALLS INC
"GIBSON INDUSTRIAL, INC.",L1VLXE4HBX13,348114.0,1,other_unclassified,HUNTINGTON INGALLS INC
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,CL4ZKLFK5DR3,343252.07,1,autonomy_software,HUNTINGTON INGALLS INC
