recipient,dollars,rnd_ffrdc
THE PENNSYLVANIA STATE UNIVERSITY,77406512.09,yes
"LEIDOS, INC.",71131892.81,no
THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,65088147.0,yes
"INNOVATIVE PROFESSIONAL SOLUTIONS, INC.",35013806.55,no
RAYTHEON COMPANY,34078854.98,no
"AVIAN, LLC",32370495.59,no
SERCO-IPS CORPORATION,29704053.03,no
PERATON INC.,27063455.7,no
EDO PROFESSIONAL SERVICES INC.,16800000.0,no
UNIVERSITY OF SOUTH CAROLINA,11890000.0,yes
UNIVERSITY OF MAINE SYSTEM,9000000.0,yes
COLSA CORP,4544799.68,no
"OASIS SYSTEMS, LLC",4465781.14,no
UNIVERSITY OF TEXAS AT AUSTIN,4044947.03,yes
GEORGIA TECH APPLIED RESEARCH CORP,3548517.31,yes
GENERAL ELECTRIC COMPANY,2791218.0,no
SERCO INC,2359985.0,no
"SEASATELLITES, INC.",2003513.0,no
SCIX3 LLC,1999735.66,no
SIEMENS CORPORATION,1574634.0,no
