group,piid,vendor,total_obligated_M,signed_date,naics,psc,contracting_office,description
BAE-Guns/VLS,M6785416C0006,BAE SYSTEMS LAND & ARMAMENTS L.P.,1108.35,2026-01-08 00:00:00,336992,AC44,COMMANDER,"INCORPORATE THE HEDGE LOCK RATE FOR FRP LOT 6B IN ACCORDANCE WITH SECTION G.14.2, FOREIGN EXCHANGE PRICE ADJUSTMENT FOR FRP LOTS 5 AND 6"
BAE-Guns/VLS,N0002411C4408,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,885.45,2018-09-10 00:00:00,336611,J999,SOUTHWEST REGIONAL MAINT CENTER,C450 - DDG CLASS SHIPS AWARD FEE PAYMENT 12
BAE-Guns/VLS,N0002420C5380,BAE SYSTEMS LAND & ARMAMENTS L.P.,589.01,2025-12-12 00:00:00,336419,1440,NAVSEA HQ,MK 25 MOD 1 CANISTERS W/ PHS&T
BAE-Guns/VLS,N0002413C5314,BAE SYSTEMS LAND & ARMAMENTS L.P.,329.79,2022-02-07 00:00:00,336419,1440,NAVSEA HQ,MK-21 MOD 3 CANISTERS
BAE-Guns/VLS,N0017419C0004,BAE SYSTEMS LAND & ARMAMENTS L.P.,247.72,2025-09-30 00:00:00,332994,1020,NSWC INDIAN HEAD DIVISION,MK45 PRODUCTION CONTRACT
BAE-Guns/VLS,N0002420C4468,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,209.83,2023-02-09 00:00:00,336611,J998,SOUTHEAST REGIONAL MAINT CENTER,OPTION MULTIPLE WIS TYCOM USS WINSTON CHURCHILL (DDG 81) TPPC DDG 81-MARMCN21-CNO1 EDSRA
BAE-Guns/VLS,N0002415C4103,BAE SYSTEMS LAND & ARMAMENTS L.P.,205.81,2025-03-06 00:00:00,336611,2010,NSWC CARDEROCK,SSN 804 MATERIAL
BAE-Guns/VLS,N0017415C0009,BAE SYSTEMS LAND & ARMAMENTS L.P.,203.97,2024-08-30 00:00:00,332994,1010,NSWC INDIAN HEAD DIVISION,DE-OB SM 119 ULO UNDER CLIN 0022
BAE-Guns/VLS,N0002412C5311,"BAE SYSTEMS LAND & ARMAMENTS, L.P.",203.18,2021-05-27 00:00:00,332993,1320,NAVSEA HQ,FPI FINAL PRICE REVISION
BAE-Guns/VLS,N0002413C5325,"BAE SYSTEMS LAND & ARMAMENTS, L.P.",177.52,2022-02-03 00:00:00,541330,1440,NAVSEA HQ,COST TO SUPPORT ITEM 0209AB
BAE-Guns/VLS,N0002421C5393,BAE SYSTEMS LAND & ARMAMENTS L.P.,150.68,2026-02-17 00:00:00,541330,K010,NAVSEA HQ,MATERIAL TO SUPPORT ITEM 1404
