Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
W8PTMRME1496,"DRS TRAINING & CONTROL SYSTEMS, LLC",1812.4,454,17.68%
CY16XXPHX213,ARCTIC SLOPE REGIONAL CORPORATION,998.49,404,9.74%
N9MKMSBPZQ55,MAINE MACHINE PRODUCTS COMPANY,855.14,56,8.34%
VF58HFRNGEL8,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",372.5,152,3.63%
JRZ1WHXAKBM3,GE ENERGY POWER CONVERSION USA INC.,335.62,35,3.27%
VE65QFAKCLG7,ROLLS-ROYCE MARINE NORTH AMERICA INC.,257.21,100,2.51%
NKVZLJL93QT6,NORTHROP GRUMMAN SYSTEMS CORPORATION,250.03,67,2.44%
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",178.23,46,1.74%
HHBLV49BQUY5,"ADVANCED SCIENCES AND TECHNOLOGIES, LLC",173.95,349,1.70%
H4FZBFXLJ636,TIMKEN GEARS & SERVICES INC.,171.35,12,1.67%
NUJPUJELENZ5,COBHAM ADVANCED ELECTRONIC SOLUTIONS INC.,171.12,13,1.67%
UXEGD3WECED5,"EXTREME ENGINEERING SOLUTIONS, INC.",151.92,44,1.48%
E582KXT4RVH6,"SUPERIOR ELECTROMECHANICAL COMPONENT SERVICE, INC.",146.26,42,1.43%
GC7MKAN5DG35,IN-DEPTH ENGINEERING CORPORATION,137.79,214,1.34%
GA9GS8RRMSS9,MAJOR TOOL & MACHINE INC,131.78,18,1.29%
PU9QMDF6FYC6,"TTM PRINTED CIRCUIT GROUP, LLC",129.97,156,1.27%
XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,120.1,54,1.17%
ZA7HPV7XXUE3,"MERRILL TECHNOLOGIES GROUP, INC.",118.48,52,1.16%
WJZCK5XK7UC7,GOLDEN STAR TECHNOLOGY INC,87.6,20,0.85%
ZTD6PU46ALU3,"INDRA SISTEMAS, SOCIEDAD ANONIMA",82.46,28,0.80%
YGXMYQKELLZ4,"HANWHA SYSTEMS CO., LTD.",77.95,11,0.76%
J51ULX3CNCZ4,"MERCURY SYSTEMS, INC.",77.62,162,0.76%
DCV2KUEL85Z4,SENER GRUPO DE INGENIERIA SOCIEDAD ANONIMA,72.01,25,0.70%
F4XLUSKN1KX1,"ADVANCED INDUSTRIES, INC.",69.89,88,0.68%
HMN8Q5FPFFD3,COBHAM ADVANCED ELECTRONIC SOLUTIONS INC.,66.19,84,0.65%
GU4MZLMEJN94,"SEYER INDUSTRIES, INC.",63.06,119,0.62%
RB1NHMLR5BX9,"DUCOMMUN LABARGE TECHNOLOGIES, INC.",58.88,80,0.57%
SJULQDJ8NZU7,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",56.64,122,0.55%
F32RBQ3CHAG9,ROLLS-ROYCE MARINE NORTH AMERICA INC.,54.78,22,0.53%
NXGLEN3CK1N6,"DATACON, INC.",54.53,61,0.53%
KN4DLHTLNCS8,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,53.57,141,0.52%
YKYBK6MSAKX5,GMT CORPORATION,52.83,27,0.52%
Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,49.5,72,0.48%
ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",49.32,18,0.48%
XXP4PLFFFGK9,L3HARRIS MARITIME SERVICES INC,49.0,44,0.48%
GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",48.58,29,0.47%
UU26FKF1MML6,"WYMAN-GORDON INVESTMENT CASTINGS, INC",48.14,100,0.47%
E86GJS762JJ5,TOTAL SA,46.77,45,0.46%
F295NQHTL3F9,"APPLIED COMPOSITE STRUCTURES, INC.",45.55,40,0.44%
L2WVLS5L4WS3,FUTURAMIC TOOL & ENGINEERING COMPANY,41.8,207,0.41%
S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",41.77,39,0.41%
SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,41.69,48,0.41%
JHWNUX2YXN31,"RTI REMMELE ENGINEERING, INC.",40.66,30,0.40%
W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,40.5,86,0.40%
UAC2KLJM4XY1,TRANSDIGM GROUP INCORPORATED,38.97,45,0.38%
K5CSHFKMR8C4,"HANWHA TECHWIN CO., LTD.",37.95,5,0.37%
NPJ8VMPXMNC3,"HI-AIR KOREA CO., LTD.",37.79,8,0.37%
PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",37.78,34,0.37%
PQNBC8KG93R3,"FIBER SYSTEMS INTERNATIONAL, INC.",37.67,88,0.37%
FARLM1J6SB25,PRODUCTION ENGINEERING CORPORATION,36.1,163,0.35%
V1MVHTMMJNV5,"TACTICAL ENGINEERING & ANALYSIS, INC.",33.45,29,0.33%
YA36Z8R2H4T4,"ARROW ELECTRONICS, INC.",32.65,163,0.32%
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,31.59,17,0.31%
PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,31.14,109,0.30%
EZN9VQG18FN1,OLDENBURG GROUP V2 GSM SPON,31.03,78,0.30%
ZC5JNMHPHWA9,"TECHNOLOGY DYNAMICS, INC.",30.68,13,0.30%
CMANNFGEFNP6,WARD LEONARD HOLDINGS LLC,29.27,25,0.29%
SVXNHLLWX953,ELLWOOD NATIONAL FORGE COMPANY,29.22,8,0.28%
J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",28.54,21,0.28%
YYVHWZMPP3F8,"DRS NAVAL POWER SYSTEMS, INC.",28.17,34,0.27%
LJCSMLKU1MR5,"GENERAL MICRO SYSTEMS, INC.",27.81,48,0.27%
LNGAZMTYJPL3,THE ENTWISTLE COMPANY LLC,27.23,63,0.27%
K442K4T21K53,BECON INC,26.59,3,0.26%
HJR5VDSHMMX5,"NEVADA HEAT TREATING, LLC",25.62,7,0.25%
MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",24.66,27,0.24%
VN3RY9NGWD83,RAMBUS INC.,24.37,12,0.24%
GGSLGRB5KXM6,"THE HILLER COMPANIES, LLC",24.0,34,0.23%
RAQHTGX88MN4,SIOUX MANUFACTURING CORPORATION,23.93,29,0.23%
L4UCL5K5H5J9,"WOODWARD, INC.",23.43,1,0.23%
KSNCG291YU48,"CRISTEK INTERCONNECTS, LLC",23.23,19,0.23%
GCWKULHML2S3,"DEFENSE MARITIME SOLUTIONS, INC.",22.86,57,0.22%
SVKAW6129JL5,OPTIMA STANTRON CORP,22.73,5,0.22%
V1MQFNQB56Z5,RIX INDUSTRIES,22.62,30,0.22%
XE6GMDJNHQT7,AIR & LIQUID SYSTEMS CORPORATION,22.42,24,0.22%
QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",21.56,74,0.21%
MS9XWCRV8XD8,"CGI AUTOMATED MANUFACTURING, INC.",21.44,252,0.21%
PM2FDF7CCNC2,"MARISCO, LTD.",21.27,26,0.21%
SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,20.87,22,0.20%
U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",20.86,80,0.20%
P5HAV87RFNP1,BARNES GROUP INC.,20.01,1,0.20%
DTZJAQF8NZA1,"L-3 COMMUNICATIONS HOLDINGS, INC.",19.72,29,0.19%
PLYSMJBAYE42,"MEGGITT DEFENSE SYSTEMS, INC.",19.62,36,0.19%
FPCZK4D8LXU5,HOWDEN NORTH AMERICA INC,19.36,27,0.19%
HPDLRXR4FYX5,BAE SYSTEMS NORFOLK SHIP REPAIR INC.,19.12,5,0.19%
VMRALEFZBCN7,SANMINA-SCI CORPORATION,19.11,8,0.19%
Z7AEB4WP45P3,"MICRO-MODE PRODUCTS, INC.",18.89,14,0.18%
J5FTSL9NDLN5,"M & S MACHINING, INC.",18.79,113,0.18%
YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",18.58,67,0.18%
CTZWUSPKUMG8,HONEYWELL INTERNATIONAL INC,18.51,3,0.18%
Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",18.09,130,0.18%
FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",17.89,29,0.17%
GU5YDKH7GPF1,CIRCOR NAVAL SOLUTIONS LLC,17.77,36,0.17%
GD5RJ5JTUJ83,"RIVERSIDE MACHINE AND ENGINEERING, INC.",17.68,8,0.17%
NTACVMVCDCA6,"MIDCON CABLES CO., INC.",15.95,23,0.16%
FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,15.41,28,0.15%
QATEDMDR46E4,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,15.37,45,0.15%
XSNELKL9HL74,"HUTCHINSON MANUFACTURING HOLDINGS, LLC",15.32,72,0.15%
N5KEKMFCWUR1,ROTRON INCORPORATED,14.9,69,0.15%
Z6YVC2VB2B45,SASMOS HET TECHNOLOGIES LIMITED,14.77,14,0.14%
