PIID,Label,SAM records,USA records,Recovered (SAM - USA),SAM $M,USA $M,$M delta (SAM - USA)
M6785416C0006,"BAE-Guns/VLS: INCORPORATE THE HEDGE LOCK RATE FOR FRP LOT 6B IN ACCORDANCE WITH SECTION G.14.2, FOREIGN EXCHANGE PRICE ADJUSTMENT FOR ",2324,2058,266,1667.7,1446.59,221.11
N0002411C4408,BAE-Guns/VLS: C450 - DDG CLASS SHIPS AWARD FEE PAYMENT 12,20,2065,-2045,1.84,317.31,-315.48
N0002420C5380,BAE-Guns/VLS: MK 25 MOD 1 CANISTERS W/ PHS&T,956,956,0,298.2,298.2,0.0
N0002413C5314,BAE-Guns/VLS: MK-21 MOD 3 CANISTERS,605,607,-2,151.29,151.41,-0.12
N0017419C0004,BAE-Guns/VLS: MK45 PRODUCTION CONTRACT,316,314,2,32.81,32.7,0.11
N0002420C4468,BAE-Guns/VLS: OPTION MULTIPLE WIS TYCOM USS WINSTON CHURCHILL (DDG 81) TPPC DDG 81-MARMCN21-CNO1 EDSRA,180,180,0,33.87,33.87,0.0
N0002415C4103,BAE-Guns/VLS: SSN 804 MATERIAL,156,156,0,66.72,66.72,0.0
N0017415C0009,BAE-Guns/VLS: DE-OB SM 119 ULO UNDER CLIN 0022,269,285,-16,34.42,36.06,-1.64
N0002412C5311,BAE-Guns/VLS: FPI FINAL PRICE REVISION,168,288,-120,16.51,70.62,-54.11
N0002413C5325,BAE-Guns/VLS: COST TO SUPPORT ITEM 0209AB,223,308,-85,34.73,45.29,-10.56
N0002421C5393,BAE-Guns/VLS: MATERIAL TO SUPPORT ITEM 1404,94,72,22,25.07,16.26,8.81
N0002424C5324,BAE-Guns/VLS: MK 21 MOD 4 CANISTERS WITH PHS&T,235,157,78,79.06,59.95,19.12
N0002420C4400,"BAE-Guns/VLS: C440A BAE EXECUTION CONTRACTS TEAM
USS PREBLE DDG 88
FY20 DMP
UNILATERAL MODIFICATION TO SETTLE 419G AND 430G",141,141,0,32.74,32.74,0.0
N0002422C4485,"BAE-Guns/VLS: CODE 440A CNO EXECUTION CONTRACTS
USS MUSTIN DDG 89 FY22 DMP 
BILATERAL EXTENSION MODIFICATION TO SETTLE
RCCS 290G CLIN/",273,273,0,8.2,8.2,0.0
N0002420C5300,BAE-Guns/VLS: 57MM MK 110 MOD 0 GUN MOUNT,10,9,1,0.6,0.53,0.07
N0002420C5605,DRS: ESTABLISH AND FUND SLINS,251,245,6,154.77,151.16,3.61
N0002415C5228,DRS: AN/USG-3B SYSTEM,175,183,-8,35.34,36.65,-1.3
N0002417C4109,DRS: J8 ORDER,210,233,-23,33.86,38.14,-4.28
N6523615C1007,DRS: CHANGE OF ADMIN CODE,0,0,0,0.0,0.0,0.0
N0025324F0016,"DRS: USN TI-24 PRODUCTION, SURGE & SPARES",91,91,0,32.31,32.31,0.0
N0002423C2305,GD-BIW: CONSTRUCTION OF DDG 51 SHIP,0,0,0,0.0,0.0,0.0
