program,work_type,first_award_fy,n_first_time_vendors,entrant_window_dollars_$M
ddg,castings,2013,3,0.0
ddg,castings,2016,1,0.0
ddg,castings,2022,1,0.35
ddg,castings,2024,3,43.515
ddg,castings,2025,2,1.482
ddg,coatings,2013,3,0.0
ddg,coatings,2015,1,0.0
ddg,coatings,2018,1,0.0
ddg,coatings,2019,1,0.0
ddg,coatings,2023,1,0.449
ddg,electrical,2013,7,0.0
ddg,electrical,2016,2,0.0
ddg,electrical,2017,1,0.0
ddg,electrical,2019,2,0.0
ddg,electrical,2020,2,4.474
ddg,electrical,2021,2,11.193
ddg,electrical,2022,4,39.29
ddg,electrical,2023,5,6.885
ddg,electrical,2024,6,84.885
ddg,hvac,2013,5,0.0
ddg,hvac,2017,1,0.0
ddg,hvac,2019,1,0.0
ddg,hvac,2022,1,3.55
ddg,hvac,2023,5,13.496
ddg,hvac,2024,2,20.159
ddg,machining,2013,5,0.0
ddg,machining,2018,1,0.0
ddg,machining,2022,2,333.14
ddg,machining,2023,3,67.754
ddg,machining,2024,1,169.046
ddg,machining,2025,1,2.977
ddg,machining,2026,1,0.0
ddg,piping,2013,22,0.0
ddg,piping,2014,6,0.0
ddg,piping,2015,1,0.0
ddg,piping,2017,2,0.0
ddg,piping,2019,3,0.0
ddg,piping,2020,2,22.58
ddg,piping,2021,2,2.198
ddg,piping,2022,10,40.153
ddg,piping,2023,8,19.337
ddg,piping,2024,9,51.388
ddg,piping,2025,1,0.373
ddg,piping,2026,1,0.0
ddg,structural,2013,10,0.0
ddg,structural,2014,2,0.0
ddg,structural,2015,5,0.0
ddg,structural,2016,2,0.0
ddg,structural,2017,3,0.0
ddg,structural,2018,1,0.0
ddg,structural,2021,1,3.266
ddg,structural,2022,3,14.44
ddg,structural,2023,8,20.25
ddg,structural,2024,7,47.587
ddg,structural,2025,5,33.309
ddg,unbucketed,2002,1,0.0
ddg,unbucketed,2013,45,0.0
ddg,unbucketed,2014,19,0.0
ddg,unbucketed,2015,25,0.0
ddg,unbucketed,2016,24,0.0
ddg,unbucketed,2017,19,0.0
ddg,unbucketed,2018,18,0.0
ddg,unbucketed,2019,18,0.0
ddg,unbucketed,2020,8,2.424
ddg,unbucketed,2021,9,4.547
ddg,unbucketed,2022,30,9.543
ddg,unbucketed,2023,40,6.119
ddg,unbucketed,2024,22,6.883
ddg,unbucketed,2025,13,1.684
ddg,unbucketed,2026,5,0.0
submarines,castings,2016,3,0.0
submarines,castings,2017,2,0.0
submarines,castings,2018,2,0.0
submarines,castings,2021,1,-3.123
submarines,castings,2022,2,23.329
submarines,castings,2023,1,0.868
submarines,castings,2024,1,0.08
submarines,coatings,2016,5,0.0
submarines,coatings,2017,1,0.0
submarines,coatings,2018,1,0.0
submarines,coatings,2019,1,0.0
submarines,coatings,2021,2,93.873
submarines,coatings,2022,2,9.099
submarines,coatings,2023,1,7.797
submarines,electrical,2016,6,0.0
submarines,electrical,2017,6,0.0
submarines,electrical,2018,3,0.0
submarines,electrical,2019,1,0.0
submarines,electrical,2020,1,2.732
submarines,electrical,2021,2,9.224
submarines,electrical,2022,12,56.566
submarines,electrical,2023,4,5.256
submarines,electrical,2025,1,4.365
submarines,hvac,2016,2,0.0
submarines,hvac,2017,2,0.0
submarines,hvac,2019,1,0.0
submarines,hvac,2022,1,0.923
submarines,hvac,2023,1,1.246
submarines,machining,2016,7,0.0
submarines,machining,2017,4,0.0
submarines,machining,2018,1,0.0
submarines,machining,2019,4,0.0
submarines,machining,2021,2,2.344
submarines,machining,2022,8,45.995
submarines,machining,2023,4,4.842
submarines,machining,2024,3,7.725
submarines,machining,2025,1,0.973
submarines,piping,2016,25,0.0
submarines,piping,2017,7,0.0
submarines,piping,2018,2,0.0
submarines,piping,2019,6,0.0
submarines,piping,2020,3,13.318
submarines,piping,2021,8,204.472
submarines,piping,2022,16,388.958
submarines,piping,2023,13,43.818
submarines,piping,2024,4,5.894
submarines,piping,2025,2,0.401
submarines,structural,2016,14,0.0
submarines,structural,2017,8,0.0
submarines,structural,2019,5,0.0
submarines,structural,2020,2,5.223
submarines,structural,2021,5,55.554
submarines,structural,2022,11,276.468
submarines,structural,2023,4,33.474
submarines,structural,2024,3,10.295
submarines,structural,2025,1,2.689
submarines,unbucketed,2013,1,0.0
submarines,unbucketed,2015,1,0.0
submarines,unbucketed,2016,107,0.0
submarines,unbucketed,2017,139,0.0
submarines,unbucketed,2018,107,0.0
submarines,unbucketed,2019,64,0.0
submarines,unbucketed,2020,25,11.4
submarines,unbucketed,2021,60,47.678
submarines,unbucketed,2022,57,32.121
submarines,unbucketed,2023,61,26.937
submarines,unbucketed,2024,42,9.792
submarines,unbucketed,2025,19,7.198
