program,work_type,vendor_uei,vendor_name,basis,n_awards_fy22_25,dollars_fy22_25_$M,n_awards_all,dollars_all_$M,first_award_date,first_award_fy,last_award_date,is_new_entrant_fy22_25,also_active_other_program,median_interaward_days,max_gap_days,exited_flag,n_piids,piids
ddg,castings,SVXNHLLWX953,ELLWOOD NATIONAL FORGE COMPANY,registry,7,28.866,7,28.866,2024-03-06,2024,2025-08-11,True,True,131,157,False,2,N0002418C2307;N0002423C2307
ddg,castings,SNP5XVVL5896,ELLWOOD NATIONAL FORGE COMPANY,registry,2,14.221,2,14.221,2023-11-01,2024,2023-11-01,True,False,,,True,1,N0002423C2307
ddg,castings,GZKZJF8DBJJ2,"LISTER CHAIN AND FORGE, INC.",naics4,4,2.52,12,5.466,2013-07-31,2013,2022-06-22,False,False,313,1388,True,2,N0002413C2307;N0002418C2307
ddg,castings,FLQJXSFMNQP6,LISTER CHAIN & FORGE INC,naics4,2,1.441,2,1.441,2024-12-09,2025,2025-05-06,True,False,148,148,False,2,N0002418C2307;N0002423C2307
ddg,castings,P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,naics4,11,0.961,19,1.549,2016-08-11,2016,2025-10-16,False,False,98,697,False,3,N0002413C2307;N0002418C2307;N0002423C2307
ddg,castings,YN8EW4XM28Z1,"WASHINGTON CHAIN & SUPPLY, INC.",naics4,1,0.428,1,0.428,2023-10-24,2024,2023-10-24,True,False,,,False,1,N0002418C2307
ddg,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",naics4,4,0.354,17,1.441,2013-07-24,2013,2025-11-26,False,True,300,1013,False,2,N0002413C2307;N0002418C2307
ddg,castings,N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,naics4,1,0.35,1,0.35,2022-09-22,2022,2022-09-22,True,False,,,False,1,N0002418C2307
ddg,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,registry,1,0.041,1,0.041,2025-05-01,2025,2025-05-01,True,True,,,False,1,N0002418C2307
ddg,castings,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",naics4,0,0.0,18,48.531,2013-07-29,2013,2021-06-11,False,True,196,1299,False,2,N0002413C2307;N0002418C2307
ddg,coatings,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,registry,17,6.431,41,10.791,2015-08-24,2015,2025-12-08,False,False,36,1528,False,4,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307
ddg,coatings,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",registry,11,1.964,20,3.196,2013-09-18,2013,2023-11-27,False,False,92,1725,True,5,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002419C2322
ddg,coatings,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,naics4,6,1.351,10,1.563,2019-09-05,2019,2025-09-30,False,True,180,773,False,2,N0002413C2307;N0002418C2307
ddg,coatings,PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,residual,12,0.489,21,0.846,2013-05-23,2013,2025-11-25,False,True,64,1620,False,4,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307
ddg,coatings,EGAVSJTA2D81,RAYTHEON COMPANY,registry,3,0.449,3,0.449,2023-07-26,2023,2024-11-25,True,True,244.0,392,True,2,N0002418C2305;N0002418C2307
ddg,coatings,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",naics4,0,0.0,15,1.376,2013-05-09,2013,2018-04-27,False,True,123.0,398,False,3,N0002411C2307;N0002411C2309;N0002413C2307
ddg,coatings,E86GJS762JJ5,TOTAL SA,registry,0,0.0,1,0.241,2018-08-14,2018,2018-08-14,False,True,,,False,1,N0002414C4313
ddg,electrical,W8PTMRME1496,LEONARDO SPA,naics4,104,70.144,303,150.144,2013-07-11,2013,2026-03-06,False,True,9.5,256,False,10,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2305;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307
