program,vendor_key_uei,entity_uei,parent_uei,vendor_name,dollars_fy22_25_$M,dollars_all_$M,n_awards,naics4,current_basis,cum_unbucketed_fy22_25_$M,cum_share_of_supplier_fy22_25
submarines,WPP2ABN6UCF5,WPP2ABN6UCF5,,"L3HARRIS TECHNOLOGIES, INC.",8.614,8.614,2,3342,residual,8.614,0.00206
submarines,SJULQDJ8NZU7,HA3UFSU8FN75,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",7.538,16.198,48,3345,residual,16.151,0.00387
submarines,FH39KDCYBK21,FH39KDCYBK21,,"Htp Meds, LLC",4.302,4.526,10,,residual,20.453,0.0049
submarines,EYMMLMHBMSL5,EYMMLMHBMSL5,,"SGL AUTOMATION, LLC",3.543,3.543,3,,residual,23.996,0.00574
submarines,T5C6JNLVSC17,T5C6JNLVSC17,,HYDRATIGHT OPERATIONS INC,3.25,3.25,13,3322,residual,27.247,0.00652
submarines,JCXDK86FK3L5,JCXDK86FK3L5,JCXDK86FK3L5,FEDERAL METAL CO,3.236,3.236,2,3314,residual,30.482,0.0073
submarines,PNE9R5EJMWK8,QV38GMJUBJQ3,PNE9R5EJMWK8,L3HARRIS MARITIME SERVICES INC,3.05,3.05,5,3366,vendor-override,33.533,0.00803
submarines,GFCUEMH2CGN1,GFCUEMH2CGN1,,RIVERHEAD BUILDING SUPPLY CORP.,2.993,3.227,32,4233,residual,36.526,0.00874
submarines,QT9LCNSYE637,GWKMNJ89SCC5,QT9LCNSYE637,MATERION CORPORATION,2.865,3.859,27,3314,residual,39.391,0.00943
submarines,WJ1XMJMTSYL9,WJ1XMJMTSYL9,,"PAROSCIENTIFIC, INC.",2.694,4.426,36,3345,residual,42.085,0.01007
submarines,PWK4GDMMEAQ8,PWK4GDMMEAQ8,,AMETEK INC.,2.571,2.571,19,3344,residual,44.656,0.01069
submarines,D6GJGD1KMH25,D6GJGD1KMH25,,"ANIXTER, INC",2.461,2.461,11,,residual,47.117,0.01128
submarines,W1LDBNHD4EM7,RLYHS582JDW8,W1LDBNHD4EM7,Schlumberger N.V.,2.426,8.608,48,3345,residual,49.543,0.01186
submarines,Z19UP1U6FMT1,Z19UP1U6FMT1,,INDUSTRIAL TRANSFER AND STORAGE INC.,2.425,9.687,34,2382,residual,51.968,0.01244
submarines,TCCLSQU7ZMW5,NHA2LDXZPES3,TCCLSQU7ZMW5,ITT Inc.,2.28,6.962,10,3364,residual,54.247,0.01299
submarines,Z86FMF9P1KD6,Z86FMF9P1KD6,Z86FMF9P1KD6,"G. S. E. DYNAMICS, INC.",2.279,2.279,9,3364,residual,56.527,0.01353
submarines,C1NAJQ34VWM5,C1NAJQ34VWM5,,CAMERON ENERGY SERVICES CORP.,2.237,2.267,17,3345,residual,58.763,0.01407
submarines,J8PKNJEX2MS2,J8PKNJEX2MS2,,"LOCKWOOD BROTHERS, INC.",2.183,9.817,16,4831,residual,60.947,0.01459
submarines,XPJVJCWTHYV6,XPJVJCWTHYV6,XPJVJCWTHYV6,"ESCO GROUP, INC.",2.147,2.159,4,3332,residual,63.094,0.0151
submarines,CG86N1ZC42B8,CG86N1ZC42B8,,Ammcon Corp.,2.116,2.196,37,,residual,65.21,0.01561
submarines,MSFLXVQVJMG4,MSFLXVQVJMG4,,CURTISS-WRIGHT CORPORATION,2.057,2.067,20,3345,residual,67.267,0.0161
submarines,U73RYB2RKTW4,U73RYB2RKTW4,,"RWH CONSULTING GROUP, INC.",2.025,2.417,13,5613,residual,69.292,0.01659
submarines,WNDYZX3ALFB1,WNDYZX3ALFB1,WNDYZX3ALFB1,"COMARK, LLC",2.007,4.456,28,3341,residual,71.298,0.01707
submarines,J3C4WKJZZKN5,MK9SR2K87JN5,J3C4WKJZZKN5,"Landstar System, Inc.",2.0,8.14,4,4841,residual,73.298,0.01755
submarines,UNYXWK1ZR391,UNYXWK1ZR391,UNYXWK1ZR391,"MAYCO MANUFACTURING, LLC",1.921,1.921,2,3314,residual,75.219,0.01801
submarines,QYLMXH4B2KX8,WA9LNGN2DPF4,QYLMXH4B2KX8,"BECHTEL NATIONAL, INC.",1.878,1.878,3,,residual,77.097,0.01846
submarines,JU2ME5ZK8VL3,JU2ME5ZK8VL3,,"MMC METROLOGY LAB, INC",1.856,4.407,63,3345,residual,78.953,0.0189
submarines,R2D6XY1EM6J8,R2D6XY1EM6J8,,SENSARAS,1.816,2.929,17,3345,residual,80.77,0.01934
submarines,VNC1NE44BXJ6,VNC1NE44BXJ6,,"TOTAL WELDING SUPPLY, INC.",1.692,1.692,4,,residual,82.461,0.01974
submarines,LR2HQKYJLDZ7,LR2HQKYJLDZ7,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,1.671,3.689,24,4238,registry,84.133,0.02014
submarines,CABCB9XBJHK5,CABCB9XBJHK5,,"APOLLO PROFESSIONAL SOLUTIONS, INC.",1.65,1.725,13,5613,residual,85.783,0.02054
submarines,F2KSX22KK1E4,F2KSX22KK1E4,F2KSX22KK1E4,"BLOOMY CONTROLS, INC.",1.649,2.727,9,3345,residual,87.432,0.02093
submarines,C3B4GMUXK277,C3B4GMUXK277,,"BOWMAR, LLC",1.628,-0.696,8,3345,residual,89.06,0.02132
submarines,EDJPMQN1HSJ1,EDJPMQN1HSJ1,EDJPMQN1HSJ1,"MSA SAFETY SALES, LLC",1.605,1.605,7,3391,residual,90.666,0.0217
submarines,NGMSB6M2QKA4,NGMSB6M2QKA4,,"ASA ENVIRONMENTAL PRODUCTS, INC.",1.574,2.573,45,4238,residual,92.239,0.02208
submarines,WA6MBG28BUQ5,YWX1QLBKSQD7,WA6MBG28BUQ5,PPG INDUSTRIES INC.,1.552,3.94,41,3255,residual,93.791,0.02245
submarines,W3KUJLTCRLV1,CG86N1ZC42B8,W3KUJLTCRLV1,AMMCON CORP.,1.527,1.539,19,,residual,95.318,0.02282
submarines,PUFMZLZJ2BY2,PUFMZLZJ2BY2,,"Helix Acquisition Holdings, Inc.",1.508,1.508,12,3326,residual,96.826,0.02318
submarines,Y9KMLM1AFU63,Y9KMLM1AFU63,,ROTRON INCORPORATED,1.499,1.499,2,3344,residual,98.325,0.02354
submarines,ZXNYWJ1KLDL9,ZXNYWJ1KLDL9,,"SYMETRICS INDUSTRIES, LLC",1.485,2.102,2,3364,residual,99.809,0.02389
submarines,Q53BLDNWRKA8,JL9NMM3YALQ5,Q53BLDNWRKA8,"TAD PGS, INC.",1.476,1.476,16,5613,residual,101.285,0.02425
submarines,J8EPCEKBCWN6,EU8ESM53JNE7,J8EPCEKBCWN6,LANXESS CORPORATION,1.454,1.454,5,,residual,102.74,0.02459
submarines,JU5GNH1H5FV6,JU5GNH1H5FV6,,DY4 INC,1.408,1.408,7,3341,residual,104.148,0.02493
submarines,M1GWN16X9VN3,JL9NMM3YALQ5,M1GWN16X9VN3,"TAD PGS, INC.",1.378,2.874,16,5613,residual,105.526,0.02526
