uei,name,sub_parent_uei,dollars,records,programs,foreign
F8PEZKXES8B1,BLUEFORGE ALLIANCE,,4173270883.11,8,ddg,
LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,NKVZLJL93QT6,2046023086.41,128,ddg,
GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",W8PTMRME1496,520882112.22,278,ddg,
HLVBPCA2LH41,Rolls-Royce Marine North America Inc.,F32RBQ3CHAG9,459522480.61,132,ddg,
WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,PF8PJNVEPTJ1,378344585.14,216,ddg,
N1PJDANWUJ61,SCOT FORGE COMPANY,N1PJDANWUJ61,355371463.51,758,ddg,
YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,E5K9VR2A1MW9,333523184.93,30,ddg,
J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,J1T1FEN3PWX6,333092746.60,28,ddg,
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",XEQ3L57D2J24,299690166.01,97,ddg,
WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",CMT4S6G76QB5,289874121.85,15,ddg,
E8LNMDLEKM35,D.C. FABRICATORS INC.,,255017223.64,66,ddg,
DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,TJLYWEFN1YR8,240485509.84,20,ddg,Y
FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",SFBKRA9THBA3,218319422.91,114,ddg,
YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",,211351009.86,85,ddg,
J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,XEQ3L57D2J24,192134506.59,60,ddg,
FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,H4FZBFXLJ636,169173617.00,8,ddg,
HNAECT5M9TM4,"SOCAIL, LDA",,151352010.33,10,ddg,Y
KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",KENVPMBVBT39,141905342.68,73,ddg,
JEP5GQGFPUL9,PORTLAND VALVE LLC,L8T4R3N7ACL6,139709774.35,233,ddg,
NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,PF8PJNVEPTJ1,131642290.14,198,ddg,
