uei,naics6,desc,is_primary,dollars
LCV2N9FVV739,333611,Turbine and Turbine Generator Set Units Manufacturing ,,2046023086.41
LCV2N9FVV739,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",,2046023086.41
LCV2N9FVV739,335312,Motor and Generator Manufacturing ,Y,2046023086.41
GXPHJRVG9MR7,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",Y,520882112.22
GXPHJRVG9MR7,335313,Switchgear and Switchboard Apparatus Manufacturing ,,520882112.22
GXPHJRVG9MR7,335314,Relay and Industrial Control Manufacturing ,,520882112.22
WYDAKCJ5K219,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",Y,378344585.14
N1PJDANWUJ61,331221,Rolled Steel Shape Manufacturing ,,355371463.51
N1PJDANWUJ61,332111,Iron and Steel Forging ,Y,355371463.51
N1PJDANWUJ61,332112,Nonferrous Forging ,,355371463.51
N1PJDANWUJ61,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",,355371463.51
YNJNTZWVC3H6,336611,Ship Building and Repairing ,Y,333523184.93
YNJNTZWVC3H6,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,333523184.93
YNJNTZWVC3H6,488390,Other Support Activities for Water Transportation,,333523184.93
YNJNTZWVC3H6,541330,Engineering Services,,333523184.93
YNJNTZWVC3H6,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",,333523184.93
YNJNTZWVC3H6,541990,"All Other Professional, Scientific, and Technical Services",,333523184.93
J1T1FEN3PWX6,336412,Aircraft Engine and Engine Parts Manufacturing ,Y,333092746.6
J1T1FEN3PWX6,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,333092746.6
J1T1FEN3PWX6,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,333092746.6
J1T1FEN3PWX6,541330,Engineering Services,,333092746.6
J1T1FEN3PWX6,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",,333092746.6
J1T1FEN3PWX6,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,,333092746.6
SLD5KEGGLLZ3,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,Y,299690166.01
WJYVCPD5HKK7,325180,Other Basic Inorganic Chemical Manufacturing ,,289874121.85
WJYVCPD5HKK7,332410,Power Boiler and Heat Exchanger Manufacturing,Y,289874121.85
WJYVCPD5HKK7,541990,"All Other Professional, Scientific, and Technical Services",,289874121.85
E8LNMDLEKM35,332312,Fabricated Structural Metal Manufacturing ,Y,255017223.64
E8LNMDLEKM35,332313,Plate Work Manufacturing ,,255017223.64
E8LNMDLEKM35,332410,Power Boiler and Heat Exchanger Manufacturing,,255017223.64
E8LNMDLEKM35,332420,Metal Tank (Heavy Gauge) Manufacturing,,255017223.64
E8LNMDLEKM35,332439,Other Metal Container Manufacturing ,,255017223.64
E8LNMDLEKM35,332710,Machine Shops,,255017223.64
FLDEFFBLR5P3,325211,Plastics Material and Resin Manufacturing ,,218319422.91
FLDEFFBLR5P3,325212,Synthetic Rubber Manufacturing ,Y,218319422.91
FLDEFFBLR5P3,325991,Custom Compounding of Purchased Resins ,,218319422.91
FLDEFFBLR5P3,326199,All Other Plastics Product Manufacturing ,,218319422.91
YD1GK53355R5,332313,Plate Work Manufacturing ,Y,211351009.86
YD1GK53355R5,332410,Power Boiler and Heat Exchanger Manufacturing,,211351009.86
YD1GK53355R5,332420,Metal Tank (Heavy Gauge) Manufacturing,,211351009.86
YD1GK53355R5,332710,Machine Shops,,211351009.86
YD1GK53355R5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,211351009.86
