Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
LCV2N9FVV739,335312,Motor and Generator Manufacturing,,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,Domestic,530.140245,46,2016-04-26,2024-12-02,,,,,This UEI is Northrop Grumman Marine Systems in Sunnyvale. Northrop publicly assigns Sunnyvale work on the Columbia/Dreadnought common-missile-compartment launcher subsystem and also identifies Marine Systems as a supplier of Columbia-class power-generation equipment; the specific subaward line cannot be separated between those product lines from public data.,"https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10107763/
https://www.northropgrumman.com/what-we-do/sea
https://cdn.northropgrumman.com/-/media/Project/Northrop-Grumman/ngc/who-we-are/corporate-responsibility/2025-Annual-Report-Northrop-Grumman.pdf?rev=6725192060ff4fd79c041d38cc4b842b"
GXPHJRVG9MR7,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,LEONARDO SPA,DRS NAVAL POWER SYSTEMS INC,Domestic,403.25088,42,2017-04-07,2024-07-25,,,,,"This UEI is Leonardo DRS’s Menomonee Falls naval-power plant, one of four sites named for Columbia electric-propulsion production. The facility manufactures solid-state propulsion drives and naval power-distribution hardware; DRS does not publicly itemize the exact drive, switchgear, or control unit by UEI.","https://www.highergov.com/awardee/drs-naval-power-systems-inc-10114216/
https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/
https://seapowermagazine.org/leonardo-drs-to-build-state-of-the-art-naval-propulsion-manufacturing-and-test-facility-near-charleston-s-c/"
DK2SLQURMJF3,,"n/a (foreign, no SAM record)",,BABCOCK INTERNATIONAL GROUP PLC,BABCOCK MARINE (ROSYTH) LIMITED,Foreign,240.48551,20,2016-01-20,2021-12-21,,,,,Manufactured Common Missile Compartment missile-tube assemblies at Rosyth for the U.S. Columbia and U.K. Dreadnought programs. Babcock later transferred these Rosyth operating activities to Rosyth Royal Dockyard Limited.,https://www.investegate.co.uk/announcement/rns/babcock-international-group--bab/full-year-results-for-the-year-ended-31-march-2023/7644089
N1PJDANWUJ61,332111,Iron and Steel Forging,,SCOT FORGE COMPANY,SCOT FORGE COMPANY,Domestic,176.562121,292,2016-02-18,2025-01-06,,,,,"Scot Forge is a custom forging supplier for marine propulsion and shipbuilding. Its public marine-propulsion materials describe experience producing ship, submarine, and boat shaft forgings, as well as open-die and rolled-ring forgings used as high-strength metal inputs for propulsion and other heavy mechanical applications. Defense-industrial-base coverage also identifies Scot Forge as part of the castings-and-forgings supplier base receiving submarine-industrial-base investment to expand large-forging capacity.",https://www.scotforge.com/market-expertise1/marine-propulsion | https://www.scotforge.com/market-expertise/shipbuilding | https://www.defensenews.com/naval/2023/09/08/the-us-navy-is-spending-billions-to-stabilize-vendors-will-it-work/
WYDAKCJ5K219,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Domestic,169.364936,102,2016-04-27,2024-12-20,,,,,Supplies electrical generators for Columbia-class submarines. Curtiss-Wright’s Electro-Mechanical Division received Columbia-specific generator-production contracts valued at approximately $120 million.,https://curtisswright.com/news/press-releases/news-release-details/2022/Curtiss-Wright-Receives-Contracts-Valued-at-120-Million-to-Support-U.S.-Navys-Columbia-Class-Submarine-Program
KENVPMBVBT39,,"n/a (SAM record, no NAICS)",,"RHOADS METAL FABRICATIONS, INC.","RHOADS METAL FABRICATIONS, INC.",Domestic,124.336742,56,2022-02-28,2024-12-18,,,,,"Rhoads performs large-scale defense maritime fabrication, assembly, outfitting, welding, pipefitting, and industrial services for Navy submarine construction. Its public materials describe a Philadelphia focus factory for Navy submarine construction, NAVSEA/MIL-spec welding qualifications, and General Dynamics Electric Boat approvals. Rhoads specifically describes moving completed submarine decks and modules from its manufacturing floor to barges bound for Navy test sites or final-assembly shipyard locations.",https://www.rhoadsinc.com/rhoads-industries-opens-new-high-capacity-pier-6a-to-support-u-s-navy-submarine-programs/ | https://www.rhoadsinc.com/capabilities/dod/ | https://www.rhoadsinc.com/capabilities/maritime/ | https://www.rhoadsinc.com/rhoads-industries-receives-green-rating-in-general-dynamics-electric-boat-readiness-assessment/ | https://www.rhoadsinc.com/capabilities-old/welding-services/
YD1GK53355R5,332313,Plate Work Manufacturing,,,"PRECISION CUSTOM COMPONENTS, LLC",Domestic,90.95612,36,2016-08-15,2024-10-04,,,,,"Precision Custom Components is a custom heavy-fabrication and nuclear-manufacturing supplier. Public company and acquisition materials describe custom-fabricated heavy pressure vessels, reactors, casks, and other heavy-walled components requiring specialized machining, welding, fabrication, engineering, drafting, and in-house manufacturing capability. Public subcontract data show a General Dynamics Electric Boat subaward under the Columbia-class design-completion contract, and local reporting describes PCC as supplying submarine components to the US Navy.",https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/ | https://www.thomasnet.com/company/precision-custom-components-llc-149347/profile | https://business.ycea-pa.org/list/member/precision-custom-components-llc-york-23476 | https://www.highergov.com/subcontract/N0002417C2117-1000043908/ | https://www.fox43.com/article/news/local/program-helping-pennsylvania-defense-manufacturers-find-workers/521-607d8224-93f1-4606-9742-765b505c71f3
LSMBJZFLN8L9,336611,Ship Building and Repairing,,,ROSYTH ROYAL DOCKYARD LIMITED,Foreign,83.981943,5,2022-11-09,2024-04-26,,,,,Manufactures missile-tube assemblies and Integrated Tube Hulls for the Common Missile Compartment shared by the Columbia and Dreadnought classes.,https://www.investegate.co.uk/announcement/rns/babcock-international-group--bab/full-year-results-for-the-year-ended-31-march-2023/7644089
F2LEAK3EK9R3,336611,Ship Building and Repairing,,GRAHAM CORP,GRAHAM CORP,Domestic,83.570263,26,2021-07-21,2024-10-08,,,,,"Graham supplies mission-critical defense turbomachinery, cryogenic pump, fluid-transfer, power, heat-transfer, and vacuum technology products. For Columbia-class submarines, Graham publicly announced a contract to provide the MK19 Air Turbine Pump assembly. The company also announced shipment of final first-article units for US Navy programs including Columbia, supporting the view that its work is a qualified equipment/subassembly item rather than raw material.",https://ir.grahamcorp.com/news-events/press-releases/detail/364/graham-corporation-wins-over-65-million-in-defense-and | https://ir.grahamcorp.com/news-events/press-releases/detail/345/graham-corporation-ships-final-first-article-units-for-u-s
XQW8RJNNAXX8,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",,"W INTERNATIONAL, LLC","W INTERNATIONAL, LLC",Domestic,56.567186,55,2016-09-29,2024-10-04,,,,,"W International is an advanced metal-fabrication and distributed-shipbuilding supplier for nuclear-submarine structures. Public coverage of HII's acquisition of W International assets describes the Goose Creek, South Carolina facility as producing modules used in Virginia- and Columbia-class submarine construction. HII describes the site as supporting nuclear-powered submarine module and structure construction and producing completed submarine modules and structural units.",https://www.hii.com/news/hii-expands-shipbuilding-capacity-announcing-intent-to-acquire-south-carolina-advanced-metal-fabricator-assets-and-workforce | https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.hii.com/news/hii-increases-throughput-expands-industrial-base-through-distributed-shipbuilding | https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
