Subawardee UEI,Program,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description
HLVBPCA2LH41,DDG,ROLLS-ROYCE MARINE NORTH AMERICA INC.,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
J1T1FEN3PWX6,DDG,GENERAL ELECTRIC COMPANY,336412,Aircraft Engine and Engine Parts Manufacturing
J3AFGKXWYK73,DDG,York International Corporation,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
SLD5KEGGLLZ3,DDG,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
FZPYZ11SFNA6,DDG,TIMKEN GEARS & SERVICES INC.,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
HNAECT5M9TM4,DDG,"SOCAIL, LDA",,"n/a (foreign, no SAM record)"
PQGNEEY9W5M3,DDG,NORTHROP GRUMMAN SYSTEMS CORPORATION,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
GXPHJRVG9MR7,DDG,DRS NAVAL POWER SYSTEMS INC,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
ZW3UMG9YVNA9,DDG,L-3 COMMUNICATIONS WESTWOOD CORPORATION,335313,Switchgear and Switchboard Apparatus Manufacturing
QGB4RDYJNJT9,DDG,ELLWOOD NATIONAL FORGE COMPANY,332111,Iron and Steel Forging
VJMTKNLENX24,DDG,ENGINEERED COIL COMPANY,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
Z89SS59265U9,DDG,ESPEY MFG. & ELECTRONICS CORP.,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
YELYMYLF82L9,DDG,"LAKE SHORE SYSTEMS, INC.",336611,Ship Building and Repairing
CFXRGJSB9UB6,DDG,"SPD ELECTRICAL SYSTEMS, INC",335313,Switchgear and Switchboard Apparatus Manufacturing
SSD8KRDXKG46,DDG,"HILLER COMPANIES, INC., THE",238210,Electrical Contractors and Other Wiring Installation Contractors
WUDSRNBSYC17,DDG,"ERIE FORGE AND STEEL, INC.",336611,Ship Building and Repairing
HLVNZXU8EAM1,DDG,POWER PARAGON INC,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
JRUCKDSNXKD5,DDG,"ENTWISTLE COMPANY, THE",333998,All Other Miscellaneous General Purpose Machinery Manufacturing
QKJUKKE5WPA8,DDG,GULF COPPER & MANUFACTURING CORPORATION,336611,Ship Building and Repairing
LM35HWEVUPH3,DDG,"ADI TECHNOLOGIES, INC.",541613,Marketing Consulting Services
HLE1E2KALJA5,DDG,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
M4ELQDG7JLM5,DDG,"BUFFALO PUMPS, INC.",333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
KCYPSYNH1M94,DDG,US JOINER LLC,336611,Ship Building and Repairing
XYNDM1Y7XGG7,DDG,AMERICAN METAL BEARING COMPANY,332991,Ball and Roller Bearing Manufacturing
N5KMLMXEPFM5,DDG,PARKER HANNIFIN CORPORATION,333310,Commercial and Service Industry Machinery Manufacturing
J645RTMFWMW1,DDG,"MAXIM EVAPORATORS OF AMERICA, LLC",339999,All Other Miscellaneous Manufacturing
WSK3WRSGKAU1,DDG,ALFA LAVAL INC.,332410,Power Boiler and Heat Exchanger Manufacturing
JA2KCX21NL48,DDG,"WARTSILA DEFENSE, INC.",336611,Ship Building and Repairing
FCK2D4PSV1L2,DDG,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
JW6PXX1WALN4,DDG,HOWDEN NORTH AMERICA INC,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
V1MQFNQB56Z5,DDG,RIX INDUSTRIES,333912,Air and Gas Compressor Manufacturing
F42BKS7EHCL8,DDG,EMS DEVELOPMENT CORPORATION,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
FGNQE3RF1FK5,DDG,"MORPAC INDUSTRIES, INC.",332911,Industrial Valve Manufacturing
MC77SUMRLXY5,DDG,"MILWAUKEE VALVE COMPANY, INC.",332911,Industrial Valve Manufacturing
QNF5KM7YJSN7,DDG,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",336611,Ship Building and Repairing
LR2HQKYJLDZ7,DDG,ESI ACQUISITION CORP.,423830,Industrial Machinery and Equipment Merchant Wholesalers
KNEFNMWXBK39,DDG,JO-KELL INC.,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
JEP5GQGFPUL9,DDG,PORTLAND VALVE LLC,332911,Industrial Valve Manufacturing
Q35JL9GFCAK3,DDG,"MAROTTA CONTROLS, INC.",332912,Fluid Power Valve and Hose Fitting Manufacturing
G78MQ69BN636,DDG,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,332420,Metal Tank (Heavy Gauge) Manufacturing
MEMSWT1LFU18,DDG,JERED LLC,332312,Fabricated Structural Metal Manufacturing
SKKACASET588,DDG,DYNALEC CORPORATION,334290,Other Communications Equipment Manufacturing
