program,piid,vessel_class,builder,label,data_status,n_records_full_history,n_records_supplier,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
virginia,N0002417C2100,Virginia,GDEB,Va Block V/VI master,robust,5681,5238,0.0,0.0,0.0,0.0,0.94,914.137,388.612,361.078,184.624,320.31,216.634,894.851,202.943,59.514,0.0,3543.643
virginia,N0002412C2115,Virginia,GDEB,Va Block IV MYP,robust,1622,1463,0.0,0.028,0.0,0.104,36.407,102.457,57.251,5.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.621
virginia,N0002416C2111,Virginia,GDEB,VPM Vent Valve (Block V),usable,773,658,0.0,0.0,0.0,0.0,0.389,77.607,20.883,34.812,3.904,61.876,-9.24,1.861,-0.082,0.069,0.0,192.079
virginia,N0002424C2110,Virginia,GDEB,Va Block VI LLTM,usable,367,344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.962,179.851,0.0,399.813
virginia,N0002421C4106,Virginia,BAE,SSN 812 Forward Subassembly,very-thin,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.292,0.262,0.606,0.3,1.749
virginia,N0002421C4111,Virginia,RR,Va Class Submarine Rotor,very-thin,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,4.646,0.0,4.697
virginia,N0002409C2104,Virginia,GDEB,Va Block II residual,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virginia,N0002410C2118,Virginia,GDEB,VPM Tube Fabrication,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virginia,N0002424C2114,Virginia,BPMI,S9G reactor,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virginia,N0002410C6266,Virginia,LM,Va Combat Systems HW/SW,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
columbia,N0002417C2117,Columbia,GDEB,Col Build I/II master,robust,5192,4670,0.0,0.0,0.0,0.0,1.329,11.063,220.047,236.505,48.331,9.544,214.693,1008.61,703.219,478.608,0.0,2931.949
columbia,N0002413C2128,Columbia,GDEB,Col Design Drawings,usable,608,529,0.0,0.0,0.0,0.0,49.786,71.72,4.836,-1.302,1.153,2.504,-0.289,0.0,0.0,0.0,0.0,128.407
columbia,N0002419C2115,Columbia,BPMI,Col Class IBI,thin,67,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.868,29.59,58.366,0.0,0.0,0.0,0.0,0.0,171.824
columbia,N0002419C2114,Columbia,BPMI,Naval Reactor Components,very-thin,49,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.975,15.212,41.862,0.0,0.0,0.0,0.0,0.0,110.048
columbia,N0002411C2109,Columbia,GDEB,SSBN-R concept formulation,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002418C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FIRM HHIP FY18 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG128 CONSTRUCTION OF DDG 51 SHIP,robust,2612,2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.865,155.753,131.056,110.169,101.679,60.809,99.743,49.112,1105.185
ddg,N0002413C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER (DDG 125),robust,2304,2071,0.0,147.892,151.352,85.624,85.788,103.866,31.523,16.697,11.483,13.703,8.133,7.012,8.034,4.519,0.099,675.724
ddg,N0002423C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCTION OF DDG 51 SHIP,usable,494,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.27,414.367,515.609,8.36,1078.606
ddg,N0002411C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY11 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 114 DEOBLIGATION OF DDG 114,thin,255,230,0.0,5.561,6.07,1.902,2.854,3.183,1.907,1.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.191
ddg,N0002411C2309,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY10 DDG 51 CLASS,thin,226,201,0.0,6.499,2.16,2.537,4.292,1.986,2.594,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.521
ddg,N0002419C4452,DDG-51,GD-BIW,GD-BIW: PROVISIONED ITEMS ORDERS (PIO),thin,154,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.062,6.874,11.675,5.579,0.463,0.0,24.702
ddg,N0002419C2322,DDG-51,GD-BIW,GD-BIW: ORDERS: WR22-029,thin,119,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254,4.354,12.159,1.732,0.0,0.0,22.499
ddg,N0002413C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP FMR-12161M DEFIN FMR-12182MNO DEFIN,thin,102,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.093,1.822,1.778,2.044,1.736,0.0,7.69
ddg,N0002414C4313,DDG-51,GD-BIW,GD-BIW: PIO AND OTHER MATERIAL. DE-OBLIGATE EXCESS FUNDS ON VARIOUS CLINS.,thin,78,73,0.0,0.0,0.0,0.0,2.982,14.062,24.1,29.633,4.331,0.0,0.0,0.0,0.0,0.0,0.0,75.107
ddg,N0002418C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP WF-3753 (FMR-12243N) FMR-12182MNO DEFIN,very-thin,27,23,3.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.206,12.789,0.069,30.985,0.0,55.748
ddg,N0002412C2312,DDG-51,HII-Ingalls,HII-Ingalls: FLIGHT III DESIGN,very-thin,9,8,0.0,0.448,4.416,0.511,1.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.434
ddg,N0002423C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002402C2303,DDG-51,GD-BIW,GD-BIW: CONTRACT CLOSEOUT,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002406C2303,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002411C2306,DDG-51,GD-BIW,GD-BIW: FUNDING REALLOCATION DUE TO CANCELLATION,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002411C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCT FY11 DDG 51 CLASS GUIDED FMR 11622L,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002412C4311,DDG-51,GD-BIW,GD-BIW: SHIP ALTERATION WORK - SEVERABLE,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002409C2302,DDG-51,GD-BIW,GD-BIW: DIACAP SETTLEMENT,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002418C2313,DDG-51,GD-BIW,GD-BIW: CLASS CHANGES DESIGN SERVICES,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002412C2313,DDG-51,GD-BIW,GD-BIW: FLIGHT III DESIGN,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002403C2306,DDG-51,GD-BIW,GD-BIW: CONTRACT CLOSEOUT,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002418C4451,DDG-51,GD-BIW,GD-BIW: SHIP ALTERATION WORK - SEVERABLE,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002424C2313,DDG-51,GD-BIW,GD-BIW: DDG 51 CLASS LEAD YARD SUPPORT,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddg,N0002402C2304,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCTION OF FY02 ARLEIGH BURKE GUIDED MISSILE DESTROYER,none,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
