program,work_type,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
virginia,electrical,0.0,0.0,0.0,0.0,1.129,692.264,72.216,18.532,17.173,260.879,50.975,435.18,100.471,12.515,0.0,1661.335,0,0,0,0,5,65,90,54,32,30,56,67,37,18,0,454
virginia,piping,0.0,0.0,0.0,0.0,3.255,136.528,118.354,82.828,95.623,35.355,32.417,86.342,135.01,74.931,0.0,800.644,0,0,0,0,34,167,163,380,274,146,165,175,179,149,0,1832
virginia,structural,0.0,0.0,0.0,0.0,6.479,146.335,26.696,55.058,15.061,50.531,61.458,171.097,78.93,66.596,0.3,678.541,0,0,0,0,15,109,74,62,27,68,81,165,115,47,1,764
virginia,unbucketed,0.0,0.028,0.0,0.104,24.086,85.168,74.752,75.503,23.607,11.42,28.527,29.298,21.87,22.208,0.0,396.573,0,1,0,1,139,504,610,430,230,151,171,222,195,123,0,2777
virginia,coatings,0.0,0.0,0.0,0.0,0.029,0.904,39.774,127.838,3.053,6.931,9.028,117.805,31.793,15.315,0.0,352.471,0,0,0,0,1,14,44,32,15,16,12,54,26,32,0,246
virginia,castings,0.0,0.0,0.0,0.0,0.554,16.447,81.289,20.981,6.936,1.217,5.321,24.168,11.878,33.223,0.0,202.013,0,0,0,0,5,49,140,81,36,16,37,71,45,79,0,559
virginia,machining,0.0,0.0,0.0,0.0,2.014,7.716,7.264,18.911,26.538,9.229,16.218,12.802,28.502,17.721,0.0,146.916,0,0,0,0,27,77,96,133,136,94,124,139,113,80,0,1019
virginia,hvac,0.0,0.0,0.0,0.0,0.188,8.839,46.4,1.612,0.538,6.624,3.74,20.311,14.682,2.176,0.0,105.11,0,0,0,0,3,18,10,14,3,5,3,11,5,2,0,74
columbia,electrical,0.0,0.0,0.0,0.0,1.381,6.65,30.514,48.723,45.345,-83.347,17.699,501.622,314.403,304.611,0.0,1187.602,0,0,0,0,5,23,35,41,16,38,33,59,53,23,0,326
columbia,piping,0.0,0.0,0.0,0.0,10.424,30.638,40.32,120.422,9.774,69.92,86.966,171.543,181.827,57.774,0.0,779.606,0,0,0,0,41,136,166,254,41,80,275,292,314,126,0,1725
columbia,structural,0.0,0.0,0.0,0.0,10.996,9.514,11.354,117.293,1.656,38.509,43.073,224.919,105.623,42.718,0.0,605.653,0,0,0,0,8,43,34,46,6,36,75,197,149,47,0,641
columbia,unbucketed,0.0,0.0,0.0,0.0,18.788,31.378,47.499,53.32,8.17,57.614,9.889,14.026,17.124,11.93,0.0,269.738,0,0,0,0,82,140,208,182,51,169,171,242,191,85,0,1521
columbia,castings,0.0,0.0,0.0,0.0,0.892,1.136,70.824,5.022,21.328,-5.358,27.951,37.43,25.935,34.942,0.0,220.102,0,0,0,0,5,15,126,47,14,21,51,79,76,19,0,453
columbia,machining,0.0,0.0,0.0,0.0,0.079,1.557,0.965,10.741,5.861,25.29,9.603,23.654,26.773,3.642,0.0,108.165,0,0,0,0,2,8,19,19,13,15,45,92,117,27,0,357
columbia,hvac,0.0,0.0,0.0,0.0,3.928,0.565,1.697,15.441,0.226,2.658,13.868,20.202,12.636,16.303,0.0,87.524,0,0,0,0,6,3,9,9,1,25,14,22,10,1,0,100
columbia,coatings,0.0,0.0,0.0,0.0,4.627,1.345,21.71,1.084,1.926,6.99,5.354,15.215,18.897,6.688,0.0,83.837,0,0,0,0,14,6,14,9,4,10,24,39,29,9,0,158
ddg,machining,0.0,70.194,41.304,3.253,28.397,43.221,12.433,157.338,85.796,21.467,45.52,112.77,135.528,290.764,0.569,1048.554,0,11,18,16,23,34,37,47,15,27,22,36,31,38,5,360
ddg,hvac,0.0,19.897,23.438,21.037,11.891,24.937,7.324,102.481,10.586,27.634,14.767,64.691,53.112,111.485,0.549,493.83,0,17,21,17,17,29,12,57,27,23,19,43,73,34,4,393
ddg,piping,0.0,22.801,27.868,15.652,14.31,11.407,3.651,64.601,21.649,19.326,22.212,39.771,87.043,81.85,3.552,435.691,0,70,91,65,86,63,27,181,77,86,107,200,182,194,26,1455
ddg,electrical,0.0,8.034,12.831,7.054,9.624,13.395,3.109,42.673,23.278,33.478,18.228,22.629,118.821,63.83,13.711,390.695,0,37,32,22,41,22,18,89,62,82,53,85,121,93,29,786
ddg,structural,0.0,5.905,9.522,16.634,10.29,6.595,6.014,22.723,8.716,17.236,23.148,25.758,57.822,72.359,30.861,313.583,0,17,28,60,52,42,44,82,51,57,41,115,163,117,34,903
ddg,unbucketed,3.698,32.451,46.138,25.433,20.277,23.188,26.885,24.698,15.717,16.222,9.752,15.84,10.208,14.837,6.864,292.209,1,104,125,137,171,164,121,128,89,109,105,149,79,124,49,1655
ddg,castings,0.0,0.795,2.324,0.8,0.075,0.0,0.027,31.022,5.833,11.968,3.025,0.13,29.607,16.418,0.308,102.334,0,3,9,3,2,0,1,16,6,5,8,1,8,16,2,80
ddg,coatings,0.0,0.324,0.572,0.711,2.11,0.354,0.68,0.043,0.043,1.836,2.906,5.774,0.492,1.512,1.158,18.513,0,3,5,6,13,6,6,1,1,12,11,25,3,10,7,109
