program,family,piid,work_type,vendor_uei,vendor_name,award_date,fy,dollar_m,report_id,naics4,capability
virginia,Submarines,N0002412C2115,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",2016-02-01,2016,0.089,20693242,3315,Other Nonferrous Metal Foundries (except Die-Casting)
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2016-02-05,2016,0.048,20693674,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2016-02-08,2016,0.176,20693683,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2016-07-05,2016,0.188,20693685,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2016-07-28,2016,0.052,20693677,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",2016-12-19,2017,0.058,20693241,3315,Other Nonferrous Metal Foundries (except Die-Casting)
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2017-01-10,2017,0.116,20693681,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2017-01-11,2017,0.036,20693672,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2017-01-11,2017,0.031,20693671,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",2017-01-11,2017,0.042,20693239,3315,Other Nonferrous Metal Foundries (except Die-Casting)
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2017-01-24,2017,0.037,20693673,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2017-01-27,2017,0.099,20693680,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2017-02-06,2017,0.287,20693686,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",2017-08-14,2017,0.142,20693243,3315,Other Nonferrous Metal Foundries (except Die-Casting)
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2018-02-16,2018,0.065,20693679,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2018-02-16,2018,0.026,20693668,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,2018-03-16,2018,0.054,20693130,3321,Nonferrous Forging
virginia,Submarines,N0002412C2115,castings,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,2018-03-16,2018,0.049,20693129,3321,Nonferrous Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2018-04-03,2018,0.136,20693682,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,N1PJDANWUJ61,SCOT FORGE COMPANY,2018-04-23,2018,0.028,20693669,3321,Iron and Steel Forging
virginia,Submarines,N0002412C2115,castings,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",2018-05-07,2018,0.055,20693240,3315,Other Nonferrous Metal Foundries (except Die-Casting)
virginia,Submarines,N0002412C2115,coatings,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",2016-02-03,2016,0.029,20693392,3262,Rubber Product Manufacturing for Mechanical Use
virginia,Submarines,N0002412C2115,coatings,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",2016-10-12,2017,0.059,20693397,3262,Rubber Product Manufacturing for Mechanical Use
virginia,Submarines,N0002412C2115,coatings,VLY1XBVNLJK8,RAG-STIFTUNG,2017-02-17,2017,0.053,20692721,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing
virginia,Submarines,N0002412C2115,coatings,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",2017-06-05,2017,0.03,20693394,3262,Rubber Product Manufacturing for Mechanical Use
virginia,Submarines,N0002412C2115,coatings,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",2017-07-31,2017,0.052,20693396,3262,Rubber Product Manufacturing for Mechanical Use
virginia,Submarines,N0002412C2115,coatings,VLY1XBVNLJK8,RAG-STIFTUNG,2017-08-02,2017,0.117,20692726,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing
virginia,Submarines,N0002412C2115,coatings,VLY1XBVNLJK8,RAG-STIFTUNG,2017-10-20,2018,0.036,20692719,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing
virginia,Submarines,N0002412C2115,coatings,VLY1XBVNLJK8,RAG-STIFTUNG,2017-11-08,2018,0.17,20692728,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing
virginia,Submarines,N0002412C2115,coatings,VLY1XBVNLJK8,RAG-STIFTUNG,2017-11-30,2018,1.204,20692731,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing
