program,piid,vessel_class,builder,block_label,prime_base_award_date,prime_last_action_date,n_prime_actions,base_action_type,covered,base_is_window_floored
virginia,N0002409C2104,Virginia,GDEB,Va Block II residual,2018-01-02,2025-11-17,785,DEFINITIVE CONTRACT,yes,yes
virginia,N0002410C2118,Virginia,GDEB,VPM Tube Fabrication,2018-01-03,2026-02-19,149,DEFINITIVE CONTRACT,yes,yes
virginia,N0002410C6266,Virginia,LM,Va Combat Systems HW/SW,,,0,,no,no
virginia,N0002412C2115,Virginia,GDEB,Va Block IV MYP,2018-01-03,2026-02-18,1191,DEFINITIVE CONTRACT,yes,yes
virginia,N0002416C2111,Virginia,GDEB,VPM Vent Valve (Block V),2018-01-12,2019-02-28,28,DEFINITIVE CONTRACT,yes,yes
virginia,N0002417C2100,Virginia,GDEB,Va Block V/VI master,2023-12-13,2025-12-23,5,DEFINITIVE CONTRACT,yes,no
virginia,N0002421C4106,Virginia,BAE,SSN 812 Forward Subassembly,2020-12-18,2026-02-18,61,DEFINITIVE CONTRACT,yes,no
virginia,N0002421C4111,Virginia,RR,Va Class Submarine Rotor,2021-09-30,2025-09-17,39,DEFINITIVE CONTRACT,yes,no
virginia,N0002424C2110,Virginia,GDEB,Va Block VI LLTM,,,0,,no,no
virginia,N0002424C2114,Virginia,BPMI,S9G reactor,2023-12-22,2025-12-17,6,DEFINITIVE CONTRACT,yes,no
columbia,N0002411C2109,Columbia,GDEB,SSBN-R concept formulation,2018-01-18,2026-01-06,70,DEFINITIVE CONTRACT,yes,yes
columbia,N0002413C2128,Columbia,GDEB,Col Design Drawings,2018-01-10,2025-12-19,133,DEFINITIVE CONTRACT,yes,yes
columbia,N0002417C2117,Columbia,GDEB,Col Build I/II master,2018-01-10,2020-10-28,20,DEFINITIVE CONTRACT,yes,yes
columbia,N0002419C2114,Columbia,BPMI,Naval Reactor Components,2018-11-30,2025-05-19,11,DEFINITIVE CONTRACT,yes,no
columbia,N0002419C2115,Columbia,BPMI,Col Class IBI,2018-11-30,2025-05-19,13,DEFINITIVE CONTRACT,yes,no
ddg,N0002402C2303,DDG-51,GD-BIW,GD-BIW: CONTRACT CLOSEOUT,2022-09-19,2022-09-19,1,DEFINITIVE CONTRACT,yes,no
ddg,N0002402C2304,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCTION OF FY02 ARLEIGH BURKE GUIDED MISSILE DESTROYER,2019-02-22,2019-09-25,5,DEFINITIVE CONTRACT,yes,no
ddg,N0002403C2306,DDG-51,GD-BIW,GD-BIW: CONTRACT CLOSEOUT,2017-11-16,2017-11-16,1,DEFINITIVE CONTRACT,yes,no
ddg,N0002406C2303,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION,2017-11-01,2024-06-17,28,DEFINITIVE CONTRACT,yes,yes
ddg,N0002409C2302,DDG-51,GD-BIW,GD-BIW: DIACAP SETTLEMENT,2017-10-24,2022-01-20,3,DEFINITIVE CONTRACT,yes,yes
ddg,N0002411C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCT FY11 DDG 51 CLASS GUIDED FMR 11622L,2017-10-03,2024-06-04,167,DEFINITIVE CONTRACT,yes,yes
ddg,N0002411C2306,DDG-51,GD-BIW,GD-BIW: FUNDING REALLOCATION DUE TO CANCELLATION,2017-10-05,2025-09-30,200,DEFINITIVE CONTRACT,yes,yes
ddg,N0002411C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY11 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 114 DEOBLIGATION OF DDG 114,2017-10-02,2024-09-16,87,DEFINITIVE CONTRACT,yes,yes
ddg,N0002411C2309,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY10 DDG 51 CLASS,2017-10-10,2024-04-30,60,DEFINITIVE CONTRACT,yes,yes
ddg,N0002412C2312,DDG-51,HII-Ingalls,HII-Ingalls: FLIGHT III DESIGN,2019-10-03,2020-11-18,2,DEFINITIVE CONTRACT,yes,no
