program,vendor_uei,vendor_name,work_type,cut_profile,first_award,last_award,n_records,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
virginia,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,electrical,both,2016-12-05,2024-06-06,71,0.0,0.0,0.0,0.0,0.0,684.878,4.821,4.615,0.0,242.828,51.525,414.026,71.544,0.0,0.0,1474.238
virginia,E8LNMDLEKM35,D.C. FABRICATORS INC.,structural,both,2016-12-05,2025-04-24,51,0.0,0.0,0.0,0.0,0.0,117.918,0.0,0.0,0.0,2.601,8.981,75.327,6.254,18.792,0.0,229.873
virginia,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,piping,both,2016-08-04,2023-10-12,165,0.0,0.0,0.0,0.0,0.05,98.386,74.788,12.218,7.397,17.89,1.428,0.0,1.205,0.0,0.0,213.361
virginia,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,coatings,both,2016-08-09,2025-02-11,101,0.0,0.0,0.0,0.0,0.043,12.328,3.347,70.407,12.206,5.655,3.831,32.849,32.389,9.526,0.0,182.58
virginia,N1PJDANWUJ61,SCOT FORGE COMPANY,castings,both,2016-02-05,2025-08-21,448,0.0,0.0,0.0,0.0,0.465,15.302,78.698,18.998,2.767,1.005,4.896,21.498,9.556,23.26,0.0,176.444
virginia,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",structural,both,2017-01-03,2025-07-07,47,0.0,0.0,0.0,0.0,0.0,10.741,13.864,32.442,0.0,7.452,0.357,1.37,20.483,30.585,0.0,117.295
virginia,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",coatings,both,2017-06-16,2023-11-07,44,0.0,0.0,0.0,0.0,0.0,0.144,29.485,1.873,0.0,2.989,0.107,29.472,24.698,0.0,0.0,88.768
virginia,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",piping,both,2016-02-12,2022-02-18,89,0.0,0.0,0.0,0.0,0.183,19.721,12.928,13.121,36.812,3.274,1.136,0.0,0.0,0.0,0.0,87.175
virginia,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,piping,both,2022-04-25,2025-07-21,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,5.823,50.667,8.107,0.0,65.367
virginia,UCWYBGRA11H1,"AUSTAL USA, LLC",structural,both,2022-12-22,2024-08-09,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.371,14.852,0.0,0.0,63.223
