program,family,piid,work_type,window_days,n_waves,median_gap
virginia,Submarines,N0002412C2115,castings,45,5,196
virginia,Submarines,N0002412C2115,castings,60,5,196
virginia,Submarines,N0002412C2115,castings,90,5,196
virginia,Submarines,N0002412C2115,castings,120,5,196
virginia,Submarines,N0002412C2115,castings,180,3,215
virginia,Submarines,N0002412C2115,coatings,45,7,141
virginia,Submarines,N0002412C2115,coatings,60,6,164
virginia,Submarines,N0002412C2115,coatings,90,5,268
virginia,Submarines,N0002412C2115,coatings,120,4,301
virginia,Submarines,N0002412C2115,coatings,180,2,683
virginia,Submarines,N0002412C2115,electrical,45,7,165
virginia,Submarines,N0002412C2115,electrical,60,6,220
virginia,Submarines,N0002412C2115,electrical,90,3,346
virginia,Submarines,N0002412C2115,electrical,120,2,691
virginia,Submarines,N0002412C2115,electrical,180,1,0
virginia,Submarines,N0002412C2115,hvac,45,8,129
virginia,Submarines,N0002412C2115,hvac,60,7,147
virginia,Submarines,N0002412C2115,hvac,90,6,165
virginia,Submarines,N0002412C2115,hvac,120,5,217
virginia,Submarines,N0002412C2115,hvac,180,2,535
virginia,Submarines,N0002412C2115,machining,45,2,542
virginia,Submarines,N0002412C2115,machining,60,1,0
virginia,Submarines,N0002412C2115,machining,90,1,0
virginia,Submarines,N0002412C2115,machining,120,1,0
virginia,Submarines,N0002412C2115,machining,180,1,0
virginia,Submarines,N0002412C2115,piping,45,3,352
virginia,Submarines,N0002412C2115,piping,60,2,547
virginia,Submarines,N0002412C2115,piping,90,1,0
virginia,Submarines,N0002412C2115,piping,120,1,0
virginia,Submarines,N0002412C2115,piping,180,1,0
virginia,Submarines,N0002412C2115,structural,45,6,160
virginia,Submarines,N0002412C2115,structural,60,2,460
virginia,Submarines,N0002412C2115,structural,90,1,0
virginia,Submarines,N0002412C2115,structural,120,1,0
virginia,Submarines,N0002412C2115,structural,180,1,0
virginia,Submarines,N0002412C2115,unbucketed,45,4,640
virginia,Submarines,N0002412C2115,unbucketed,60,4,640
virginia,Submarines,N0002412C2115,unbucketed,90,3,825
virginia,Submarines,N0002412C2115,unbucketed,120,3,825
virginia,Submarines,N0002412C2115,unbucketed,180,3,825
virginia,Submarines,N0002416C2111,castings,45,3,594
virginia,Submarines,N0002416C2111,castings,60,3,594
virginia,Submarines,N0002416C2111,castings,90,2,1146
virginia,Submarines,N0002416C2111,castings,120,2,1146
virginia,Submarines,N0002416C2111,castings,180,2,1146
virginia,Submarines,N0002416C2111,coatings,45,14,113
virginia,Submarines,N0002416C2111,coatings,60,11,152
virginia,Submarines,N0002416C2111,coatings,90,7,286
virginia,Submarines,N0002416C2111,coatings,120,3,547
virginia,Submarines,N0002416C2111,coatings,180,3,547
virginia,Submarines,N0002416C2111,electrical,45,20,118
virginia,Submarines,N0002416C2111,electrical,60,11,272
virginia,Submarines,N0002416C2111,electrical,90,8,315
virginia,Submarines,N0002416C2111,electrical,120,3,1298
virginia,Submarines,N0002416C2111,electrical,180,3,1298
