program,family,piid,work_type,wave_seq,vendor_uei,vendor_name,naics4,capability,wave_vendor_dollars_m,wave_vendor_dollars_positive_m,wave_vendor_share,records,first_date_in_wave,last_date_in_wave,entrant_flag
virginia,Submarines,N0002412C2115,castings,1,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.224,0.224,0.7153,2,2016-02-05,2016-02-08,yes
virginia,Submarines,N0002412C2115,castings,1,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.089,0.089,0.2847,1,2016-02-01,2016-02-01,yes
virginia,Submarines,N0002412C2115,castings,2,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.241,0.241,1.0,2,2016-07-05,2016-07-28,no
virginia,Submarines,N0002412C2115,castings,3,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.606,0.606,0.8589,6,2017-01-10,2017-02-06,no
virginia,Submarines,N0002412C2115,castings,3,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.1,0.1,0.1411,2,2016-12-19,2017-01-11,no
virginia,Submarines,N0002412C2115,castings,4,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.142,0.142,1.0,1,2017-08-14,2017-08-14,no
virginia,Submarines,N0002412C2115,castings,5,N1PJDANWUJ61,SCOT FORGE COMPANY,3321,Iron and Steel Forging,0.255,0.255,0.6179,4,2018-02-16,2018-04-23,no
virginia,Submarines,N0002412C2115,castings,5,GR2CKSBB4MB5,LENAPE FORGED PRODUCTS CORP,3321,Nonferrous Forging,0.103,0.103,0.2487,2,2018-03-16,2018-03-16,yes
virginia,Submarines,N0002412C2115,castings,5,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",3315,Other Nonferrous Metal Foundries (except Die-Casting),0.055,0.055,0.1334,1,2018-05-07,2018-05-07,no
virginia,Submarines,N0002412C2115,coatings,1,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",3262,Rubber Product Manufacturing for Mechanical Use,0.029,0.029,1.0,1,2016-02-03,2016-02-03,yes
virginia,Submarines,N0002412C2115,coatings,2,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",3262,Rubber Product Manufacturing for Mechanical Use,0.059,0.059,1.0,1,2016-10-12,2016-10-12,no
virginia,Submarines,N0002412C2115,coatings,3,VLY1XBVNLJK8,RAG-STIFTUNG,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.053,0.053,1.0,1,2017-02-17,2017-02-17,yes
virginia,Submarines,N0002412C2115,coatings,4,VLY1XBVNLJK8,RAG-STIFTUNG,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3.134,3.134,0.9644,11,2017-08-02,2018-04-30,no
virginia,Submarines,N0002412C2115,coatings,4,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",3262,Rubber Product Manufacturing for Mechanical Use,0.116,0.116,0.0356,3,2017-06-05,2018-03-06,no
virginia,Submarines,N0002412C2115,coatings,5,VLY1XBVNLJK8,RAG-STIFTUNG,3259,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.674,0.674,1.0,2,2018-09-20,2018-10-04,no
virginia,Submarines,N0002412C2115,electrical,1,NTREK31GP8N3,KSARIA CORPORATION,3344,Electronic Connector Manufacturing,0.626,0.626,0.6342,2,2016-04-21,2016-04-21,yes
virginia,Submarines,N0002412C2115,electrical,1,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,3359,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.361,0.361,0.3658,2,2016-02-03,2016-05-09,yes
virginia,Submarines,N0002412C2115,electrical,2,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,3344,Other Electronic Component Manufacturing,0.142,0.142,1.0,1,2016-08-30,2016-08-30,yes
virginia,Submarines,N0002412C2115,electrical,3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,3364,Other Aircraft Parts and Auxiliary Equipment Manufacturing,6.198,6.198,0.4776,23,2018-04-24,2018-11-19,yes
virginia,Submarines,N0002412C2115,electrical,3,MPCXJJQJAL83,TE CONNECTIVITY LTD.,3344,Electronic Connector Manufacturing,1.186,1.186,0.0914,2,2018-03-09,2018-09-21,yes
virginia,Submarines,N0002412C2115,electrical,3,KDNEW5AC1X41,AGI UK ACQUISITION LIMITED,3344,Other Electronic Component Manufacturing,1.031,1.043,0.0795,4,2017-07-27,2018-01-19,yes
virginia,Submarines,N0002412C2115,electrical,3,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,3344,Other Electronic Component Manufacturing,0.962,0.962,0.0741,2,2017-05-12,2017-11-20,no
virginia,Submarines,N0002412C2115,electrical,3,W8PTMRME1496,LEONARDO SPA,3364,Aircraft Manufacturing,0.859,0.859,0.0662,13,2017-02-07,2018-06-15,yes
virginia,Submarines,N0002412C2115,electrical,3,CMANNFGEFNP6,WARD LEONARD CT LLC,3353,Motor and Generator Manufacturing,0.857,0.857,0.066,10,2017-03-03,2018-06-01,yes
virginia,Submarines,N0002412C2115,electrical,3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,3329,Industrial Valve Manufacturing,0.654,0.654,0.0504,6,2017-01-30,2018-05-09,yes
virginia,Submarines,N0002412C2115,electrical,3,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,3359,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.582,0.582,0.0449,4,2017-02-27,2017-07-28,no
virginia,Submarines,N0002412C2115,electrical,3,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",3353,Switchgear and Switchboard Apparatus Manufacturing,0.191,0.194,0.0147,5,2017-02-21,2018-05-16,yes
virginia,Submarines,N0002412C2115,electrical,3,Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,3359,All Other Miscellaneous Electrical Equipment and Component Manufacturing,0.162,0.162,0.0125,2,2017-05-26,2017-09-14,yes
virginia,Submarines,N0002412C2115,electrical,3,UCNMVD1EMHN4,NORTECH SYSTEMS INCORPORATED,3359,Current-Carrying Wiring Device Manufacturing,0.114,0.114,0.0088,1,2018-01-31,2018-01-31,yes
virginia,Submarines,N0002412C2115,electrical,3,NTREK31GP8N3,KSARIA CORPORATION,3344,Electronic Connector Manufacturing,0.112,0.112,0.0086,2,2017-03-27,2017-04-25,no
virginia,Submarines,N0002412C2115,electrical,3,N9K8Y7U3RGA9,CATERPILLAR INC.,3331,Construction Machinery Manufacturing,0.065,0.065,0.005,3,2017-01-06,2018-03-05,yes
virginia,Submarines,N0002412C2115,electrical,3,WREEAHYMRQ45,AMPHENOL CORPORATION,3344,Other Electronic Component Manufacturing,0.003,0.003,0.0002,1,2017-11-20,2017-11-20,yes
