program,role,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total,n_records
ddg,supplier,3.698,160.4,163.998,90.575,96.975,123.097,60.123,445.579,171.616,149.167,139.559,287.362,492.633,653.055,57.571,3095.408,5741
ddg,mission_systems,0.0,24.73,16.441,0.748,10.955,4.405,2.879,92.215,0.456,3.975,0.444,1.218,54.84,7.633,0.185,221.124,186
ddg,foreign_fms,0.0,35.064,35.76,30.542,29.588,30.257,0.188,11.593,0.647,2.221,1.055,0.193,0.0,5.131,0.0,182.239,123
ddg,service,0.0,0.0,3.388,6.983,5.98,4.908,3.323,3.883,3.66,1.441,9.543,10.076,5.281,17.473,7.836,83.774,295
ddg,holding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.505,0.0,0.0,0.0,0.0,11.505,1
ddg,prime,0.0,1.861,1.872,0.0,0.0,2.235,0.0,0.0,0.0,0.0,0.0,0.877,0.0,0.0,0.0,6.845,14
ddg,gfe_sib,0.0,0.0,0.094,0.041,0.083,0.0,0.047,0.652,0.301,0.0,0.0,1.154,0.046,0.883,0.0,3.303,20
submarines,supplier,0.0,0.028,0.0,0.104,88.851,1176.983,691.629,773.31,282.814,494.462,422.087,1905.614,1126.355,723.293,0.3,7685.831,13006
submarines,mission_systems,0.0,0.0,0.0,0.0,5.992,16.212,218.924,206.806,10.631,46.75,24.765,29.13,50.363,15.032,0.0,624.605,401
submarines,foreign_fms,0.0,0.0,0.0,0.0,65.921,17.432,70.538,168.792,6.566,15.412,43.052,15.615,85.225,17.16,0.0,505.713,168
submarines,gfe_sib,0.0,0.0,0.0,0.0,42.254,1.807,3.262,299.613,48.712,-24.711,0.368,24.022,0.641,0.0,0.0,395.968,79
submarines,service,0.0,0.0,0.0,0.0,1.214,20.224,29.09,16.212,3.078,27.403,36.23,72.145,36.547,2.126,0.0,244.269,657
submarines,prime,0.0,0.0,0.0,0.0,1.995,74.517,0.0,0.0,0.0,15.574,6.0,0.0,0.0,0.032,0.0,98.118,8
submarines,holding,0.0,0.0,0.0,0.0,0.0,0.0,0.017,3.87,1.455,0.0,1.606,0.795,0.905,0.0,0.0,8.647,37
submarines,co_prime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.185,-0.025,0.0,0.348,25
