program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,dollars_total,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
ddg,N0002418C2307,DDG-51,HII-Ingalls,piping,2018-10-31,2026-03-03,58,0.9889,0.8448,180.149,0,0,0,0,0,0,0,147,59,71,75,160,88,105,16,721
ddg,N0002418C2307,DDG-51,HII-Ingalls,unbucketed,2018-10-25,2026-03-06,130,0.9231,0.5846,74.932,0,0,0,0,0,0,0,62,47,65,39,91,61,103,39,507
ddg,N0002418C2307,DDG-51,HII-Ingalls,structural,2018-11-21,2026-03-06,33,0.9845,0.697,157.342,0,0,0,0,0,0,0,51,38,41,22,70,69,68,28,387
ddg,N0002418C2307,DDG-51,HII-Ingalls,electrical,2018-10-31,2026-03-06,22,0.9887,0.8636,140.565,0,0,0,0,0,0,0,56,28,58,36,56,44,56,21,355
ddg,N0002418C2307,DDG-51,HII-Ingalls,hvac,2018-11-21,2026-03-06,12,0.9942,0.8333,175.111,0,0,0,0,0,0,0,47,21,15,15,32,29,9,4,172
ddg,N0002418C2307,DDG-51,HII-Ingalls,machining,2018-10-08,2026-02-02,11,0.982,0.9091,312.253,0,0,0,0,0,0,0,21,6,12,8,27,12,20,5,111
ddg,N0002418C2307,DDG-51,HII-Ingalls,coatings,2019-09-05,2025-12-08,5,1.0,1.0,10.35,0,0,0,0,0,0,0,1,1,4,7,20,3,10,7,53
ddg,N0002418C2307,DDG-51,HII-Ingalls,castings,2018-10-30,2025-11-26,9,0.9231,0.6667,54.484,0,0,0,0,0,0,0,15,6,5,8,1,4,12,1,52
ddg,N0002413C2307,DDG-51,HII-Ingalls,unbucketed,2013-06-26,2026-05-22,159,0.9345,0.6667,140.274,0,60,80,108,126,109,87,50,41,39,26,13,5,3,1,748
ddg,N0002413C2307,DDG-51,HII-Ingalls,piping,2013-06-06,2025-08-15,38,0.9868,0.9474,98.556,0,57,89,59,78,60,26,31,17,13,11,9,1,2,0,453
ddg,N0002413C2307,DDG-51,HII-Ingalls,structural,2013-06-21,2025-11-11,27,0.9934,0.7407,65.435,0,9,20,52,45,34,24,20,12,9,7,21,28,22,2,305
ddg,N0002413C2307,DDG-51,HII-Ingalls,electrical,2013-07-02,2025-12-18,15,0.9922,0.8,69.666,0,24,22,22,38,20,13,30,33,22,11,12,5,0,3,255
ddg,N0002413C2307,DDG-51,HII-Ingalls,machining,2013-06-05,2024-02-20,10,0.9786,1.0,185.555,0,8,11,11,16,25,22,18,9,15,2,2,1,0,0,140
ddg,N0002413C2307,DDG-51,HII-Ingalls,hvac,2013-06-03,2023-12-12,10,1.0,0.9,108.168,0,12,18,15,10,23,12,9,6,8,1,3,4,0,0,121
ddg,N0002413C2307,DDG-51,HII-Ingalls,coatings,2014-04-14,2023-03-31,5,0.9667,1.0,4.008,0,0,2,4,4,3,4,0,0,8,3,2,0,0,0,30
ddg,N0002413C2307,DDG-51,HII-Ingalls,castings,2013-07-24,2019-01-16,4,1.0,1.0,4.061,0,3,9,3,2,0,1,1,0,0,0,0,0,0,0,19
ddg,N0002423C2307,DDG-51,HII-Ingalls,piping,2023-09-30,2026-03-02,32,0.9643,0.9688,138.752,0,0,0,0,0,0,0,0,0,0,0,7,92,87,10,196
ddg,N0002423C2307,DDG-51,HII-Ingalls,electrical,2023-11-30,2026-01-30,10,1.0,0.9,159.371,0,0,0,0,0,0,0,0,0,0,0,0,49,33,5,87
ddg,N0002423C2307,DDG-51,HII-Ingalls,structural,2023-12-05,2026-01-13,11,0.9535,0.9091,57.454,0,0,0,0,0,0,0,0,0,0,0,0,56,26,4,86
ddg,N0002423C2307,DDG-51,HII-Ingalls,hvac,2023-09-14,2025-09-22,6,1.0,0.8333,177.964,0,0,0,0,0,0,0,0,0,0,0,2,20,21,0,43
ddg,N0002423C2307,DDG-51,HII-Ingalls,unbucketed,2024-07-09,2025-11-25,11,0.8519,1.0,9.818,0,0,0,0,0,0,0,0,0,0,0,0,4,14,9,27
ddg,N0002423C2307,DDG-51,HII-Ingalls,machining,2023-09-28,2025-09-24,6,0.95,1.0,491.458,0,0,0,0,0,0,0,0,0,0,0,2,10,8,0,20
ddg,N0002423C2307,DDG-51,HII-Ingalls,castings,2023-11-01,2025-10-16,4,0.8889,0.75,43.789,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,9
ddg,N0002411C2307,DDG-51,HII-Ingalls,unbucketed,2013-04-08,2018-05-28,75,0.5043,0.9733,8.584,0,18,29,12,22,30,4,0,0,0,0,0,0,0,0,115
ddg,N0002411C2307,DDG-51,HII-Ingalls,structural,2013-04-23,2019-04-15,7,0.9744,1.0,7.188,0,4,4,5,2,4,10,10,0,0,0,0,0,0,0,39
ddg,N0002411C2307,DDG-51,HII-Ingalls,piping,2013-04-05,2019-03-05,13,0.6087,1.0,2.519,0,11,1,4,3,1,1,2,0,0,0,0,0,0,0,23
ddg,N0002411C2307,DDG-51,HII-Ingalls,electrical,2013-05-06,2018-04-05,4,0.8889,1.0,1.124,0,7,8,0,0,1,2,0,0,0,0,0,0,0,0,18
ddg,N0002411C2307,DDG-51,HII-Ingalls,machining,2013-06-26,2017-10-18,3,1.0,1.0,2.115,0,2,3,2,4,5,1,0,0,0,0,0,0,0,0,17
ddg,N0002411C2307,DDG-51,HII-Ingalls,hvac,2013-04-15,2017-08-29,4,0.9,1.0,0.74,0,3,2,0,2,3,0,0,0,0,0,0,0,0,0,10
ddg,N0002411C2307,DDG-51,HII-Ingalls,coatings,2013-05-09,2017-12-19,4,0.875,0.75,0.921,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,8
ddg,N0002411C2309,DDG-51,HII-Ingalls,unbucketed,2013-04-05,2019-02-18,64,0.566,0.9219,8.548,0,25,13,15,18,18,13,4,0,0,0,0,0,0,0,106
ddg,N0002411C2309,DDG-51,HII-Ingalls,structural,2013-04-18,2018-08-28,12,0.7586,0.9167,5.334,0,4,4,3,5,4,9,0,0,0,0,0,0,0,0,29
ddg,N0002411C2309,DDG-51,HII-Ingalls,machining,2013-06-26,2018-02-21,5,0.9375,1.0,1.198,0,1,4,3,3,1,4,0,0,0,0,0,0,0,0,16
ddg,N0002411C2309,DDG-51,HII-Ingalls,electrical,2013-04-12,2018-04-05,4,1.0,1.0,0.952,0,6,2,0,3,1,2,0,0,0,0,0,0,0,0,14
ddg,N0002411C2309,DDG-51,HII-Ingalls,coatings,2013-09-18,2016-12-14,3,0.9231,1.0,1.647,0,1,2,0,8,2,0,0,0,0,0,0,0,0,0,13
ddg,N0002411C2309,DDG-51,HII-Ingalls,hvac,2013-08-14,2016-12-21,3,0.9167,1.0,0.792,0,2,1,2,5,2,0,0,0,0,0,0,0,0,0,12
ddg,N0002411C2309,DDG-51,HII-Ingalls,piping,2013-05-13,2017-07-14,6,0.6364,1.0,2.051,0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,11
ddg,N0002419C4452,DDG-51,GD-BIW,unbucketed,2021-11-02,2025-05-07,21,0.5,0.3333,3.458,0,0,0,0,0,0,0,0,0,0,12,14,3,1,0,30
ddg,N0002419C4452,DDG-51,GD-BIW,structural,2021-10-11,2024-07-24,9,0.8276,0.8889,10.43,0,0,0,0,0,0,0,0,0,0,9,14,6,0,0,29
ddg,N0002419C4452,DDG-51,GD-BIW,electrical,2020-08-04,2024-05-14,11,0.625,0.7273,2.804,0,0,0,0,0,0,0,0,1,1,1,4,17,0,0,24
ddg,N0002419C4452,DDG-51,GD-BIW,piping,2022-02-09,2023-10-25,9,0.7647,0.8889,4.573,0,0,0,0,0,0,0,0,0,0,6,10,1,0,0,17
ddg,N0002419C4452,DDG-51,GD-BIW,hvac,2021-10-05,2024-06-05,4,0.9333,0.75,3.074,0,0,0,0,0,0,0,0,0,0,1,4,10,0,0,15
ddg,N0002419C4452,DDG-51,GD-BIW,machining,2022-02-17,2024-10-21,2,0.6667,0.5,0.364,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
ddg,N0002419C2322,DDG-51,GD-BIW,unbucketed,2021-01-11,2023-12-06,24,0.5,0.25,3.564,0,0,0,0,0,0,0,0,0,4,14,16,2,0,0,36
ddg,N0002419C2322,DDG-51,GD-BIW,piping,2021-03-18,2023-08-25,9,0.85,1.0,4.128,0,0,0,0,0,0,0,0,0,1,6,13,0,0,0,20
ddg,N0002419C2322,DDG-51,GD-BIW,structural,2021-01-08,2023-08-02,3,0.9412,1.0,5.183,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,17
ddg,N0002419C2322,DDG-51,GD-BIW,electrical,2021-01-11,2024-03-29,7,0.8125,0.8571,7.706,0,0,0,0,0,0,0,0,0,1,1,8,6,0,0,16
ddg,N0002419C2322,DDG-51,GD-BIW,hvac,2022-12-20,2023-11-28,4,0.0,1.0,0.608,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
ddg,N0002419C2322,DDG-51,GD-BIW,coatings,2022-09-27,2022-11-14,1,1.0,1.0,0.982,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
ddg,N0002419C2322,DDG-51,GD-BIW,machining,2022-03-09,2023-06-05,2,0.0,1.0,0.33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
ddg,N0002413C2305,DDG-51,GD-BIW,unbucketed,2021-01-07,2025-05-27,22,0.5152,0.4545,2.513,0,0,0,0,0,0,0,0,0,1,13,13,4,2,0,33
ddg,N0002413C2305,DDG-51,GD-BIW,machining,2019-01-05,2025-04-07,5,0.9286,1.0,3.198,0,0,0,0,0,0,0,1,0,0,10,2,8,7,0,28
ddg,N0002413C2305,DDG-51,GD-BIW,hvac,2022-01-24,2025-02-19,5,0.8333,0.8,0.765,0,0,0,0,0,0,0,0,0,0,2,0,7,3,0,12
ddg,N0002413C2305,DDG-51,GD-BIW,electrical,2021-12-10,2025-05-09,4,0.5714,1.0,0.354,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,7
ddg,N0002413C2305,DDG-51,GD-BIW,piping,2021-01-28,2022-06-29,4,0.7143,0.75,0.287,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7
ddg,N0002413C2305,DDG-51,GD-BIW,structural,2022-12-22,2024-05-22,2,1.0,0.5,0.572,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6
ddg,N0002414C4313,DDG-51,GD-BIW,unbucketed,2016-03-07,2019-12-18,27,0.45,0.2593,29.904,0,0,0,0,3,7,17,12,1,0,0,0,0,0,0,40
ddg,N0002414C4313,DDG-51,GD-BIW,machining,2017-05-12,2019-07-09,2,1.0,1.0,40.476,0,0,0,0,0,3,10,7,0,0,0,0,0,0,0,20
ddg,N0002414C4313,DDG-51,GD-BIW,electrical,2017-10-25,2019-07-23,2,1.0,1.0,0.401,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4
ddg,N0002414C4313,DDG-51,GD-BIW,piping,2016-08-25,2019-11-20,2,0.6667,1.0,0.963,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
ddg,N0002414C4313,DDG-51,GD-BIW,structural,2018-04-27,2019-12-16,2,0.6667,1.0,1.194,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
ddg,N0002414C4313,DDG-51,GD-BIW,hvac,2017-04-28,2018-10-08,2,0.0,1.0,1.929,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
ddg,N0002414C4313,DDG-51,GD-BIW,coatings,2018-08-14,2018-08-14,1,0.0,0.0,0.241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ddg,N0002418C2305,DDG-51,GD-BIW,electrical,2021-10-28,2025-04-30,5,0.3333,1.0,7.751,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6
ddg,N0002418C2305,DDG-51,GD-BIW,unbucketed,2001-10-22,2025-04-01,5,0.0,0.6,4.18,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,5
ddg,N0002418C2305,DDG-51,GD-BIW,piping,2021-12-06,2022-11-28,3,0.5,1.0,3.715,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
ddg,N0002418C2305,DDG-51,GD-BIW,machining,2023-01-13,2025-01-09,2,0.6667,0.5,11.608,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
ddg,N0002418C2305,DDG-51,GD-BIW,hvac,2023-12-20,2024-11-27,2,0.0,1.0,24.679,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
ddg,N0002418C2305,DDG-51,GD-BIW,structural,2022-11-19,2024-12-20,2,0.0,0.5,3.451,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
