program,piid,work_type,vendor_uei,vendor_name,n_records,dollars
ddg,N0002418C2307,piping,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",66,8.196
ddg,N0002418C2307,piping,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",66,8.964
ddg,N0002418C2307,piping,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",54,6.332
ddg,N0002418C2307,piping,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",41,4.67
ddg,N0002418C2307,piping,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",39,14.508
ddg,N0002418C2307,piping,JJMSRWKWWQ87,NIBCO INC.,36,8.215
ddg,N0002418C2307,piping,MMDRDDVELDX8,DANTE VALVE COMPANY INC,32,2.548
ddg,N0002418C2307,piping,L2EDH4DX27J5,"WILLIAM E WILLIAMS, VALVE CORP",31,3.822
ddg,N0002418C2307,piping,LNGAZMTYJPL3,THE ENTWISTLE TRUST,30,13.256
ddg,N0002418C2307,piping,GU5YDKH7GPF1,"LESLIE CONTROLS, INC.",24,6.656
ddg,N0002418C2307,piping,LGVPVLMRHH51,"W. & O. SUPPLY, INC.",17,3.05
ddg,N0002418C2307,piping,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",15,10.6
ddg,N0002418C2307,piping,JBMKQ8ZH6FN9,DOVER CORPORATION,13,2.789
ddg,N0002418C2307,piping,SFBKKM3ZYN48,FILTRATION GROUP CORPORATION,13,3.849
ddg,N0002418C2307,piping,J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",12,13.82
ddg,N0002418C2307,piping,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,12,5.598
ddg,N0002418C2307,piping,XE6GMDJNHQT7,AMPCO-PITTSBURGH CORPORATION,12,8.053
ddg,N0002418C2307,piping,YY4YKPLKUJ55,VELAN VALVE CORP.,12,1.85
ddg,N0002418C2307,piping,DQLZFV6PFCB9,"TATE ANDALE, LLC",11,0.754
ddg,N0002418C2307,piping,EYXEF9DML9L7,LIDGERWOOD MANUFACTURING COMPANY (INC),11,1.7
ddg,N0002418C2307,piping,MX63C2VRKCJ6,HOUDSTERMAATSCHAPPIJ WILG B.V.,11,3.502
ddg,N0002418C2307,piping,GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",9,0.603
ddg,N0002418C2307,piping,N9UNRN3F79J1,"LESLIE CONTROLS, INC.",9,2.063
ddg,N0002418C2307,piping,UNBUG7BAWZL3,DANTE VALVE COMPANY,9,1.586
ddg,N0002418C2307,piping,V1MQFNQB56Z5,RIX INDUSTRIES,9,5.723
ddg,N0002418C2307,piping,FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,8,1.015
ddg,N0002418C2307,piping,JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,7,3.346
