program,family,piid,work_type,wave_seq,wave_start,wave_end,wave_anchor,wave_duration_days,prior_wave_interval_days,n_records,wave_dollars_m,wave_dollars_positive_m,n_vendors,top_vendor_uei,top_vendor_name,top1_share,others_share,modal_capability,neg_correction_m,prime_base_offset_days
virginia,Submarines,N0002412C2115,castings,1,2016-02-01,2016-02-08,2016-02-05,7,,3,0.313,0.313,2,N1PJDANWUJ61,SCOT FORGE COMPANY,0.7153,0.2847,Iron and Steel Forging,0.0,
virginia,Submarines,N0002412C2115,castings,2,2016-07-05,2016-07-28,2016-07-17,23,163,2,0.241,0.241,1,N1PJDANWUJ61,SCOT FORGE COMPANY,1.0,0.0,Iron and Steel Forging,0.0,
virginia,Submarines,N0002412C2115,castings,3,2016-12-19,2017-02-06,2017-01-11,49,178,8,0.706,0.706,2,N1PJDANWUJ61,SCOT FORGE COMPANY,0.8589,0.1411,Iron and Steel Forging,0.0,
virginia,Submarines,N0002412C2115,castings,4,2017-08-14,2017-08-14,2017-08-14,0,215,1,0.142,0.142,1,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",1.0,0.0,Other Nonferrous Metal Foundries (except Die-Casting),0.0,
virginia,Submarines,N0002412C2115,castings,5,2018-02-16,2018-05-07,2018-03-16,80,214,7,0.412,0.412,3,N1PJDANWUJ61,SCOT FORGE COMPANY,0.6179,0.3821,Iron and Steel Forging,0.0,
virginia,Submarines,N0002412C2115,coatings,1,2016-02-03,2016-02-03,2016-02-03,0,,1,0.029,0.029,1,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
virginia,Submarines,N0002412C2115,coatings,2,2016-10-12,2016-10-12,2016-10-12,0,252,1,0.059,0.059,1,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,
virginia,Submarines,N0002412C2115,coatings,3,2017-02-17,2017-02-17,2017-02-17,0,128,1,0.053,0.053,1,VLY1XBVNLJK8,RAG-STIFTUNG,1.0,0.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.0,
virginia,Submarines,N0002412C2115,coatings,4,2017-06-05,2018-04-30,2017-12-17,329,303,14,3.25,3.25,2,VLY1XBVNLJK8,RAG-STIFTUNG,0.9644,0.0356,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.0,
virginia,Submarines,N0002412C2115,coatings,5,2018-09-20,2018-10-04,2018-09-27,14,284,2,0.674,0.674,1,VLY1XBVNLJK8,RAG-STIFTUNG,1.0,0.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.0,
virginia,Submarines,N0002412C2115,electrical,1,2016-02-03,2016-05-09,2016-04-21,96,,4,0.987,0.987,2,NTREK31GP8N3,KSARIA CORPORATION,0.6342,0.3658,Electronic Connector Manufacturing,0.0,
virginia,Submarines,N0002412C2115,electrical,2,2016-08-30,2016-08-30,2016-08-30,0,131,1,0.142,0.142,1,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,1.0,0.0,Other Electronic Component Manufacturing,0.0,
virginia,Submarines,N0002412C2115,electrical,3,2017-01-06,2018-11-19,2018-03-13,682,560,78,12.976,12.99,14,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.4776,0.5224,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-0.014,
virginia,Submarines,N0002412C2115,hvac,1,2016-02-19,2016-05-02,2016-03-27,73,,2,0.156,0.156,1,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
virginia,Submarines,N0002412C2115,hvac,2,2016-09-08,2016-09-08,2016-09-08,0,165,1,0.032,0.032,1,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
virginia,Submarines,N0002412C2115,hvac,3,2017-02-20,2017-02-20,2017-02-20,0,165,1,0.062,0.062,1,DD7KGPMP93C1,HEH HOLDINGS LLC,1.0,0.0,Heating Equipment (except Warm Air Furnaces) Manufacturing,0.0,
virginia,Submarines,N0002412C2115,hvac,4,2017-05-22,2017-06-05,2017-05-31,14,100,3,0.129,0.129,2,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",0.696,0.304,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002412C2115,hvac,5,2017-10-10,2018-01-02,2017-11-16,84,169,5,0.56,0.56,4,L8T4R3N7ACL6,COLFAX CORPORATION,0.5625,0.4375,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002412C2115,hvac,6,2018-11-19,2018-11-19,2018-11-19,0,368,2,0.123,0.123,1,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
virginia,Submarines,N0002412C2115,machining,1,2016-02-01,2018-11-21,2017-08-16,1024,,173,12.642,12.689,10,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.3529,0.6471,Machine Shops,-0.048,
virginia,Submarines,N0002412C2115,piping,1,2016-01-05,2018-11-07,2017-04-19,1037,,125,22.066,22.214,23,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,0.4801,0.5199,Synthetic Rubber Manufacturing,-0.149,
virginia,Submarines,N0002412C2115,structural,1,2016-02-03,2018-09-25,2017-05-08,965,,102,33.568,33.762,15,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",0.3576,0.6424,Ship Building and Repairing,-0.194,
virginia,Submarines,N0002412C2115,unbucketed,1,2013-01-28,2013-01-28,2013-01-28,0,,1,0.028,0.028,1,LV9KTAW8RSA3,CONTINENTAL EMSCO COMPANY (INC),1.0,0.0,,0.0,
virginia,Submarines,N0002412C2115,unbucketed,2,2015-03-25,2015-03-25,2015-03-25,0,786,1,0.104,0.104,1,WN3KS9Z5JLK9,"PRECISION MACHINE & GEAR, INC.",1.0,0.0,,0.0,
virginia,Submarines,N0002412C2115,unbucketed,3,2015-11-06,2018-11-16,2017-08-05,1106,864,924,112.167,112.548,212,M7B8XCG21XV3,EXIDE TECHNOLOGIES,0.113,0.887,Switchgear and Switchboard Apparatus Manufacturing,-0.381,
virginia,Submarines,N0002416C2111,castings,1,2019-06-13,2019-09-10,2019-07-24,89,,4,0.311,0.311,1,N1PJDANWUJ61,SCOT FORGE COMPANY,1.0,0.0,Iron and Steel Forging,0.0,
virginia,Submarines,N0002416C2111,castings,2,2022-09-12,2022-09-12,2022-09-12,0,1146,1,-0.104,0.0,1,,,,,Steel Foundries (except Investment),-0.104,
virginia,Submarines,N0002416C2111,coatings,1,2017-01-24,2017-07-10,2017-06-16,167,,7,0.41,0.411,2,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,0.6495,0.3505,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",-0.001,
virginia,Submarines,N0002416C2111,coatings,2,2017-11-06,2018-07-05,2018-03-14,241,271,24,5.682,5.684,2,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",0.5661,0.4339,Synthetic Rubber Manufacturing,-0.002,
virginia,Submarines,N0002416C2111,coatings,3,2018-10-15,2019-06-10,2019-02-08,238,331,22,2.744,2.744,4,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",0.6825,0.3175,Synthetic Rubber Manufacturing,0.0,
virginia,Submarines,N0002416C2111,coatings,4,2019-09-25,2020-01-21,2019-12-07,118,302,6,0.933,0.933,2,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,0.6175,0.3825,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",0.0,
virginia,Submarines,N0002416C2111,coatings,5,2020-04-23,2020-04-23,2020-04-23,0,138,4,0.648,0.648,1,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,1.0,0.0,Synthetic Rubber Manufacturing,0.0,
virginia,Submarines,N0002416C2111,coatings,6,2020-11-13,2020-12-01,2020-11-13,18,204,4,0.472,0.472,1,VLY1XBVNLJK8,RAG-STIFTUNG,1.0,0.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.0,
virginia,Submarines,N0002416C2111,coatings,7,2021-10-13,2021-10-13,2021-10-13,0,334,1,0.001,0.001,1,KZGEJ29ND6K3,EVONIK CORPORATION,1.0,0.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.0,
