program,piid,work_type,n_awards,n_distinct_dates,median_interaward_days,n_waves,median_wave_gap_days,gap_iqr_days,gap_cv,n_gaps,last_award_date,last_wave_anchor,next_expected,max_wave_duration_days,median_wave_duration_days,median_quiet_gap_days,n_quiet_gaps,max_wave_duration_to_gap_ratio,active_months_frac,dollars_recent,dollars_prior,active_vendors_prior,active_vendors_recent,top1_share_prior,top1_share_recent,dollars_last180_m,records_last180,dollars_last365_m,records_last365,days_since_last_award,vendor_adds_last365,recent_top1_uei,recent_top1_name,second_source_entry_fy,incumbent_uei,incumbent_name,incumbent_still_active,vendor_retention_avg,allocation_similarity_avg,top_vendor_stable_frac,capability_coherence,prodcycle_confidence
virginia,N0002412C2115,hvac,14,12,73,6,165,4,0.526,5,2018-11-19,2018-11-19,2019-05-03,84,7,129,5,0.509,0.2941,0,1.062,4,0,0.4129,0.0,0,0,0,0,2741,0,,,,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,no,0.6,0.4015,0.5,0.3333,not-supportable
virginia,N0002412C2115,unbucketed,926,425,2,3,825,39,0.067,2,2018-11-16,2017-08-05,2021-02-18,1106,0,506,2,1.341,0.5211,0,112.299,213,0,0.1129,0.0,0,0,0,0,2744,0,,,,M7B8XCG21XV3,EXIDE TECHNOLOGIES,no,0.0024,0.0319,0.3333,0.3333,not-supportable
virginia,N0002412C2115,machining,173,95,7,1,0,,,0,2018-11-21,2017-08-16,,1024,1024,0,0,,0.9118,0,12.642,10,0,0.3529,0.0,0,0,0,0,2739,0,,,,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",no,,,1.0,1.0,n/a
virginia,N0002412C2115,electrical,83,62,8,3,346,214,0.878,2,2018-11-19,2018-03-13,2019-10-31,682,96,121,2,1.971,0.7059,0,14.106,14,0,0.4394,0.0,0,0,0,0,2741,0,,,,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,no,0.0357,0.0724,0.3333,0.3333,not-supportable
virginia,N0002412C2115,structural,102,54,13,1,0,,,0,2018-09-25,2017-05-08,,965,965,0,0,,0.875,0,33.568,15,0,0.3576,0.0,0,0,0,0,2796,0,,,,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",no,,,1.0,1.0,n/a
virginia,N0002412C2115,piping,125,90,8,1,0,,,0,2018-11-07,2017-04-19,,1037,1037,0,0,,0.9429,0,22.066,23,0,0.4801,0.0,0,0,0,0,2753,0,,,,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,no,,,1.0,1.0,n/a
virginia,N0002412C2115,castings,21,17,19,5,196,40,0.136,4,2018-05-07,2018-03-16,2018-11-19,80,23,167,4,0.408,0.3571,0,1.814,3,0,0.7308,0.0,0,0,0,0,2937,0,,,,N1PJDANWUJ61,SCOT FORGE COMPANY,no,0.7083,0.5686,0.8,0.8,medium
virginia,N0002412C2115,coatings,19,17,32,5,268,68,0.326,4,2018-10-04,2018-09-27,2019-06-29,329,0,136,4,1.228,0.4242,0,4.064,2,0,0.9499,0.0,0,0,0,0,2787,0,,,,VLY1XBVNLJK8,RAG-STIFTUNG,no,0.625,0.7497,0.6,0.6,medium
virginia,N0002416C2111,electrical,119,65,28,8,315,339,0.514,7,2025-04-08,2025-04-08,2026-02-17,700,133,107,7,2.222,0.4563,-7.385,144.388,16,7,0.8624,0.0,0,0,0,0,409,0,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",2022,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,yes,0.3452,0.0309,0.4,0.125,not-supportable
virginia,N0002416C2111,unbucketed,332,184,6,4,744,472,0.696,3,2024-07-02,2024-04-15,2026-07-16,1444,150,142,3,1.941,0.5455,0.014,27.992,118,4,0.3186,5.5417,0,0,0,0,689,0,GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,2024,FLU4K8MGMZX7,"HITACHI, LTD.",no,0.3333,0.0326,0.25,0.25,not-supportable
virginia,N0002416C2111,castings,5,4,83,2,1146,,,1,2022-09-12,2022-09-12,2025-11-01,89,44,1098,1,0.078,0.075,-0.104,0.311,1,1,1.0,0.0,0,0,0,0,1348,0,FLU4K8MGMZX7,"HITACHI, LTD.",2022,N1PJDANWUJ61,SCOT FORGE COMPANY,no,0.0,,1.0,0.5,low
virginia,N0002416C2111,piping,82,39,23,9,263,170,0.681,8,2023-09-12,2023-09-12,2024-06-01,427,6,130,8,1.624,0.2941,0.082,11.569,9,1,0.3649,1.0,0,0,0,0,983,0,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",no,0.2344,0.1033,0.375,0.3333,not-supportable
virginia,N0002416C2111,coatings,68,39,18,7,286,103,0.296,6,2021-10-13,2021-10-13,2022-07-26,241,118,113,6,0.843,0.431,0.001,10.891,4,1,0.4806,1.0,0,0,0,0,1682,0,KZGEJ29ND6K3,EVONIK CORPORATION,2022,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",no,0.4167,0.3497,0.2857,0.4286,not-supportable
virginia,N0002416C2111,structural,25,15,47,5,226,48,0.125,4,2019-07-18,2019-05-27,2020-02-29,120,91,148,4,0.531,0.4118,0,2.29,10,0,0.2621,0.0,0,0,0,0,2500,0,,,,LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",no,0.0833,0.0008,0.2,0.2,not-supportable
virginia,N0002416C2111,machining,21,13,78,5,300,240,0.49,4,2020-08-31,2020-08-31,2021-06-27,131,78,180,4,0.437,0.2391,0,1.703,6,0,0.7196,0.0,0,0,0,0,2090,0,,,,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",no,0.25,0.2485,0.6,0.8,low
virginia,N0002416C2111,hvac,6,5,293,5,293,41,0.189,4,2020-01-22,2020-01-22,2020-11-10,0,0,293,4,0.0,0.1282,0,0.328,4,0,0.5173,0.0,0,0,0,0,2312,0,,,,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",no,0.25,0.25,0.4,0.6,low
