program,cut,work_type,pool_dollars_fy22_25_$M,n_active_vendors,hhi_fy22_25,top1_share,top3_share,n_records,pre_window_record_share,thin_lane
submarines,Virginia,structural,378.1,37,0.1444,0.2892,0.5961,765,0.4654,False
submarines,Virginia,machining,75.4,23,0.133,0.234,0.5727,1064,0.5705,False
submarines,Virginia,castings,73.0,8,0.6667,0.8108,0.931,553,0.5913,False
submarines,Virginia,piping,311.4,59,0.1006,0.2099,0.4951,1865,0.637,False
submarines,Virginia,electrical,574.2,16,0.8756,0.9355,0.9591,370,0.5459,False
submarines,Virginia,hvac,40.8,5,0.4433,0.5525,0.9922,60,0.6833,False
submarines,Virginia,coatings,216.1,10,0.2592,0.3636,0.8501,311,0.5723,False
submarines,Virginia,unbucketed,103.5,199,0.0241,0.0832,0.1993,2737,0.7406,False
submarines,Columbia,structural,416.3,43,0.1279,0.2986,0.4951,641,0.2699,False
submarines,Columbia,machining,63.6,25,0.1049,0.2463,0.4394,356,0.2135,False
submarines,Columbia,castings,124.5,8,0.5083,0.6986,0.8627,444,0.5045,False
submarines,Columbia,piping,504.6,69,0.1215,0.284,0.506,1819,0.4327,False
submarines,Columbia,electrical,1135.4,25,0.4408,0.5407,0.9422,313,0.4792,False
submarines,Columbia,hvac,60.4,5,0.4284,0.5727,0.9694,85,0.5176,False
submarines,Columbia,coatings,45.7,8,0.1963,0.2502,0.69,143,0.3357,False
submarines,Columbia,unbucketed,54.2,227,0.0339,0.0653,0.1597,1480,0.5358,False
ddg,GD-BIW,structural,16.3,12,0.2609,0.4554,0.7198,58,0.1724,True
ddg,GD-BIW,machining,15.4,9,0.5866,0.7537,0.9353,67,0.4478,True
ddg,GD-BIW,piping,12.6,17,0.1253,0.21,0.5245,51,0.098,True
ddg,GD-BIW,electrical,19.1,17,0.1207,0.1767,0.4886,63,0.1111,True
ddg,GD-BIW,hvac,28.4,5,0.7813,0.88,0.9945,28,0.0714,False
ddg,GD-BIW,coatings,1.3,2,0.6052,0.7294,1.0,5,0.2,True
ddg,GD-BIW,unbucketed,9.1,62,0.0317,0.068,0.195,133,0.2782,True
ddg,HII-Ingalls,structural,162.8,40,0.0709,0.1622,0.3555,858,0.507,False
ddg,HII-Ingalls,machining,569.3,10,0.4385,0.5844,0.974,301,0.6777,False
ddg,HII-Ingalls,castings,49.2,9,0.4322,0.5869,0.9273,80,0.5625,False
ddg,HII-Ingalls,piping,218.7,52,0.0487,0.0827,0.2431,1449,0.5397,False
ddg,HII-Ingalls,electrical,229.9,20,0.1627,0.2977,0.6044,873,0.5624,False
ddg,HII-Ingalls,hvac,191.7,11,0.6497,0.7984,0.9387,253,0.581,False
ddg,HII-Ingalls,coatings,9.3,5,0.5092,0.6887,0.9386,106,0.5094,True
ddg,HII-Ingalls,unbucketed,39.4,109,0.0461,0.115,0.2884,1416,0.7267,False
