uei,name,dollars,records,programs,foreign,sam_match,reg_status,org_structure_desc,primary_naics_6,primary_naics_4,naics_count,all_naics_6,psc_count,psc_list,immediate_owner,highest_owner,cage,exclusion,business_types
F8PEZKXES8B1,BLUEFORGE ALLIANCE,4173270883.11,8,ddg,,Active,Active,,541614,5416,4,336611;541330;541614;541715,0,,,,9DXU5,N,Non-Profit Organization;Business or Organization
LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,2046023086.41,128,ddg,,Active,Active,Manufacturer of Goods,335312,3353,3,333611;333612;335312,0,,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,90099,N,For Profit Organization;Business or Organization;Manufacturer of Goods
GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",520882112.22,278,ddg,,Active,Active,Manufacturer of Goods,335311,3353,3,335311;335313;335314,0,,"DRS TECHNOLOGIES, INC.",,27192,N,For Profit Organization;Business or Organization;Manufacturer of Goods
HLVBPCA2LH41,Rolls-Royce Marine North America Inc.,459522480.61,132,ddg,,NO_RECORD,,,,,0,,0,,,,,,
WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,378344585.14,216,ddg,,Active,Active,Manufacturer of Goods,333914,3339,1,333914,1,4320,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,CURTISS-WRIGHT CORPORATION,0UBG9,N,For Profit Organization;Business or Organization;Manufacturer of Goods
N1PJDANWUJ61,SCOT FORGE COMPANY,355371463.51,758,ddg,,Active,Active,Subchapter S Corporation,332111,3321,4,331221;332111;332112;541715,50,1325;1336;1338;1340;1410;1420;1550;1560;1610;1615;1620;1675;1710;1725;2010;2040;2350;2355;2845;3446;3605;3615;3660;3670;3693;3805;3820;3835;3895;4470;4920;5420;9510;9530;9640;AC11;AC12;AC13;AC14;AC15;AC21;AC22;AC23;AC24;AC25;AC31;AC32;AC33;AC34;AC35,,,2W651,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,333523184.93,30,ddg,,Active,Active,Manufacturer of Goods,336611,3366,6,336611;336992;488390;541330;541715;541990,0,,"BAE SYSTEMS, INC.",BAE SYSTEMS PLC,44114,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,333092746.6,28,ddg,,Active,Active,Manufacturer of Goods,336412,3364,6,336412;336413;336992;541330;541715;811310,0,,,,07482,N,For Profit Organization;Business or Organization;Manufacturer of Goods
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",299690166.01,97,ddg,,Active,Active,Manufacturer of Goods,333415,3334,1,333415,0,,"JOHNSON CONTROLS FEDERAL SYSTEMS, LLC",JOHNSON CONTROLS INTERNATIONAL PLC,66935,N,Foreign Owned;For Profit Organization;Business or Organization;Manufacturer of Goods
WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",289874121.85,15,ddg,,Active,Active,Manufacturer of Goods,332410,3324,3,325180;332410;541990,0,,"BWX TECHNOLOGIES, INC.",,5AJL2,N,For Profit Organization;Business or Organization;Manufacturer of Goods
E8LNMDLEKM35,D.C. FABRICATORS INC.,255017223.64,66,ddg,,Active,Active,Subchapter S Corporation,332312,3323,6,332312;332313;332410;332420;332439;332710,0,,,,65427,N,For Profit Organization;Business or Organization;Manufacturer of Goods;Subchapter S Corporation
DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,240485509.84,20,ddg,Y,NO_RECORD,,,,,0,,0,,,,,,
FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",218319422.91,114,ddg,,Active,Active,Manufacturer of Goods,325212,3252,4,325211;325212;325991;326199,0,,ESCO TECHNOLOGIES INC.,,82094,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",211351009.86,85,ddg,,Active,Active,Manufacturer of Goods,332313,3323,5,332313;332410;332420;332710;332999,0,,"PRECISION COMPONENTS GROUP, LLC",,1P555,N,For Profit Organization;Business or Organization;Limited Liability Company;Manufacturer of Goods
J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,192134506.59,60,ddg,,NO_RECORD,,,,,0,,0,,,,,,
