rank,uei,name,deliverable_category
1,LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,Modular / integrated assembly
2,GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",Modular / integrated assembly
3,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,Modular / integrated assembly
4,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Discrete component / equipment
5,N1PJDANWUJ61,SCOT FORGE COMPANY,Material / semi-finished input
6,YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,Modular / integrated assembly
7,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,Modular / integrated assembly
8,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",Modular / integrated assembly
9,WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",Modular / integrated assembly
10,E8LNMDLEKM35,D.C. FABRICATORS INC.,Discrete component / equipment
11,DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,Modular / integrated assembly
12,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",Discrete component / equipment
13,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",Discrete component / equipment
14,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,Modular / integrated assembly
15,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,Modular / integrated assembly
16,HNAECT5M9TM4,"SOCAIL, LDA",Service / non-article output
17,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",Modular / integrated assembly
18,JEP5GQGFPUL9,PORTLAND VALVE LLC,Discrete component / equipment
19,NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Discrete component / equipment
20,JKZNKGGWYZ87,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Discrete component / equipment
21,PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,Modular / integrated assembly
22,SX6BF52K2WB1,VACCO INDUSTRIES,Discrete component / equipment
23,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,Modular / integrated assembly
24,WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,Modular / integrated assembly
25,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC",Discrete component / equipment
26,FK17Z7DJWLL1,Apco Technologies SA,Modular / integrated assembly
27,F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,Modular / integrated assembly
28,PAH8M4BJACA5,"TELEDYNE INSTRUMENTS, INC.",Discrete component / equipment
29,F2LEAK3EK9R3,THE GRAHAM CORPORATION,Discrete component / equipment
30,QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,Material / semi-finished input
31,RG6LJJM6JBS3,"AUSTAL USA, LLC",Modular / integrated assembly
32,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",Modular / integrated assembly
33,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",Discrete component / equipment
34,LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,Modular / integrated assembly
35,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",Discrete component / equipment
36,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",Modular / integrated assembly
37,VJMTKNLENX24,ENGINEERED COIL COMPANY,Discrete component / equipment
38,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",Discrete component / equipment
39,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,Discrete component / equipment
40,CBMZJ3Z5SC89,GOODRICH CORPORATION,Discrete component / equipment
41,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",Discrete component / equipment
42,WJ45NXW2TVD7,MOOG INC.,Discrete component / equipment
43,KYURG7LRSC89,WARREN PUMPS LLC,Discrete component / equipment
44,CPHLNLBGWFN5,"DRS CONSOLIDATED CONTROLS, INC.",Modular / integrated assembly
45,MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",Discrete component / equipment
46,WREEAHYMRQ45,"PCB PIEZOTRONICS, INC.",Discrete component / equipment
47,TZVRTYNM3MN3,PEGASUS STEEL LLC,Modular / integrated assembly
48,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",Discrete component / equipment
49,V1MQFNQB56Z5,RIX INDUSTRIES,Modular / integrated assembly
50,CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",Unresolved or genuinely mixed
