Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
LCV2N9FVV739,335312,Motor and Generator Manufacturing,,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,Domestic,1471.250409,66,2016-12-05,2024-06-06,,,,,"This UEI is Northrop Grumman Marine Systems in Sunnyvale, California. Northrop’s public filings identify the business as a producer of Virginia-class main-propulsion and ship-service turbine-generator equipment; the exact subaward line item is not publicly separated further.","https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10107763/
https://investor.northropgrumman.com/node/34781/html
https://www.northropgrumman.com/what-we-do/sea"
YNJNTZWVC3H6,336611,Ship Building and Repairing,,BAE SYSTEMS PLC,BAE SYSTEMS LAND & ARMAMENTS L.P.,Domestic,333.348199,28,2018-01-26,2024-09-18,,,,,"Produces Virginia-class Propulsor Forward Assemblies (pump-jet propulsor hardware) and provides related design-engineering, sustainment hardware, and spares. Public awards cover manufacture of fixed propulsor assemblies for multiple boats.","https://www.baesystems.com/en-us/article/bae-systems-awarded-92-million-us-navy-contract-for-virginia-class-submarine-propulsors
https://www.highergov.com/contract/N0002421C4106/"
E8LNMDLEKM35,332312,Fabricated Structural Metal Manufacturing,,,D.C. FABRICATORS INC.,Domestic,229.872706,51,2016-12-05,2025-04-24,,,,,"D.C. Fabricators designs and manufactures steam condensers, heat exchangers, and corrosion-resistant alloy/dissimilar-metal fabrications for U.S. Navy submarine programs, including work associated with General Dynamics Electric Boat. Its public materials describe submarine and aircraft-carrier applications and emphasize military steam-condensing/heat-transfer hardware.",https://www.dcfab.com/ | https://www.dcfab.com/products/military-applications/ | https://my.recruitmilitary.com/organizations/d-c-fabricators
FLDEFFBLR5P3,325212,Synthetic Rubber Manufacturing,,ESCO TECHNOLOGIES INC.,"GLOBE COMPOSITE SOLUTIONS, LLC",Domestic,197.210144,98,2017-06-16,2024-10-04,,,,,"Globe Composite Solutions designs and manufactures composite submarine components. Its defense materials identify Los Angeles, Ohio, Seawolf, Virginia and Columbia submarines as key Navy platforms and describe work such as U.S. Navy gaskets, composite submarine parts for acoustic-signature reduction, and acoustic-intercept domes or related composites used in undersea applications.",https://www.globecomposite.com/defense | https://www.globecomposite.com/blog/x-factor-columbia-class-submarine-design | https://www.globecomposite.com/blog/silent-service-acoustic-intercept
WYDAKCJ5K219,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Domestic,190.235974,107,2016-11-03,2025-02-25,,,,,"Curtiss-Wright Electro-Mechanical Systems is tied to Curtiss-Wright contracts for Virginia-class submarine equipment. Public Curtiss-Wright announcements identify EMS facilities as producing pumps, valves, generators and propulsors for Block IV Virginia-class submarines, with emphasis on nuclear propulsion systems and mission-critical naval machinery.",https://electro-mechanicalsystems.curtisswright.com/news/news-details/2015/Curtiss-wright-Awarded-480-Million-In-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/organization/naval-power
N1PJDANWUJ61,332111,Iron and Steel Forging,,SCOT FORGE COMPANY,SCOT FORGE COMPANY,Domestic,176.443507,448,2016-02-05,2025-08-21,,,,,"Scot Forge produces custom open-die and rolled-ring forgings for shipbuilding and defense programs, explicitly including the Virginia-class, Columbia-class, Seawolf-class and Los Angeles-class submarine programs. Its shipbuilding products include near-net-shape forgings such as hubs, gear blanks, seamless rolled rings, couplings, flanges, pinion shafts, step-downs, spindles, forged bars, gears, shafts, hollow tubes, blind-end cylinders and large flange cylinders.",https://www.scotforge.com/market-expertise/shipbuilding
YD1GK53355R5,332313,Plate Work Manufacturing,,,"PRECISION CUSTOM COMPONENTS, LLC",Domestic,117.295082,47,2017-01-03,2025-07-07,,,,,"Performs heavy fabrication and welding of large-scale, complex components for Virginia-class submarines. Public sources confirm class support but do not identify the specific installed component associated with this row.","https://www.buildsubmarines.com/newsroom/giants-of-skilled-trades-logan-mego-precision-custom-components
https://investors.bwxt.com/news-releases/news-release-details/bwxt-bolsters-american-nuclear-manufacturing-capability/"
WMXDDH6HJNA5,336611,Ship Building and Repairing,,"HUNTINGTON INGALLS INDUSTRIES, INC.",HUNTINGTON INGALLS INCORPORATED,Domestic,98.085833,6,2016-09-14,2021-12-03,,,,,"Newport News Shipbuilding is the Virginia-class co-builder with General Dynamics Electric Boat. It fabricates and outfits large submarine modules, joins pressure-hull sections, and performs assembly, test, and delivery work on boats assigned to Newport News.","https://hii.com/news/multimedia-release-newport-news-shipbuilding-opens-new-submarine-facility
https://hii.com/news/hii-arkansas-ssn-800-newport-news-shipbuilding-pressure-hull-2023"
JEP5GQGFPUL9,332911,Industrial Valve Manufacturing,,"Circor International, Inc.",PORTLAND VALVE LLC,Domestic,95.054421,102,2016-05-16,2025-07-29,,,,,"Portland Valve, a CIRCOR brand, manufactures high-performance Navy valves and controls, including ball valves and specialty valves for submarine applications. Sources describe Portland Valve shipments/orders for Block III Virginia-class submarine valves being built by General Dynamics Electric Boat and state that Portland Valve is a standard name in valves for submarines and surface vessels. Products include ship-service ball valves, butterfly valves, specialty submarine valves, controls and refurbished valves.",https://www.prnewswire.com/news-releases/colfax-supplies-initial-shipment-of-valves-for-us-navy-block-lll-virginia-class-submarines-89385537.html | https://www.circor.com/brands/portland-valve | https://www.circorpt.com/technologies-valves | https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
PAH8M4BJACA5,334417,Electronic Connector Manufacturing,,TELEDYNE TECHNOLOGIES INCORPORATED,"TELEDYNE INSTRUMENTS, INC.",Domestic,87.470539,146,2016-05-20,2025-04-24,,,,,"Teledyne D.G. O'Brien supplies high-reliability electrical interconnect hardware for Virginia-class submarines. Its submarine products include pressure-hull penetrators, connectors, and outboard cable assemblies; public procurement data confirms class-specific parts/material support but does not disclose the exact subaward part numbers.","https://www.teledynemarine.com/brands/dgo
https://www.teledynemarine.com/brands/dgo/pressure-hull-penetrator
https://www.cleat.ai/government/contracts/59-measuring-and-testing-electricity-and-electrical-signals-9let"
G9HKMXL5L973,326291,Rubber Product Manufacturing for Mechanical Use,,"Oil States International, Inc.","OIL STATES INDUSTRIES, INC",Domestic,77.639007,57,2016-02-03,2025-08-20,,,,,Supplies resilient weapon-system mounts installed on Virginia-class submarines. Federal logistics cross-reference data links Oil States part numbers 5MC10000-H and ND8714 to Electric Boat’s SSN-774 mount assembly.,"https://www.wbparts.com/rfq/5342-01-525-1347.html
https://www.parttarget.com/5342-01-525-1347_5342015251347_H7110101A-14.html"
SX6BF52K2WB1,332912,Fluid Power Valve and Hose Fitting Manufacturing,,ESCO TECHNOLOGIES INC.,VACCO INDUSTRIES,Domestic,74.116533,49,2016-08-09,2025-02-11,,,,,"VACCO Industries supplies critical-quiet fluid-control valves, manifolds, and filtration assemblies for Virginia-class submarines. VACCO reported nearly 40 of its valves/manifolds aboard USS North Dakota (SSN-784), distinguishing this entity as a quiet-valve and manifold supplier.","https://www.sweetspot.so/markets/federal/contractors/vacco-industries-sx6bf52k2wb1/
https://www.vacco.com/index.php/navy/overview
https://www.vacco.com/index.php/news/P20"
SLD5KEGGLLZ3,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",Domestic,72.379406,23,2016-12-13,2023-06-30,,,,,"Johnson Controls Navy Systems is the York, Pennsylvania naval HVAC/refrigeration entity. It designs and manufactures submarine-qualified chillers, compressors, controls, and other environmental-control equipment; public sources do not identify the exact Virginia-class unit in this subaward.","https://www.highergov.com/awardee/johnson-controls-navy-systems-llc-10120173/
https://www.johnsoncontrols.com/industries/marine-and-navy/navy
https://www.pct.edu/give/corporate-tomorrow-makers/johnson-controls-navy-systems"
JKZNKGGWYZ87,335312,Motor and Generator Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Domestic,69.637331,22,2017-01-30,2024-08-09,,,,,"Curtiss-Wright’s Cheswick, Pennsylvania electro-mechanical operation manufactures nuclear-fleet pumps, motors, generators, and related propulsion-plant machinery. The exact Virginia-class machine represented by this subaward is not publicly itemized, so the role cannot be narrowed beyond that equipment family.","https://www.sweetspot.so/markets/federal/contractors/curtiss-wright-electro-mechanical-corporation-jkznkggwyz87/
https://electro-mechanicalsystems.curtisswright.com/"
