program,window,role,bucket,basis,n_records,dollars_$M,share_of_supplier_dollars
submarines,all,supplier,electrical,registry,730,2830.254,0.36824
submarines,all,supplier,piping,registry,2080,1328.308,0.17283
submarines,all,supplier,structural,registry,893,1104.142,0.14366
submarines,all,supplier,unbucketed,residual,4253,658.917,0.08573
submarines,all,mission_systems,-,registry,401,624.605,
submarines,all,supplier,coatings,registry,305,409.704,0.05331
submarines,all,supplier,castings,registry,742,353.23,0.04596
submarines,all,gfe_sib,-,registry,21,342.536,
submarines,all,foreign_fms,-,foreign flag,64,272.472,
submarines,all,foreign_fms,-,registry,104,233.241,
submarines,all,supplier,piping,naics4,1451,224.029,0.02915
submarines,all,supplier,hvac,registry,143,185.143,0.02409
submarines,all,supplier,structural,naics4,512,180.053,0.02343
submarines,all,service,-,service NAICS,634,157.465,
submarines,all,supplier,machining,registry,660,155.37,0.02022
submarines,all,supplier,machining,naics4,716,99.711,0.01297
submarines,all,prime,-,registry,6,98.086,
submarines,all,service,-,registry,23,86.804,
submarines,all,supplier,castings,naics4,270,68.885,0.00896
submarines,all,gfe_sib,-,GFE/SIB name,58,53.432,
submarines,all,supplier,piping,vendor-override,26,27.912,0.00363
submarines,all,supplier,coatings,naics4,99,26.604,0.00346
submarines,all,supplier,electrical,naics4,50,18.683,0.00243
submarines,all,holding,-,holding-co (5511),37,8.647,
submarines,all,supplier,hvac,naics4,31,7.491,0.00097
submarines,all,supplier,unbucketed,registry,30,4.264,0.00055
submarines,all,supplier,unbucketed,vendor-override,15,3.129,0.00041
submarines,all,co_prime,-,prime/co-prime name,25,0.348,
submarines,all,prime,-,prime/co-prime name,2,0.032,
submarines,fy22_25,supplier,electrical,registry,324,1725.003,0.41294
submarines,fy22_25,supplier,piping,registry,941,684.927,0.16396
submarines,fy22_25,supplier,structural,registry,562,661.517,0.15836
submarines,fy22_25,supplier,coatings,registry,181,209.239,0.05009
submarines,fy22_25,supplier,unbucketed,residual,1370,149.857,0.03587
submarines,fy22_25,supplier,castings,registry,301,146.264,0.03501
submarines,fy22_25,foreign_fms,-,registry,63,145.915,
submarines,fy22_25,supplier,structural,naics4,314,132.896,0.03181
submarines,fy22_25,supplier,piping,naics4,717,126.945,0.03039
submarines,fy22_25,mission_systems,-,registry,167,119.29,
submarines,fy22_25,supplier,hvac,registry,56,101.749,0.02436
submarines,fy22_25,supplier,machining,registry,333,85.571,0.02048
submarines,fy22_25,service,-,service NAICS,257,80.911,
submarines,fy22_25,service,-,registry,13,66.137,
submarines,fy22_25,supplier,castings,naics4,156,54.584,0.01307
submarines,fy22_25,supplier,machining,naics4,404,53.344,0.01277
submarines,fy22_25,gfe_sib,-,GFE/SIB name,8,25.03,
submarines,fy22_25,foreign_fms,-,foreign flag,21,15.137,
submarines,fy22_25,supplier,piping,vendor-override,17,14.937,0.00358
submarines,fy22_25,supplier,electrical,naics4,22,12.474,0.00299
submarines,fy22_25,supplier,coatings,naics4,44,10.857,0.0026
submarines,fy22_25,prime,-,registry,2,6.0,
submarines,fy22_25,holding,-,holding-co (5511),13,3.305,
submarines,fy22_25,supplier,unbucketed,vendor-override,15,3.129,0.00075
submarines,fy22_25,supplier,hvac,naics4,12,2.169,0.00052
submarines,fy22_25,supplier,unbucketed,registry,15,1.887,0.00045
submarines,fy22_25,co_prime,-,prime/co-prime name,25,0.348,
submarines,fy22_25,prime,-,prime/co-prime name,2,0.032,
ddg,all,supplier,machining,registry,285,1020.293,0.32961
ddg,all,supplier,hvac,registry,275,470.712,0.15207
ddg,all,supplier,electrical,registry,587,340.703,0.11007
ddg,all,supplier,piping,registry,874,325.15,0.10504
ddg,all,supplier,unbucketed,residual,1556,270.686,0.08745
ddg,all,mission_systems,-,registry,186,221.124,
ddg,all,foreign_fms,-,foreign flag,121,177.164,
ddg,all,supplier,structural,registry,331,162.585,0.05252
ddg,all,supplier,structural,naics4,572,150.998,0.04878
ddg,all,supplier,piping,naics4,573,105.221,0.03399
ddg,all,supplier,castings,registry,17,87.962,0.02842
ddg,all,service,-,service NAICS,267,52.208,
ddg,all,supplier,electrical,naics4,199,49.992,0.01615
ddg,all,service,-,registry,28,31.567,
ddg,all,supplier,machining,naics4,75,28.262,0.00913
ddg,all,supplier,hvac,naics4,118,23.118,0.00747
ddg,all,supplier,unbucketed,registry,94,20.911,0.00676
ddg,all,supplier,coatings,registry,83,15.408,0.00498
ddg,all,supplier,castings,naics4,63,14.373,0.00464
ddg,all,holding,-,holding-co (5511),1,11.505,
ddg,all,prime,-,registry,10,5.968,
ddg,all,supplier,piping,vendor-override,8,5.32,0.00172
ddg,all,foreign_fms,-,registry,2,5.074,
ddg,all,gfe_sib,-,GFE/SIB name,20,3.303,
ddg,all,supplier,coatings,naics4,26,3.105,0.001
ddg,all,prime,-,prime/co-prime name,4,0.877,
ddg,all,supplier,unbucketed,vendor-override,5,0.612,0.0002
ddg,fy22_25,supplier,machining,registry,93,567.926,0.36114
ddg,fy22_25,supplier,hvac,registry,133,236.662,0.15049
ddg,fy22_25,supplier,electrical,registry,282,199.989,0.12717
ddg,fy22_25,supplier,piping,registry,395,172.241,0.10953
ddg,fy22_25,supplier,structural,registry,197,98.396,0.06257
ddg,fy22_25,supplier,structural,naics4,239,80.691,0.05131
ddg,fy22_25,mission_systems,-,registry,48,64.135,
ddg,fy22_25,supplier,piping,naics4,288,58.634,0.03728
ddg,fy22_25,supplier,castings,registry,9,42.798,0.02721
ddg,fy22_25,supplier,unbucketed,residual,409,41.818,0.02659
ddg,fy22_25,service,-,service NAICS,144,29.128,
ddg,fy22_25,supplier,electrical,naics4,70,23.52,0.01496
ddg,fy22_25,supplier,machining,naics4,34,16.655,0.01059
ddg,fy22_25,service,-,registry,10,13.245,
ddg,fy22_25,holding,-,holding-co (5511),1,11.505,
ddg,fy22_25,supplier,coatings,registry,43,9.333,0.00593
ddg,fy22_25,supplier,unbucketed,registry,45,8.404,0.00534
ddg,fy22_25,supplier,hvac,naics4,36,7.393,0.0047
ddg,fy22_25,supplier,castings,naics4,24,6.383,0.00406
ddg,fy22_25,foreign_fms,-,registry,2,5.074,
ddg,fy22_25,gfe_sib,-,GFE/SIB name,7,2.083,
ddg,fy22_25,supplier,coatings,naics4,6,1.351,0.00086
ddg,fy22_25,foreign_fms,-,foreign flag,8,1.304,
ddg,fy22_25,prime,-,prime/co-prime name,4,0.877,
ddg,fy22_25,supplier,unbucketed,vendor-override,3,0.416,0.00026
