program,piid,vessel_class,builder,label,n_records_full_history,supplier_dollars_fy22_25_$M,n_supplier_vendors_fy22_25,top_work_types_fy22_25,data_status
ddg,N0002418C2307,DDG-51,HII-Ingalls,"HII-Ingalls: CONSTRUCT FIRM HHIP FY18 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG128

CONSTRUCTION OF DDG 51 SHIP",2612,372.4,223,structural $89.7M; piping $79.0M,robust
ddg,N0002413C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER (DDG 125),2304,27.7,67,structural $16.4M; electrical $3.9M,robust
ddg,N0002423C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCTION OF DDG 51 SHIP,494,1070.2,71,machining $491.5M; hvac $178.0M,usable
ddg,N0002411C2307,DDG-51,HII-Ingalls,"HII-Ingalls: CONSTRUCT FY11 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG 114
DEOBLIGATION OF DDG 114",255,0.0,0,,thin
ddg,N0002411C2309,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY10 DDG 51 CLASS,226,0.0,0,,thin
ddg,N0002419C4452,DDG-51,GD-BIW,GD-BIW: PROVISIONED ITEMS ORDERS (PIO),154,24.6,54,structural $10.4M; piping $4.6M,thin
ddg,N0002419C2322,DDG-51,GD-BIW,GD-BIW: ORDERS: WR22-029,119,18.2,45,electrical $7.4M; piping $4.1M,thin
ddg,N0002413C2305,DDG-51,GD-BIW,"GD-BIW: CONSTRUCTION OF DDG 51 SHIP
FMR-12161M DEFIN
FMR-12182MNO DEFIN",102,7.4,38,machining $3.0M; unbucketed $2.5M,thin
ddg,N0002414C4313,DDG-51,GD-BIW,GD-BIW: PIO AND OTHER MATERIAL. DE-OBLIGATE EXCESS FUNDS ON VARIOUS CLINS.,78,0.0,0,,thin
ddg,N0002418C2305,DDG-51,GD-BIW,"GD-BIW: CONSTRUCTION OF DDG 51 SHIP
WF-3753 (FMR-12243N)
FMR-12182MNO DEFIN",27,52.0,19,hvac $24.7M; machining $11.6M,very-thin
ddg,N0002412C2312,DDG-51,HII-Ingalls,HII-Ingalls: FLIGHT III DESIGN,9,0.0,0,,very-thin
ddg,N0002423C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP,0,0.0,0,,none
ddg,N0002402C2303,DDG-51,GD-BIW,GD-BIW: CONTRACT CLOSEOUT,0,0.0,0,,none
ddg,N0002406C2303,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION,0,0.0,0,,none
ddg,N0002411C2306,DDG-51,GD-BIW,GD-BIW: FUNDING REALLOCATION DUE TO CANCELLATION,0,0.0,0,,none
ddg,N0002411C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCT FY11 DDG 51 CLASS GUIDED FMR 11622L,0,0.0,0,,none
ddg,N0002412C4311,DDG-51,GD-BIW,GD-BIW: SHIP ALTERATION WORK - SEVERABLE,0,0.0,0,,none
ddg,N0002409C2302,DDG-51,GD-BIW,GD-BIW: DIACAP SETTLEMENT,0,0.0,0,,none
ddg,N0002418C2313,DDG-51,GD-BIW,GD-BIW: CLASS CHANGES DESIGN SERVICES,0,0.0,0,,none
ddg,N0002412C2313,DDG-51,GD-BIW,GD-BIW: FLIGHT III DESIGN,0,0.0,0,,none
ddg,N0002403C2306,DDG-51,GD-BIW,GD-BIW: CONTRACT CLOSEOUT,0,0.0,0,,none
ddg,N0002418C4451,DDG-51,GD-BIW,GD-BIW: SHIP ALTERATION WORK - SEVERABLE,0,0.0,0,,none
ddg,N0002424C2313,DDG-51,GD-BIW,GD-BIW: DDG 51 CLASS LEAD YARD SUPPORT,0,0.0,0,,none
ddg,N0002402C2304,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCTION OF FY02 ARLEIGH BURKE GUIDED MISSILE DESTROYER,0,0.0,0,,none
submarines,N0002417C2100,Virginia,GDEB,Va Block V/VI master,5681,1373.9,349,electrical $502.8M; structural $296.1M,robust
submarines,N0002417C2117,Columbia,GDEB,Col Build I/II master,5192,2405.1,416,"electrical $1,138.3M; piping $498.4M",robust
submarines,N0002412C2115,Virginia,GDEB,Va Block IV MYP,1622,0.0,0,,robust
submarines,N0002416C2111,Virginia,GDEB,VPM Vent Valve (Block V),773,-7.4,14,piping $0.1M; unbucketed $0.0M,usable
submarines,N0002413C2128,Columbia,GDEB,Col Design Drawings,608,-0.3,1,piping $-0.3M,usable
submarines,N0002424C2110,Virginia,GDEB,Va Block VI LLTM,367,399.8,81,piping $121.4M; electrical $103.7M,usable
submarines,N0002419C2115,Columbia,BPMI,Col Class IBI,67,0.0,0,,thin
submarines,N0002419C2114,Columbia,BPMI,Naval Reactor Components,49,0.0,0,,very-thin
submarines,N0002421C4106,Virginia,BAE,SSN 812 Forward Subassembly,15,1.4,8,unbucketed $1.1M; structural $0.4M,very-thin
submarines,N0002421C4111,Virginia,RR,Va Class Submarine Rotor,7,4.7,6,unbucketed $4.7M,very-thin
submarines,N0002409C2104,Virginia,GDEB,Va Block II residual,0,0.0,0,,none
submarines,N0002411C2109,Columbia,GDEB,SSBN-R concept formulation,0,0.0,0,,none
submarines,N0002410C2118,Virginia,GDEB,VPM Tube Fabrication,0,0.0,0,,none
submarines,N0002424C2114,Virginia,BPMI,S9G reactor,0,0.0,0,,none
submarines,N0002410C6266,Virginia,LM,Va Combat Systems HW/SW,0,0.0,0,,none
