program,work_type,pool_dollars_fy22_25_$M,n_active_vendors,hhi_fy22_25,top1_share,top3_share,n_new_entrants_fy22_25,new_entrant_dollars_$M,entrant_rate,n_credible_entrants,credible_entrant_dollars_$M,credible_entrant_rate,median_cadence_days,n_exits_fy22_25,churn_ratio,n_records_pre_fy22,pre_fy22_record_share,barrier_score,seeding_evidence_count
ddg,castings,98.0,10,0.3383,0.4781,0.9178,6,45.3,0.4627,5,16.5,0.1682,172,3,0.9,18,0.225,5,1
ddg,coatings,12.6,5,0.4508,0.6386,0.9184,2,2.0,0.1597,2,2.0,0.1597,92,2,0.8,41,0.3694,2,0
ddg,electrical,375.9,29,0.1568,0.3319,0.5664,21,169.3,0.4505,18,70.6,0.1879,51,13,1.1724,216,0.2308,3,0
ddg,hvac,333.5,13,0.4003,0.5338,0.9238,9,38.1,0.1143,9,38.1,0.1143,26,8,1.3077,87,0.3085,2,0
ddg,machining,853.6,13,0.2719,0.39,0.8625,7,572.9,0.6712,4,16.6,0.0194,72,4,0.8462,143,0.3886,3,1
ddg,piping,338.5,64,0.0394,0.0803,0.2086,35,145.8,0.4308,35,145.8,0.4308,78,33,1.0625,439,0.2925,4,0
ddg,structural,231.1,44,0.0557,0.1206,0.2889,24,118.9,0.5142,23,91.0,0.3936,79,16,0.9091,249,0.2718,3,1
ddg,unbucketed,95.8,204,0.0397,0.1284,0.2839,140,37.9,0.3956,140,37.9,0.3956,230,95,1.152,756,0.4887,,0
submarines,castings,247.4,9,0.6069,0.7724,0.8757,5,21.2,0.0855,5,21.2,0.0855,56,1,0.6667,338,0.339,5,2
submarines,coatings,448.5,13,0.2489,0.4237,0.7285,6,112.2,0.2501,4,18.3,0.0408,60,6,0.9231,144,0.2791,2,0
submarines,electrical,1938.3,31,0.5097,0.6657,0.9336,21,84.0,0.0433,21,84.0,0.0433,78,13,1.0968,171,0.2659,3,0
submarines,hvac,132.6,7,0.316,0.443,0.925,3,60.9,0.4594,2,2.2,0.0164,83,4,1.0,31,0.2138,2,0
submarines,machining,232.5,32,0.1131,0.2427,0.4953,22,92.4,0.3973,22,92.4,0.3973,52,9,0.9688,234,0.1702,3,2
submarines,piping,1288.7,82,0.0719,0.1682,0.391,52,696.6,0.5406,45,179.1,0.1389,33,31,1.0122,746,0.2042,4,1
submarines,structural,1072.5,51,0.0859,0.1675,0.427,31,494.1,0.4607,27,156.2,0.1457,36,17,0.9412,284,0.202,3,2
submarines,unbucketed,367.5,509,0.0157,0.0798,0.1503,328,154.8,0.4213,328,154.8,0.4213,175,271,1.1768,1661,0.389,,0
