program,work_type,lane_gate,rank,vendor_name,vendor_uei,status,dollars_fy22_25_$M,n_awards_fy22_25,median_interaward_days,first_award_fy,last_award_date,also_active_other_program,piids,why_competable
ddg,castings,COMPETABLE,1,ELLWOOD NATIONAL FORGE COMPANY,SVXNHLLWX953,reported-entrant (likely incumbent),28.866,7,131,2024,2025-08-11,True,N0002418C2307;N0002423C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,2,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5,exited,16.622,3,196,2013,2021-06-11,True,N0002413C2307;N0002418C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,3,ELLWOOD NATIONAL FORGE COMPANY,SNP5XVVL5896,entrant,14.221,2,,2024,2023-11-01,False,N0002423C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,4,"LISTER CHAIN AND FORGE, INC.",GZKZJF8DBJJ2,exited,3.275,6,313,2013,2022-06-22,False,N0002413C2307;N0002418C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,5,LISTER CHAIN & FORGE INC,FLQJXSFMNQP6,entrant,1.441,2,148,2025,2025-05-06,False,N0002418C2307;N0002423C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,6,SCHOELLHORN - ALBRECHT MACHINE CO INC,P4XPJNTCHB68,incumbent,1.22,15,98,2016,2025-10-16,False,N0002413C2307;N0002418C2307;N0002423C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,7,"METALTEK INTERNATIONAL, INC.",JK4WJKLD44G9,incumbent,0.518,6,300,2013,2025-11-26,True,N0002413C2307;N0002418C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,8,"WASHINGTON CHAIN & SUPPLY, INC.",YN8EW4XM28Z1,entrant,0.428,1,,2024,2023-10-24,False,N0002418C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,9,ELLWOOD CITY FORGE COMPANY,N9DVRB18H324,entrant,0.35,1,,2022,2022-09-22,False,N0002418C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,castings,COMPETABLE,10,SCOT FORGE COMPANY,N1PJDANWUJ61,entrant,0.041,1,,2025,2025-05-01,True,N0002418C2307,5 credible entrants took 25% of FY22-25 lane dollars; median re-buy 172d
ddg,coatings,COMPONENT-TIER,1,INDUSTRIAL CORROSION CONTROL INC,DQ35GXAUTW61,incumbent,8.049,24,36,2015,2025-12-08,False,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307,1 credible entrants took 4% of FY22-25 lane dollars; top tier locked; component tier shows entry (1 entrants); median re-buy 92d
ddg,coatings,COMPONENT-TIER,2,"M.S.M. INDUSTRIES, INC.",S3GFGJ1QGAE6,exited,1.964,11,92,2013,2023-11-27,False,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002419C2322,1 credible entrants took 4% of FY22-25 lane dollars; top tier locked; component tier shows entry (1 entrants); median re-buy 92d
ddg,coatings,COMPONENT-TIER,3,ESCO TECHNOLOGIES INC.,SFBKRA9THBA3,incumbent,1.52,9,180,2019,2025-09-30,True,N0002413C2307;N0002418C2307,1 credible entrants took 4% of FY22-25 lane dollars; top tier locked; component tier shows entry (1 entrants); median re-buy 92d
ddg,coatings,COMPONENT-TIER,4,RAYTHEON TECHNOLOGIES CORPORATION,PPLZG8J3N9D4,incumbent,0.579,15,64,2013,2025-11-25,True,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307,1 credible entrants took 4% of FY22-25 lane dollars; top tier locked; component tier shows entry (1 entrants); median re-buy 92d
ddg,coatings,COMPONENT-TIER,5,RAYTHEON COMPANY,EGAVSJTA2D81,entrant,0.449,3,244.0,2023,2024-11-25,True,N0002418C2305;N0002418C2307,1 credible entrants took 4% of FY22-25 lane dollars; top tier locked; component tier shows entry (1 entrants); median re-buy 92d
ddg,electrical,COMPETABLE,1,LEONARDO SPA,W8PTMRME1496,incumbent,94.383,171,9.5,2013,2026-03-06,True,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2305;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,2,ESPEY MFG. & ELECTRONICS CORP.,Z89SS59265U9,incumbent,42.696,60,64.5,2017,2026-02-27,True,N0002413C2307;N0002418C2305;N0002418C2307;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,3,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",ZW3UMG9YVNA9,reported-entrant (likely incumbent),40.637,15,63,2024,2025-10-31,True,N0002418C2307;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,4,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",HLE1E2KALJA5,reported-entrant (likely incumbent),29.929,24,38,2024,2024-11-12,False,N0002418C2307;N0002419C4452;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,5,DRS NAVAL POWER SYSTEMS INC,YYVHWZMPP3F8,reported-entrant (likely incumbent),28.173,34,10,2022,2023-11-30,True,N0002413C2305;N0002413C2307;N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,6,"L3HARRIS TECHNOLOGIES, INC.",SJULQDJ8NZU7,incumbent,18.22,44,21,2019,2025-12-18,True,N0002413C2307;N0002418C2305;N0002418C2307;N0002419C4452;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,7,WARD LEONARD CT LLC,MKXMUFJJYLY5,entrant,12.797,12,20,2024,2025-08-27,True,N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,8,DYNALEC CORPORATION,SKKACASET588,incumbent,9.284,97,16,2013,2026-01-14,True,N0002411C2307;N0002411C2309;N0002413C2307;N0002418C2307;N0002419C4452;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,9,"MONROE CABLE COMPANY, INC., THE",C7QHHMJEALN1,entrant,8.128,2,364,2021,2022-06-02,True,N0002418C2305;N0002418C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,electrical,COMPETABLE,10,BOGUE SYSTEMS INC,JCBMC726D155,entrant,7.279,24,69,2022,2026-01-30,False,N0002418C2307;N0002419C2322;N0002423C2307,fragmented lane (HHI 0.14); 16 credible entrants took 15% of FY22-25 lane dollars; median re-buy 51d
ddg,hvac,COMPONENT-TIER,1,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",SLD5KEGGLLZ3,incumbent,178.028,45,17.0,2017,2025-12-03,True,N0002413C2305;N0002413C2307;N0002414C4313;N0002418C2305;N0002418C2307;N0002419C2322;N0002423C2307,8 credible entrants took 15% of FY22-25 lane dollars; top tier locked; component tier shows entry (8 entrants); median re-buy 26d
ddg,hvac,COMPONENT-TIER,2,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XEQ3L57D2J24,exited,24.725,17,30.0,2013,2022-04-26,True,N0002411C2307;N0002411C2309;N0002413C2305;N0002413C2307;N0002418C2307,8 credible entrants took 15% of FY22-25 lane dollars; top tier locked; component tier shows entry (8 entrants); median re-buy 26d
ddg,hvac,COMPONENT-TIER,3,HOWDEN NORTH AMERICA INC,FPCZK4D8LXU5,entrant,18.908,22,7,2024,2025-03-19,False,N0002418C2307;N0002423C2307,8 credible entrants took 15% of FY22-25 lane dollars; top tier locked; component tier shows entry (8 entrants); median re-buy 26d
ddg,hvac,COMPONENT-TIER,4,ENGINEERED COIL COMPANY,E57FS3E4CQ19,entrant,8.752,13,21,2023,2023-12-15,True,N0002418C2307;N0002419C2322;N0002419C4452;N0002423C2307,8 credible entrants took 15% of FY22-25 lane dollars; top tier locked; component tier shows entry (8 entrants); median re-buy 26d
ddg,hvac,COMPONENT-TIER,5,HOWDEN NORTH AMERICA INC.,F1RLRDZK2KC9,entrant,3.55,9,21,2022,2023-05-03,False,N0002418C2307,8 credible entrants took 15% of FY22-25 lane dollars; top tier locked; component tier shows entry (8 entrants); median re-buy 26d
