program,work_type,gate_fy22_25,pool_$M_fy22_25,hhi_fy22_25,cred_entrant_rate_fy22_25,pre_window_share_fy22_25,censored_fy22_25,gate_fy20_25,pool_$M_fy20_25,hhi_fy20_25,cred_entrant_rate_fy20_25,pre_window_share_fy20_25,censored_fy20_25,gate_fy19_25,pool_$M_fy19_25,hhi_fy19_25,cred_entrant_rate_fy19_25,pre_window_share_fy19_25,censored_fy19_25,gate_stable
ddg,castings,SEEDED,49.2,0.4322,0.3351,0.5625,False,COMPETABLE,67.0,0.2957,0.2461,0.425,False,SEEDED,98.0,0.3383,0.1682,0.225,False,False
ddg,coatings,COMPONENT-TIER,10.7,0.416,0.0421,0.4955,False,COMPONENT-TIER,12.6,0.453,0.0358,0.3784,False,COMPONENT-TIER,12.6,0.4508,0.1597,0.3694,False,True
ddg,electrical,COMPETABLE,248.7,0.1484,0.1299,0.5342,False,COMPETABLE,321.5,0.1437,0.1492,0.3462,False,COMPETABLE,375.9,0.1568,0.1879,0.2308,False,True
ddg,hvac,COMPONENT-TIER,220.7,0.6604,0.1686,0.5284,False,COMPONENT-TIER,243.6,0.552,0.1527,0.4397,False,COMPONENT-TIER,333.5,0.4003,0.1143,0.3085,False,True
ddg,machining,LOCKED,584.7,0.417,0.0283,0.6359,False,LOCKED,696.2,0.3157,0.0238,0.519,False,LOCKED,853.6,0.2719,0.0194,0.3886,False,True
ddg,piping,COMPETABLE,231.3,0.0464,0.4809,0.525,False,COMPETABLE,273.3,0.0421,0.4977,0.4157,False,COMPETABLE,338.5,0.0394,0.4308,0.2925,False,True
ddg,structural,COMPETABLE,179.1,0.0648,0.4896,0.4858,False,COMPETABLE,205.5,0.0575,0.4426,0.3679,False,COMPETABLE,231.1,0.0557,0.3936,0.2718,False,True
submarines,castings,SEEDED,197.5,0.5605,0.1229,0.5527,False,SEEDED,221.3,0.5879,0.0956,0.4674,False,SEEDED,247.4,0.6069,0.0855,0.339,False,True
submarines,coatings,COMPETABLE,280.5,0.22,0.0602,0.5136,False,COMPETABLE,314.0,0.2276,0.0538,0.3663,False,COMPETABLE,448.5,0.2489,0.0408,0.2791,False,True
submarines,electrical,COMPONENT-TIER,1708.0,0.5192,0.0388,0.4946,False,COMPONENT-TIER,1909.5,0.5179,0.0409,0.3686,False,COMPONENT-TIER,1938.3,0.5097,0.0433,0.2659,False,True
submarines,hvac,LOCKED,101.3,0.3613,0.0214,0.5862,False,LOCKED,115.9,0.3682,0.0187,0.3724,False,LOCKED,132.6,0.316,0.0164,0.2138,False,True
submarines,machining,COMPETABLE,137.8,0.1083,0.4321,0.4713,False,COMPETABLE,202.4,0.1092,0.3057,0.2873,False,COMPETABLE,232.5,0.1131,0.3973,0.1702,False,True
submarines,piping,COMPETABLE,797.8,0.095,0.1482,0.5375,False,COMPETABLE,1033.7,0.0693,0.167,0.387,False,COMPETABLE,1288.7,0.0719,0.1389,0.2042,False,True
submarines,structural,COMPETABLE,794.4,0.0949,0.1177,0.3762,False,COMPETABLE,900.2,0.0823,0.1336,0.2788,False,COMPETABLE,1072.5,0.0859,0.1457,0.202,False,True
