rank,uei,entity_name,assoc_subaward_$M,foreign,fallback_role,fallback_work_type,fallback_basis,sam_primary_naics6,sam_primary_naics6_desc,sam_all_naics6,sam_org_structure,sam_match,audit_verdict,audit_correct_role,audit_correct_work_type,audit_modular_capable,audit_evidence_url,audit_notes
1,DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,240.5,Y,foreign_fms,,foreign residual,,,,,NO_SAM_RECORD,,,,,,
2,HNAECT5M9TM4,"SOCAIL, LDA",151.4,Y,foreign_fms,,foreign residual,,,,,NO_SAM_RECORD,,,,,,
3,EDNNTCM7SUS8,"INTERNATIONAL MARINE AND INDUSTRIAL APPLICATORS, LLC",64.4,,supplier,structural,naics4-crosswalk,336611,Ship Building and Repairing ,336611;562910,Limited Liability Company,matched,,,,,,
4,PTMFLMD2CUB4,"L3 TECHNOLOGIES, INC.",39.6,,supplier,unbucketed,residual,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334111;334112;334118;334210;334220;334310;334413;334418;334515;335999;336413;336419;541330;541511;541512;541519;541990;811210;927110;928110,Manufacturer of Goods,matched,,,,,,
5,MSFLXVQVJMG4,"PEERLESS INSTRUMENT CO., INC.",36.7,,supplier,unbucketed,residual,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,334515;335999,Manufacturer of Goods,matched,,,,,,
6,GZ57A195G7K6,WAUKESHA BEARINGS CORPORATION,35.7,,service,,service NAICS,541330,Engineering Services,541330;541340,,matched,,,,,,
7,WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",35.6,,supplier,structural,naics4-crosswalk,336611,Ship Building and Repairing ,332111;336611;336612,Subchapter S Corporation,matched,,,,,,
8,MU3CM1145E44,PROGENY SYSTEMS CORPORATION,34.9,,service,,service NAICS,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",332993;334111;334118;334290;334419;334511;335314;335999;541330;541511;541513;541519;541715;541720,Manufacturer of Goods,matched,,,,,,
9,F8M5LJA6LJL4,"SARGENT AEROSPACE & DEFENSE, LLC",31.6,,supplier,piping,naics4-crosswalk,332911,Industrial Valve Manufacturing ,332911;332912;333995;333996;336413,Manufacturer of Goods,matched,,,,,,
10,KCYPSYNH1M94,US JOINER LLC,30.9,,supplier,structural,naics4-crosswalk,336611,Ship Building and Repairing ,332322;332919;336611;336612;811310,Manufacturer of Goods,matched,,,,,,
11,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",30.3,,supplier,piping,naics4-crosswalk,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,238120;331210;331221;332312;332313;332420;332710;332996;332999,Subchapter S Corporation,matched,,,,,,
12,MAENKG4UJLK8,LOCKHEED MARTIN CORPORATION,29.3,,gfe,,GFE/integrator name,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",332322;332993;334513;336414;336419,Manufacturer of Goods,matched,,,,,,
13,KNEFNMWXBK39,JO-KELL INC.,24.7,,service,,service NAICS,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",238210;332710;333511;333514;334419;334515;335311;335313;335314;335931;335999;336413;339999;423610;423690;423830;423840;541330,Manufacturer of Goods,matched,,,,,,
14,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC",23.3,,supplier,piping,naics4-crosswalk,332911,Industrial Valve Manufacturing ,332911;334419;335312;335314;335999,Subchapter S Corporation,matched,,,,,,
15,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,22.3,,supplier,machining,naics4-crosswalk,332710,Machine Shops,221113;332710;332721;332722;336412;336413;336414;336415;336611,Subchapter S Corporation,matched,,,,,,
16,LB1XJ5UY5961,IMO INDUSTRIES INC.,22.3,,supplier,unbucketed,residual,,,,,NO_SAM_RECORD,,,,,,
17,DA1PDLWQ7BH4,BEAST CODE LLC,21.4,,service,,service NAICS,513210,Software Publishers,332993;334511;513210;541330;541511;541512;541715,Subchapter S Corporation,matched,,,,,,
18,GLU5BML5XQK2,Romey Paul Ventures LLC,20.9,,supplier,unbucketed,residual,,,,,NO_SAM_RECORD,,,,,,
19,QCFDU4MA1444,A/Z CORPORATION,20.4,,service,,service NAICS,236210,INDUSTRIAL BUILDING CONSTRUCTION,236210;236220;238110;238210;238220;238320,Subchapter S Corporation,matched,,,,,,
20,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",20.0,,supplier,structural,naics4-crosswalk,336611,Ship Building and Repairing ,331210;332312;332313;332420;332439;332510;332710;332721;333120;333514;335312;336413;336419;336611;336992;811310,Manufacturer of Goods,matched,,,,,,
21,GUD4TJE3FN31,CIRCOR PUMPS NORTH AMERICA LLC,19.3,,supplier,piping,vendor-name override,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",333914,Manufacturer of Goods,matched,,,,,,
22,G319AMB56SW5,"901 D, LLC",18.8,,supplier,piping,naics4-crosswalk,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,332999;334419;334511;541330,Manufacturer of Goods,matched,,,,,,
23,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,18.8,Y,supplier,structural,naics4-crosswalk,332420,Metal Tank (Heavy Gauge) Manufacturing,332420;335312,Manufacturer of Goods,matched,,,,,,
24,C256E427Q518,"DELTAK MANUFACTURING, INC.",18.7,,supplier,structural,naics4-crosswalk,332323,Ornamental and Architectural Metal Work Manufacturing ,332312;332323,,matched,,,,,,
25,MF1LU8RPCMB8,"RANOR, INC.",18.4,,supplier,structural,naics4-crosswalk,332313,Plate Work Manufacturing ,332313;332420;332439;332710;332999,Manufacturer of Goods,matched,,,,,,
26,MEMSWT1LFU18,JERED LLC,18.1,,supplier,structural,naics4-crosswalk,332312,Fabricated Structural Metal Manufacturing ,332312;336611;541330,Manufacturer of Goods,matched,,,,,,
27,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",17.3,,supplier,castings,naics4-crosswalk,331529,Other Nonferrous Metal Foundries (except Die-Casting) ,331420;331511;331513;331529;332710;332811;332991;333618;333921;333923;336412;336510;336611;336612;336992,Manufacturer of Goods,matched,,,,,,
28,JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,17.0,,supplier,unbucketed,residual,,,331513,Manufacturer of Goods,matched,,,,,,
29,HLFDNJU7KXJ1,BOGUE SYSTEMS INC,16.9,,supplier,electrical,naics4-crosswalk,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",335311;335312;335999,Manufacturer of Goods,matched,,,,,,
30,F1UZPBD1VBH9,"LYME COMPUTER SYSTEMS, INC.",16.8,,service,,service NAICS,541519,Other Computer Related Services,221122;326150;333248;334111;334112;334118;334210;334220;334290;334310;334412;334413;334416;334417;334418;334419;334510;334511;334513;334515;334516;334610;335311;335313;335921;335999;336411;337214;339940;339999;449210;513210;517121;518210;541511;541512;541513;541519;611420;811210,Subchapter S Corporation,matched,,,,,,
31,H11HD5VHGHN3,LOCKHEED MARTIN CORPORATION,16.6,,gfe,,GFE/integrator name,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",334511;541330;541690;541715,Manufacturer of Goods,matched,,,,,,
32,HYGLK2BNFKB3,MTU AMERICA INC.,15.8,,supplier,machining,naics4-crosswalk,333618,Other Engine Equipment Manufacturing ,333618;336611;811310,Manufacturer of Goods,matched,,,,,,
33,LCZDJ6YPNYG6,"MARTIN ENERGY SERVICES, LLC",15.6,,service,,service NAICS,424710,Petroleum Bulk Stations and Terminals ,424710,Limited Liability Company,matched,,,,,,
34,WXRTZLL25AE5,"SEEMANN COMPOSITES, INC.",15.4,,supplier,coatings,naics4-crosswalk,325991,Custom Compounding of Purchased Resins ,325991;332721;334511;336999;541715,Manufacturer of Goods,matched,,,,,,
35,LPWJLN5JQPW4,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,15.2,Y,foreign_fms,,foreign residual,,,,,matched,,,,,,
36,ZFQBUPK552C3,"H. R. HILLERY COMPANY, THE",14.8,,supplier,structural,naics4-crosswalk,332312,Fabricated Structural Metal Manufacturing ,332312;332313;332322;332420;332439;541340,,matched,,,,,,
37,W3KUJLTCRLV1,AMMCON CORP.,14.6,,supplier,piping,naics4-crosswalk,332919,Other Metal Valve and Pipe Fitting Manufacturing ,332919,Manufacturer of Goods,matched,,,,,,
38,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",14.5,,supplier,piping,naics4-crosswalk,332911,Industrial Valve Manufacturing ,332911,Subchapter S Corporation,matched,,,,,,
39,GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, INC.",14.4,,supplier,piping,naics4-crosswalk,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,332114;332312;332313;332420;332911;332999;333120;333514;336992,Manufacturer of Goods,matched,,,,,,
40,D7HNEN3DAN36,LEHIGH HEAVY FORGE CORP,14.4,,supplier,castings,naics4-crosswalk,332111,Iron and Steel Forging ,332111,Subchapter S Corporation,matched,,,,,,
41,WESDY4U81NP8,"TRIDENT MARITIME SYSTEMS - CAC, LLC",13.6,,supplier,piping,naics4-crosswalk,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,331313;331318;331420;331491;332111;332112;332431;332996;333517,Manufacturer of Goods,matched,,,,,,
42,HW4GNCTLLAM4,GENERAL ATOMICS,13.5,,supplier,structural,naics4-crosswalk,332312,Fabricated Structural Metal Manufacturing ,332312;332439;332721;333612;334416;334418;335312;336413;336419;562910,Manufacturer of Goods,matched,,,,,,
43,V8HGGNTGDH59,PEERLESS MFG CO,13.5,,supplier,structural,naics4-crosswalk,332312,Fabricated Structural Metal Manufacturing ,332312;332313;332322;332999,Manufacturer of Goods,matched,,,,,,
44,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",13.4,,supplier,piping,naics4-crosswalk,332911,Industrial Valve Manufacturing ,331511;331512;331513;332911;332919,Subchapter S Corporation,matched,,,,,,
45,QVJEVJHK3G31,"AGGREKO, LLC",13.3,,supplier,unbucketed,residual,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,532490,Limited Liability Company,matched,,,,,,
46,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",13.1,,supplier,hvac,naics4-crosswalk,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,332812;333310;333415;333998;334513,Subchapter S Corporation,matched,,,,,,
47,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,12.8,,supplier,structural,naics4-crosswalk,332322,Sheet Metal Work Manufacturing ,238220;332312;332313;332321;332322;332439;332510;332996;332999;334512;336611,Manufacturer of Goods,matched,,,,,,
48,EVZMB1757DW5,"STEELFAB, INC.",12.7,,supplier,structural,naics4-crosswalk,332312,Fabricated Structural Metal Manufacturing ,332312,Subchapter S Corporation,matched,,,,,,
49,TZLXM3NCC7D1,EXIDE TECHNOLOGIES,12.7,,supplier,unbucketed,residual,,,,,NO_SAM_RECORD,,,,,,
50,WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",12.6,,supplier,unbucketed,residual,334290,Other Communications Equipment Manufacturing,334210;334290;334412;334418;334511;334513;334519;335313;335999,Manufacturer of Goods,matched,,,,,,
