uei,entity_name,sam_legal,primary_naics,naics4,ddg_signed_$M,subs_signed_$M,combined_$M,foreign,registered,role,bucket,confidence,basis
F42BKS7EHCL8,ULTRA ELECTRONICS HOLDINGS PLC,EMS Development Corporation,334416,3344,20.9,47.2,68.1,,Yes,mission_systems,,med,NAICS 334416 electronics/aero
Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,ESPEY MFG AND ELECTRONICS CORP,335999,3359,49.5,15.7,65.2,,Yes,supplier,electrical,high,NAICS 335999 power equip
CBMZJ3Z5SC89,UNITED TECHNOLOGIES CORPORATION,GOODRICH CORPORATION,326130,3261,6.4,56.7,63.2,,Yes,residual,,low,NAICS 326130 unresolved
GU4MZLMEJN94,"SEYER INDUSTRIES, INC.","SEYER INDUSTRIES, INC.",332710,3327,63.1,0.0,63.1,,Yes,supplier,machining,high,NAICS 332710
LGRAV9DLD7D4,"TTM TECHNOLOGIES, INC.","ANAREN, INC.",334220,3342,62.9,0.0,62.9,,Yes,mission_systems,,med,NAICS 334220 electronics/aero
PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",THE AMERICAN TANK & FABRICATING COMPANY,332313,3323,37.8,25.1,62.9,,Yes,supplier,structural,high,NAICS 332313
DJG7NEG7QRK5,ARCLINE INVESTMENT MANAGEMENT LP,"Hunt Valve Company, Inc.",332911,3329,0.3,60.3,60.6,,Yes,supplier,piping,high,NAICS 332911
J51ULX3CNCZ4,MERCURY SYSTEMS INC,MERCURY SYSTEMS INC,334111,3341,59.5,0.0,59.5,,Yes,mission_systems,,med,NAICS 334111 electronics/aero
NXGLEN3CK1N6,"DATACON, INC.","DATACON, INC.",334418,3344,54.5,3.2,57.7,,Yes,mission_systems,,med,NAICS 334418 electronics/aero
Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",MAROTTA CONTROLS INC,332912,3329,18.1,38.9,57.0,,Yes,supplier,piping,high,NAICS 332912
VJMTKNLENX24,LEONARDO SPA,ENGINEERED COIL COMPANY,333415,3334,58.5,-1.9,56.6,,Yes,supplier,hvac,high,NAICS 333415
JKZNKGGWYZ87,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,335312,3353,0.0,55.9,55.9,,Yes,supplier,electrical,high,NAICS 335312 power equip
YKYBK6MSAKX5,GMT CORPORATION,,,,52.8,0.0,52.8,,no,residual,,low,NAICS none unresolved
CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",,,,0.0,52.7,52.7,,no,residual,,low,NAICS none unresolved
N5BYYW3MMFP7,TOTAL SA,"HUTCHINSON AEROSPACE & INDUSTRY, INC.",326291,3262,37.9,14.7,52.5,,Yes,supplier,coatings,high,NAICS 326291
MMCKJNNMSG23,"ADVANCE MFG.CO., INC.","ADVANCE MFG.CO., INC.",332710,3327,0.6,51.2,51.8,,Yes,supplier,machining,high,NAICS 332710
CPHLNLBGWFN5,LEONARDO SPA,DRS NAVAL POWER SYSTEMS INC,334515,3345,0.0,51.4,51.4,,Yes,mission_systems,,med,NAICS 334515 electronics/aero
M1LQD44NEJ56,"AC&A ENTERPRISES HOLDINGS, LLC","Applied Composite Structures, Inc.",336413,3364,50.2,0.0,50.2,,Yes,mission_systems,,med,NAICS 336413 electronics/aero
TZVRTYNM3MN3,"PEGASUS STEEL, LLC","PEGASUS STEEL, LLC",332313,3323,0.0,48.9,48.9,,Yes,supplier,structural,high,NAICS 332313
MSYWUDGYPKF5,EVEREST KANTO CYLINDER LIMITED,"CP INDUSTRIES HOLDINGS, INC",332420,3324,0.9,45.8,46.7,,Yes,supplier,structural,high,NAICS 332420
KYURG7LRSC89,KKR & CO INC,CIRCOR NAVAL SOLUTIONS LLC,333914,3339,8.6,36.2,44.9,,Yes,supplier,piping,high,NAICS 333914
MKXMUFJJYLY5,WARD LEONARD CT LLC,WARD LEONARD CT LLC,335312,3353,33.1,9.6,42.7,,Yes,supplier,electrical,high,NAICS 335312 power equip
N6BAAYHLH8G7,"TTM TECHNOLOGIES, INC.",TTM PRINTED CIRCUIT GROUP LLC,334418,3344,41.5,0.5,42.0,,Yes,mission_systems,,med,NAICS 334418 electronics/aero
L2WVLS5L4WS3,FUTURAMIC TOOL & ENGINEERING COMPANY,FUTURAMIC TOOL & ENGINEERING CO,332710,3327,41.8,0.0,41.8,,Yes,supplier,machining,high,NAICS 332710
S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.","M.S.M. INDUSTRIES, INC.",326291,3262,41.8,0.0,41.8,,Yes,supplier,coatings,high,NAICS 326291
N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,PARKER HANNIFIN CORPORATION,333310,3333,22.7,17.1,39.9,,Yes,residual,,low,NAICS 333310 unresolved
YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.","LAKE SHORE SYSTEMS, INC.",336611,3366,39.4,0.0,39.4,,Yes,supplier,structural,high,NAICS 336611
DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC","KME AMERICA MARINE TUBE & FITTING, LLC",332919,3329,0.0,39.3,39.3,,Yes,supplier,piping,high,NAICS 332919
WQ6KK3G6K2M1,ARCONIC INC.,"RTI REMMELE ENGINEERING, INC.",334511,3345,39.2,0.0,39.2,,Yes,mission_systems,,med,NAICS 334511 electronics/aero
NN7PCHZFNZP8,GOODWIN STEEL CASTINGS LIMITED,GOODWIN STEEL CASTINGS LIMITED,331513,3315,5.1,33.8,38.8,Y,Yes,foreign_fms,,med,foreign flag
K3XPS1HXNBF3,"B & F MACHINE CO., INC.","B & F MACHINE CO., INC.",332710,3327,4.5,33.9,38.3,,Yes,supplier,machining,high,NAICS 332710
NPJ8VMPXMNC3,"HI-AIR KOREA CO., LTD.",,,,37.8,0.0,37.8,Y,no,foreign_fms,,med,foreign flag
NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.","ALLARD NAZARIAN GROUP, INC.",339999,3399,0.0,37.1,37.1,,Yes,mission_systems,,med,NAICS 339999 electronics/aero
FARLM1J6SB25,PRODUCTION ENGINEERING CORPORATION,PRODUCTION ENGINEERING CORPORATION,332710,3327,36.1,0.0,36.1,,Yes,supplier,machining,high,NAICS 332710
VL18ZH6YLPY5,LEONARDO SPA,"DRS NAVAL POWER SYSTEMS, INC.",333611,3336,0.0,36.1,36.1,,Yes,supplier,machining,high,NAICS 333611
V1MQFNQB56Z5,RIX INDUSTRIES,RIX INDUSTRIES,333912,3339,22.6,12.3,34.9,,Yes,supplier,piping,high,NAICS 333912
HLVNZXU8EAM1,"L-3 COMMUNICATIONS HOLDINGS, INC.",,,,19.7,15.2,34.9,,no,residual,,low,NAICS none unresolved
WJ45NXW2TVD7,MOOG INC.,MOOG INC.,333995,3339,0.0,33.5,33.5,,Yes,supplier,piping,high,NAICS 333995
V1MVHTMMJNV5,"TACTICAL ENGINEERING & ANALYSIS, INC.","TACTICAL ENGINEERING & ANALYSIS, INC.",541330,5413,33.5,0.0,33.5,,Yes,service,,high,NAICS 541330 service
JA2KCX21NL48,WÄRTSILÄ OYJ ABP,"DEFENSE MARITIME SOLUTIONS, INC.",336611,3366,22.8,10.5,33.4,,Yes,supplier,structural,high,NAICS 336611
N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,CUSTOM ALLOY CORPORATION,332996,3329,0.0,32.9,32.9,,Yes,supplier,piping,high,NAICS 332996
UVFUAL43AP15,SCIOTEQ LLC,SCIOTEQ LLC,334111,3341,32.8,0.0,32.8,,Yes,mission_systems,,med,NAICS 334111 electronics/aero
FK17Z7DJWLL1,APCO TECHNOLOGIES SA,Apco Technologies SA,,,0.0,32.8,32.8,Y,Yes,foreign_fms,,med,foreign flag
LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.","CEPEDA ASSOCIATES, INC.",333413,3334,0.0,31.6,31.6,,Yes,supplier,hvac,high,NAICS 333413
JRUCKDSNXKD5,THE ENTWISTLE TRUST,THE ENTWISTLE COMPANY LLC,333998,3339,27.2,4.4,31.6,,Yes,supplier,piping,high,NAICS 333998
