code,n_subawards,total_usd,modal_swbs_group,top_components
03013-01,20,483070049.0,234,PROP GAS TURBINE; Gas Turbine Engines
02002-03,36,277075435.44,516,
03019-02,13,260321508.96,310,
03015-02,4,168908102.0,241,
03003-01,24,123474059.49,,PROPULSION SHAFT FWD
80029-00,20,112641971.85,561,STEERING SYSTEM
03019-01,11,112118726.45,,GAS TURBINE GEN; SSGTG
04007-04,48,92452883.23,324,
04007-03,23,76515493.08,324,SWITCHBOARD/LOAD CNTR
03017-01,15,56291490.41,245,PROP SYSTEM
04080-01,47,51767327.77,324,SSABT SWITCH
02002-02,6,43557479.3,,A/C PLANT
04165-01,21,40910373.6,555,
04089-01,17,37977344.35,314,IPNC; IPNC Intergration
04022-02,38,31713711.69,314,PP-
01020-01,18,31131032.13,624,MAFO DOORS
03041-02,14,29471695.85,531,DESALIN PLANT
03250-03,18,28205193.48,532,
01056-01,46,26564653.35,,
03011-01,20,25885172.43,541,FUEL PURIFIER
04001-01,25,24180884.41,475,DEGAUSSING SYSTEM
03072-01,16,22348745.34,505,ELEC MTR VALVES
04018-01,46,22293819.53,,P&L PANELS; PANELS COA
03000-01,14,20179567.28,551,AIR COMPRESSOR
03039-02,17,17116776.36,551,BLEED AIR REG VALVES
01008-01,35,16664779.88,571,SLIDING PADEYES
04021-01,27,16048920.47,302,MAG CONTROLLERS
03028-01,12,15612310.68,244,STERN TUBE BEARINGS
03174-03,20,15491896.72,555,HFP FIRE EXT SYSTEM
03025-01,13,13331513.28,259,MS/B-I PANEL SET
01549-02,5,13199620.0,,HELI HANGER DOORS
07012-01,30,13180520.56,,VALVE BUTTERFLY
04058-01,19,11969838.37,324,AUTO BUS TRANSFERS
03004-01,17,11904941.79,503,POS DIS PUMPS-GROUP
03044-01,11,11768034.05,259,GAS TURB COOL FANS
03174-04,9,11309292.79,,HFP FIRE EXT SYSTEM
03020-01,12,11247108.23,262,LUBE OIL SERV PUMP
03014-01,13,10863132.94,521,P/S; FIRE PUMP
05040-02,25,10812612.96,582,RET BITTS CHOCKS
03089-02,28,10232468.35,593,OIL/WATER SEPARATOR
05002-01,8,10181325.23,,STRUT CASTINGS
03067-01,19,10121839.02,244,LINE SHAFT BEARINGS; LSBs
01043-02,40,9955470.16,,DECK COVERING
03240-01,10,9908915.0,256,CHLORINATOR/DECHLOR
02506-01,9,9881594.55,512,FAN VANEAXIAL
