primary_naics_6,desc,vendors,dollars_$M,pct_dollars
541614,"Process, Physical Distribution, and Logistics Consulting Services ",2,4174.21,23.45
335312,Motor and Generator Manufacturing ,6,2205.13,12.39
(none),,106,1667.98,9.37
336611,Ship Building and Repairing ,44,1279.46,7.19
335311,"Power, Distribution, and Specialty Transformer Manufacturing ",11,580.84,3.26
332911,Industrial Valve Manufacturing ,21,545.97,3.07
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",10,542.99,3.05
332111,Iron and Steel Forging ,7,469.45,2.64
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,7,397.31,2.23
332312,Fabricated Structural Metal Manufacturing ,18,365.85,2.05
336412,Aircraft Engine and Engine Parts Manufacturing ,6,349.83,1.96
332410,Power Boiler and Heat Exchanger Manufacturing,7,339.8,1.91
332313,Plate Work Manufacturing ,7,335.55,1.88
335313,Switchgear and Switchboard Apparatus Manufacturing ,7,226.94,1.27
332710,Machine Shops,32,224.26,1.26
325212,Synthetic Rubber Manufacturing ,1,218.32,1.23
332912,Fluid Power Valve and Hose Fitting Manufacturing ,12,202.89,1.14
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",3,173.06,0.97
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",14,156.01,0.88
334417,Electronic Connector Manufacturing ,9,137.57,0.77
332996,Fabricated Pipe and Pipe Fitting Manufacturing ,10,133.76,0.75
326291,Rubber Product Manufacturing for Mechanical Use ,6,130.12,0.73
339999,All Other Miscellaneous Manufacturing ,11,124.11,0.7
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,13,109.15,0.61
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",1,104.4,0.59
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,12,100.25,0.56
334419,Other Electronic Component Manufacturing ,9,99.46,0.56
332420,Metal Tank (Heavy Gauge) Manufacturing,5,93.19,0.52
541330,Engineering Services,38,92.15,0.52
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,16,90.91,0.51
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",2,86.98,0.49
611430,Professional and Management Development Training ,2,86.13,0.48
331513,Steel Foundries (except Investment) ,8,82.68,0.46
333995,Fluid Power Cylinder and Actuator Manufacturing ,5,80.7,0.45
332919,Other Metal Valve and Pipe Fitting Manufacturing ,6,79.46,0.45
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",20,73.99,0.42
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",2,67.9,0.38
333310,Commercial and Service Industry Machinery Manufacturing ,4,61.05,0.34
333912,Air and Gas Compressor Manufacturing ,3,60.56,0.34
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",11,60.43,0.34
333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,7,57.16,0.32
333611,Turbine and Turbine Generator Set Units Manufacturing ,5,55.28,0.31
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7,48.71,0.27
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,9,44.97,0.25
333613,Mechanical Power Transmission Equipment Manufacturing ,5,41.07,0.23
238210,Electrical Contractors and Other Wiring Installation Contractors,7,39.06,0.22
541611,Administrative Management and General Management Consulting Services ,4,38.93,0.22
236210,INDUSTRIAL BUILDING CONSTRUCTION,7,36.88,0.21
334290,Other Communications Equipment Manufacturing,5,35.71,0.2
332991,Ball and Roller Bearing Manufacturing,4,35.58,0.2
